행정구역,2022_4Q_전체,2022_4Q_1층,2022_4Q_1층외,2023_1Q_전체,2023_1Q_1층,2023_1Q_1층외,2023_2Q_전체,2023_2Q_1층,2023_2Q_1층외
서울시 전체,139927.0,153155.0,126700.0,143793.0,156525.0,131061.0,141418.0,155598.0,127239.0
종로구,195850.0,224889.0,166811.0,194714.0,221575.0,167852.0,197186.0,229859.0,164512.0
청운효자동,155797.0,224849.0,86744.0,151256.0,225252.0,77260.0,133334.0,206441.0,60228.0
사직동,173553.0,246659.0,100447.0,150227.0,209365.0,91088.0,141193.0,188607.0,93778.0
삼청동,168139.0,200614.0,135664.0,190228.0,226225.0,154231.0,169873.0,169873.0,
부암동,99441.0,122603.0,76278.0,107082.0,107082.0,,109504.0,109504.0,
평창동,121969.0,132186.0,111752.0,116535.0,,116535.0,126802.0,147356.0,106248.0
무악동,,,,,,,,,
교남동,200555.0,285647.0,115463.0,101769.0,,101769.0,,,
가회동,142796.0,197115.0,88478.0,147750.0,182265.0,113234.0,161368.0,219095.0,103642.0
종로1·2·3·4가동,192001.0,244442.0,139559.0,187156.0,245914.0,128398.0,189722.0,256505.0,122939.0
종로5·6가동,281017.0,263403.0,298631.0,286159.0,280661.0,291657.0,293452.0,297898.0,289006.0
이화동,185904.0,218797.0,153011.0,138022.0,167447.0,108598.0,127050.0,181404.0,72696.0
혜화동,179990.0,217056.0,142923.0,166815.0,197809.0,135821.0,153644.0,204479.0,102810.0
창신1동,180189.0,204278.0,156099.0,192102.0,195088.0,189117.0,201891.0,219762.0,184020.0
창신2동,101909.0,85444.0,118373.0,130739.0,158077.0,103402.0,112629.0,163443.0,61815.0
창신3동,,,,,,,,,
숭인1동,126031.0,193281.0,58780.0,133449.0,198071.0,68827.0,124675.0,165835.0,83515.0
숭인2동,124208.0,156963.0,91452.0,127058.0,140199.0,113917.0,133623.0,161002.0,106245.0
중구,275398.0,280238.0,270559.0,291943.0,303867.0,280019.0,292292.0,307381.0,277204.0
소공동,226786.0,227217.0,226356.0,249449.0,245179.0,253720.0,253327.0,244457.0,262197.0
회현동,312795.0,363503.0,262087.0,317236.0,374465.0,260007.0,333760.0,402204.0,265317.0
