행정구역,2023_3Q_전체,2023_3Q_1층,2023_3Q_1층외,2023_4Q_전체,2023_4Q_1층,2023_4Q_1층외,2024_1Q_전체,2024_1Q_1층,2024_1Q_1층외
서울시 전체,138835.0,153703.0,123967.0,137570.0,152707.0,122434.0,136609.0,151022.0,122196.0
종로구,200889.0,236297.0,165481.0,201913.0,237218.0,166608.0,202740.0,236942.0,168539.0
청운효자동,129902.0,183894.0,75911.0,124821.0,176449.0,73193.0,154532.0,192600.0,116464.0
사직동,151294.0,196249.0,106339.0,153263.0,197574.0,108951.0,179307.0,219383.0,139232.0
삼청동,165382.0,165382.0,,171215.0,171215.0,,162297.0,162297.0,
부암동,113768.0,113768.0,,120284.0,120284.0,,126320.0,126320.0,
평창동,137094.0,144412.0,129776.0,121357.0,134264.0,108450.0,119281.0,120897.0,117665.0
무악동,,,,,,,,,
교남동,,,,,,,163590.0,163590.0,
가회동,156995.0,203272.0,110717.0,183172.0,243372.0,122973.0,160997.0,213749.0,108245.0
종로1·2·3·4가동,200890.0,281186.0,120594.0,202131.0,278121.0,126141.0,202376.0,275990.0,128763.0
종로5·6가동,293318.0,289720.0,296916.0,297493.0,295874.0,299112.0,296837.0,283103.0,310570.0
이화동,148132.0,203378.0,92887.0,147832.0,199466.0,96199.0,157791.0,206261.0,109321.0
혜화동,121059.0,149740.0,92378.0,119510.0,149060.0,89960.0,127014.0,160981.0,93047.0
창신1동,199763.0,241473.0,158052.0,201752.0,250732.0,152773.0,197138.0,279995.0,114282.0
창신2동,112995.0,166912.0,59078.0,120410.0,173746.0,67073.0,82212.0,102406.0,62018.0
창신3동,,,,,,,,,
숭인1동,108864.0,132531.0,85197.0,106034.0,131166.0,80902.0,108531.0,141196.0,75865.0
숭인2동,143780.0,180860.0,106699.0,143416.0,180462.0,106370.0,143763.0,208571.0,78955.0
중구,277839.0,286479.0,269198.0,276336.0,290303.0,262369.0,271713.0,284099.0,259327.0
소공동,239534.0,271072.0,207997.0,242633.0,274513.0,210753.0,196375.0,201207.0,191543.0
회현동,323384.0,382475.0,264293.0,329831.0,391372.0,268290.0,338013.0,406081.0,269944.0
명동,282864.0,365478.0,200250.0,271483.0,351642.0,191324.0,277531.0,366195.0,188867.0
필동,162204.0,138892.0,185516.0,167874.0,156715.0,179032.0,176244.0,182886.0,169603.0
장충동,147805.0,176659.0,118951.0,198080.0,182386.0,213773.0,210412.0,172018.0,248806.0
광희동,229385.0,238794.0,219976.0,245939.0,268359.0,223519.0,234504.0,244378.0,224629.0
을지로동,221983.0,299221.0,144745.0,207043.0,278323.0,135763.0,205300.0,279190.0,131409.0
신당동,389911.0,332611.0,447210.0,385919.0,339903.0,431934.0,382723.0,339010.0,426436.0
다산동,196129.0,207753.0,184505.0,183667.0,194097.0,173238.0,179445.0,166576.0,192313.0
약수동,313128.0,297961.0,328296.0,294817.0,315340.0,274295.0,257803.0,276165.0,239440.0
청구동,165340.0,185162.0,145517.0,168833.0,171752.0,165914.0,170589.0,198023.0,143155.0
신당5동,197866.0,241473.0,154258.0,199274.0,243789.0,154759.0,211165.0,236383.0,185948.0
동화동,167994.0,144011.0,191978.0,188672.0,167413.0,209931.0,236871.0,205315.0,268427.0
황학동,162925.0,196996.0,128854.0,181122.0,200867.0,161378.0,208787.0,184276.0,233299.0
중림동,289977.0,394460.0,185493.0,267097.0,363833.0,170362.0,247128.0,321015.0,173242.0
용산구,140096.0,164646.0,115547.0,137168.0,158849.0,115487.0,129649.0,147956.0,111342.0
후암동,96788.0,125785.0,67791.0,94709.0,124580.0,64839.0,95596.0,106700.0,84492.0
용산2가동,100221.0,116110.0,84331.0,96066.0,109334.0,82798.0,96513.0,115063.0,77963.0
남영동,126215.0,136675.0,115756.0,149672.0,150524.0,148820.0,153249.0,151136.0,155363.0
