행정구역,2025_1Q_전체,2025_1Q_1층,2025_1Q_1층외,2025_2Q_전체,2025_2Q_1층,2025_2Q_1층외,2025_3Q_전체,2025_3Q_1층,2025_3Q_1층외
서울시 전체,139163.0,156715.0,121610.0,141666.0,160800.0,122532.0,143999.0,164096.0,123903.0
종로구,187083.0,224435.0,149732.0,194758.0,224314.0,165202.0,196376.0,227058.0,165693.0
청운효자동,133792.0,193484.0,74099.0,126013.0,174717.0,77310.0,123337.0,166061.0,80613.0
사직동,184144.0,237923.0,130366.0,190504.0,239208.0,141800.0,204275.0,266517.0,142032.0
삼청동,141937.0,183831.0,100044.0,140451.0,185681.0,95221.0,136543.0,178565.0,94522.0
부암동,122759.0,151851.0,93667.0,115310.0,154434.0,76186.0,111956.0,156072.0,67841.0
평창동,80260.0,83163.0,77358.0,95351.0,92203.0,98498.0,98546.0,89655.0,107438.0
무악동,,,,,,,174125.0,174125.0,
교남동,209438.0,221892.0,196984.0,188029.0,151734.0,224323.0,213830.0,203336.0,224323.0
가회동,167750.0,221554.0,113946.0,169345.0,213986.0,124703.0,169212.0,214669.0,123755.0
종로1·2·3·4가동,198282.0,264939.0,131624.0,208133.0,272164.0,144102.0,207284.0,273879.0,140688.0
종로5·6가동,234267.0,233066.0,235468.0,267960.0,258064.0,277856.0,280104.0,268698.0,291510.0
이화동,115284.0,160882.0,69686.0,117587.0,161453.0,73721.0,117433.0,158011.0,76855.0
혜화동,136613.0,171287.0,101940.0,131300.0,162353.0,100248.0,129408.0,159029.0,99788.0
창신1동,235923.0,299027.0,172819.0,211461.0,259965.0,162957.0,196065.0,227438.0,164692.0
창신2동,109144.0,120144.0,98145.0,102997.0,124776.0,81218.0,108751.0,139150.0,78353.0
창신3동,163407.0,256216.0,70599.0,83228.0,108267.0,58189.0,91054.0,115646.0,66463.0
숭인1동,91283.0,125837.0,56729.0,102181.0,117254.0,87108.0,110062.0,131201.0,88923.0
숭인2동,163932.0,182494.0,145369.0,151070.0,174700.0,127440.0,153828.0,182743.0,124913.0
중구,260614.0,268193.0,253035.0,258149.0,265271.0,251028.0,260649.0,267005.0,254293.0
소공동,241063.0,272963.0,209163.0,205489.0,224418.0,186560.0,190594.0,182907.0,198280.0
회현동,343013.0,433087.0,252939.0,368330.0,440075.0,296585.0,367006.0,429203.0,304808.0
명동,225067.0,255135.0,195000.0,207052.0,240369.0,173735.0,224961.0,275210.0,174712.0
필동,151184.0,171382.0,130987.0,152713.0,168302.0,137124.0,164549.0,177572.0,151526.0
장충동,165272.0,204047.0,126496.0,140448.0,160744.0,120151.0,140405.0,155536.0,125274.0
광희동,240575.0,245714.0,235436.0,238457.0,274445.0,202469.0,238997.0,273631.0,204364.0
을지로동,193776.0,258252.0,129299.0,178104.0,239684.0,116523.0,177770.0,236290.0,119251.0
신당동,392945.0,355713.0,430178.0,388166.0,329066.0,447266.0,386743.0,335738.0,437748.0
다산동,164701.0,156925.0,172476.0,152283.0,169617.0,134949.0,139910.0,162468.0,117352.0
약수동,199184.0,213074.0,185295.0,209845.0,235555.0,184136.0,210761.0,231906.0,189617.0
청구동,221771.0,179711.0,263831.0,123787.0,142425.0,105150.0,126153.0,138890.0,113416.0
신당5동,145303.0,162124.0,128481.0,128824.0,129167.0,128481.0,136336.0,131473.0,141198.0
동화동,189648.0,174980.0,204316.0,149003.0,173469.0,124537.0,138242.0,175076.0,101409.0
황학동,158283.0,154895.0,161671.0,150528.0,163841.0,137214.0,149376.0,158626.0,140126.0
중림동,167550.0,204275.0,130825.0,183202.0,195279.0,171124.0,188692.0,182547.0,194837.0
용산구,124430.0,142167.0,106692.0,128826.0,150736.0,106916.0,130419.0,153273.0,107565.0
후암동,107254.0,123015.0,91493.0,101503.0,129926.0,73079.0,101916.0,128882.0,74950.0
용산2가동,84975.0,100587.0,69363.0,105858.0,132857.0,78860.0,105907.0,132054.0,79761.0
남영동,115793.0,127254.0,104331.0,131602.0,149358.0,113846.0,125092.0,148959.0,101226.0
청파동,107952.0,128163.0,87741.0,103379.0,132071.0,74688.0,110884.0,138880.0,82887.0
원효로1동,95297.0,111829.0,78765.0,103901.0,113562.0,94239.0,105465.0,118236.0,92693.0
원효로2동,78995.0,92607.0,65384.0,89030.0,100087.0,77972.0,90689.0,102564.0,78813.0
효창동,153338.0,146636.0,160040.0,160374.0,141501.0,179247.0,158655.0,135948.0,181362.0
용문동,105241.0,146642.0,63839.0,99326.0,139816.0,58837.0,107732.0,141752.0,73712.0
한강로동,136282.0,159684.0,112880.0,140278.0,162520.0,118036.0,146498.0,170252.0,122743.0
이촌1동,223992.0,287754.0,160231.0,222729.0,293468.0,151989.0,220111.0,283450.0,156771.0
이촌2동,76305.0,76305.0,,86727.0,79805.0,93649.0,94868.0,78006.0,111730.0
이태원1동,161275.0,174064.0,148486.0,174824.0,199949.0,149699.0,171463.0,205718.0,137209.0
이태원2동,143620.0,173013.0,114227.0,149547.0,185480.0,113613.0,134530.0,171546.0,97513.0
한남동,157927.0,193823.0,122031.0,158319.0,203525.0,113114.0,161928.0,208282.0,115574.0
서빙고동,82941.0,64618.0,101264.0,77040.0,85198.0,68882.0,76981.0,86248.0,67715.0
보광동,87671.0,116721.0,58621.0,79801.0,102645.0,56957.0,82452.0,105090.0,59814.0
성동구,133160.0,149747.0,116573.0,134516.0,149157.0,119875.0,134730.0,148327.0,121133.0
왕십리2동,105443.0,146079.0,64807.0,121415.0,152079.0,90750.0,120547.0,146390.0,94703.0
왕십리도선동,140310.0,162798.0,117822.0,139833.0,153321.0,126344.0,144843.0,151409.0,138277.0
마장동,119399.0,155931.0,82867.0,125953.0,158871.0,93035.0,118309.0,146712.0,89907.0
사근동,115407.0,156529.0,74285.0,113466.0,163881.0,63050.0,116020.0,164498.0,67542.0
행당1동,162376.0,174990.0,149763.0,147801.0,142582.0,153020.0,143407.0,154750.0,132064.0
행당2동,126500.0,153875.0,99125.0,140682.0,167165.0,114199.0,154160.0,186747.0,121574.0
응봉동,76210.0,84441.0,67980.0,87923.0,90972.0,84874.0,83647.0,84362.0,82932.0
금호1가동,105489.0,138823.0,72155.0,102830.0,132224.0,73437.0,110992.0,116143.0,105841.0
금호2·3가동,117788.0,150048.0,85528.0,126704.0,164562.0,88845.0,123212.0,159680.0,86745.0
금호4가동,140364.0,164380.0,116349.0,135824.0,162452.0,109197.0,119140.0,139466.0,98815.0
옥수동,134471.0,145423.0,123519.0,130095.0,149061.0,111130.0,136723.0,151117.0,122328.0
성수1가1동,111901.0,120351.0,103451.0,118733.0,143423.0,94043.0,108420.0,127858.0,88981.0
성수1가2동,156769.0,156883.0,156655.0,168918.0,171828.0,166008.0,166096.0,173950.0,158242.0
성수2가1동,99417.0,108766.0,90067.0,103720.0,119089.0,88351.0,108354.0,121567.0,95141.0
성수2가3동,154118.0,169619.0,138617.0,146143.0,155708.0,136578.0,149777.0,161172.0,138383.0
송정동,97608.0,109058.0,86157.0,88806.0,104202.0,73411.0,90596.0,106626.0,74565.0
용답동,121060.0,175827.0,66293.0,113036.0,142945.0,83127.0,125558.0,148558.0,102559.0
광진구,113254.0,135991.0,90518.0,115110.0,139928.0,90293.0,115844.0,139770.0,91918.0
화양동,157957.0,178150.0,137763.0,149367.0,187174.0,111560.0,141766.0,176186.0,107347.0
군자동,108508.0,118313.0,98703.0,113708.0,112110.0,115306.0,122493.0,131612.0,113374.0
중곡1동,90454.0,117190.0,63717.0,97357.0,130792.0,63922.0,101113.0,133212.0,69014.0
중곡2동,92742.0,125100.0,60384.0,97352.0,127908.0,66796.0,99895.0,131960.0,67830.0
중곡3동,75058.0,101824.0,48291.0,76027.0,96467.0,55588.0,77846.0,95558.0,60134.0
중곡4동,104770.0,127689.0,81852.0,109239.0,135219.0,83259.0,100089.0,127710.0,72468.0
능동,134909.0,175157.0,94661.0,122912.0,154188.0,91635.0,119948.0,150590.0,89305.0
광장동,141374.0,185781.0,96968.0,139461.0,190150.0,88773.0,130467.0,169412.0,91521.0
자양1동,101190.0,121673.0,80706.0,112640.0,142785.0,82496.0,109925.0,139738.0,80112.0
자양2동,82249.0,102635.0,61862.0,89618.0,109903.0,69333.0,93088.0,109984.0,76193.0
자양3동,148123.0,198064.0,98182.0,144750.0,207877.0,81622.0,147616.0,217210.0,78022.0
자양4동,110990.0,128599.0,93382.0,116982.0,136182.0,97782.0,123659.0,133537.0,113780.0
구의1동,104446.0,124521.0,84371.0,115833.0,133873.0,97794.0,122448.0,131598.0,113298.0
구의2동,115940.0,121765.0,110115.0,118525.0,120499.0,116551.0,123328.0,130522.0,116134.0
구의3동,124345.0,159637.0,89052.0,122755.0,152924.0,92585.0,121473.0,150802.0,92143.0
동대문구,95227.0,117237.0,73218.0,100243.0,124269.0,76217.0,102580.0,132156.0,73003.0
용신동,83012.0,99980.0,66044.0,91047.0,110413.0,71681.0,94022.0,114339.0,73705.0
제기동,101720.0,123356.0,80084.0,107099.0,144797.0,69400.0,110129.0,156128.0,64131.0
전농1동,98001.0,119071.0,76932.0,114726.0,131440.0,98013.0,115557.0,136455.0,94658.0
전농2동,73069.0,97032.0,49106.0,74091.0,100510.0,47673.0,79546.0,110787.0,48304.0
답십리1동,111664.0,152546.0,70781.0,111564.0,136075.0,87053.0,113621.0,148258.0,78983.0
답십리2동,92603.0,111669.0,73538.0,96098.0,120238.0,71958.0,97343.0,123465.0,71221.0
장안1동,104393.0,114407.0,94380.0,104007.0,118959.0,89055.0,103829.0,134733.0,72925.0
장안2동,81194.0,106804.0,55584.0,83021.0,108553.0,57490.0,85857.0,116691.0,55023.0
청량리동,88076.0,102264.0,73888.0,86252.0,97151.0,75353.0,89163.0,93564.0,84762.0
회기동,115151.0,140036.0,90265.0,105815.0,148974.0,62655.0,107979.0,154180.0,61779.0
휘경1동,96366.0,86229.0,106503.0,103676.0,101341.0,106012.0,88321.0,107764.0,68878.0
휘경2동,87204.0,106373.0,68035.0,90193.0,105310.0,75076.0,106411.0,114330.0,98492.0
이문1동,98383.0,150127.0,46640.0,101972.0,146950.0,56994.0,125056.0,147901.0,102210.0
이문2동,68765.0,98910.0,38621.0,82621.0,122282.0,42961.0,94996.0,122692.0,67300.0
중랑구,83684.0,105598.0,61771.0,88218.0,111442.0,64994.0,89540.0,113187.0,65892.0
