연도,분기,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2020,1,11110515,청운효자동,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0
2020,1,11110530,사직동,206,18.0,24.0,,,15.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,34.0
2020,1,11110540,삼청동,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0
2020,1,11110550,부암동,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0
2020,1,11110560,평창동,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0
2020,1,11110570,무악동,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0
2020,1,11110580,교남동,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0
2020,1,11110600,가회동,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0
2020,1,11110615,종로1?2?3?4가동,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0
2020,1,11110630,종로5?6가동,212,7.0,8.0,,,31.0,,1.0,,,1.0,,4.0,,3.0,,,,1.0,23.0
2020,1,11110640,이화동,119,4.0,4.0,1.0,,11.0,,,2.0,,37.0,,,,,,,,1.0,28.0
2020,1,11110650,혜화동,145,6.0,5.0,,,16.0,3.0,1.0,1.0,4.0,26.0,,,1.0,,,,,,36.0
2020,1,11110670,창신1동,111,3.0,4.0,,,9.0,,2.0,,,,,1.0,,7.0,,,,2.0,11.0
2020,1,11110680,창신2동,38,2.0,1.0,,,5.0,,,,,,,,,,,,,,
2020,1,11110690,창신3동,24,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,5.0
2020,1,11110700,숭인1동,43,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,14.0
2020,1,11110710,숭인2동,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0
2020,1,11140520,소공동,231,13.0,29.0,,,10.0,,1.0,4.0,3.0,,1.0,,3.0,3.0,,,,3.0,37.0
2020,1,11140540,회현동,211,9.0,17.0,,,16.0,1.0,,,,2.0,,2.0,1.0,2.0,,,,6.0,35.0
2020,1,11140550,명동,542,20.0,46.0,,,35.0,,1.0,,,4.0,,,3.0,12.0,,,,1.0,29.0
2020,1,11140570,필동,123,6.0,9.0,1.0,,7.0,,2.0,,1.0,19.0,,,2.0,1.0,,,,2.0,15.0
2020,1,11140580,장충동,63,6.0,2.0,,,1.0,,1.0,,,3.0,,,1.0,2.0,,,,1.0,13.0
2020,1,11140590,광희동,185,3.0,16.0,1.0,,14.0,,,1.0,,,,1.0,3.0,11.0,,,,3.0,19.0
2020,1,11140605,을지로동,145,5.0,10.0,,,13.0,,,,,,,1.0,2.0,3.0,,,,4.0,20.0
2020,1,11140615,신당동,99,7.0,5.0,,1.0,12.0,,1.0,1.0,3.0,,,3.0,,1.0,,,,2.0,8.0
2020,1,11140625,다산동,86,3.0,4.0,,1.0,9.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,7.0
2020,1,11140635,약수동,87,4.0,2.0,,1.0,12.0,2.0,,,,,,,,,,,,2.0,12.0
2020,1,11140645,청구동,34,2.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,5.0
2020,1,11140650,신당5동,65,4.0,2.0,,,5.0,,1.0,,2.0,,,,,,,,,,12.0
2020,1,11140665,동화동,47,3.0,1.0,,,5.0,,1.0,1.0,,,,,,,,,,2.0,4.0
2020,1,11140670,황학동,76,1.0,6.0,,,10.0,,,,,,,,,7.0,,,,,6.0
2020,1,11140680,중림동,77,3.0,2.0,,,7.0,,1.0,,2.0,1.0,,,,5.0,,,,,14.0
2020,1,11170510,후암동,80,6.0,1.0,,,7.0,1.0,2.0,,1.0,,,2.0,,,,,,,18.0
2020,1,11170520,용산2가동,63,3.0,,,,4.0,,1.0,2.0,2.0,,,,,,,,,1.0,29.0
2020,1,11170530,남영동,147,7.0,5.0,,,14.0,,,1.0,,,,,,12.0,,,,3.0,26.0
2020,1,11170555,청파동,128,7.0,2.0,,1.0,11.0,,2.0,2.0,4.0,22.0,,1.0,,1.0,,,,,35.0
2020,1,11170560,원효로1동,94,6.0,3.0,,,6.0,1.0,1.0,,,3.0,,4.0,,,,,,,31.0
2020,1,11170570,원효로2동,69,4.0,2.0,,,4.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,27.0
2020,1,11170580,효창동,66,1.0,1.0,,,5.0,,1.0,,1.0,1.0,,,,,,,,2.0,22.0
2020,1,11170590,용문동,54,1.0,,,,3.0,,,,,,,,,,,,,,22.0
2020,1,11170625,한강로동,242,19.0,19.0,,,21.0,,2.0,,1.0,,,5.0,3.0,2.0,,,,7.0,41.0
2020,1,11170630,이촌1동,102,4.0,9.0,,1.0,12.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,14.0
2020,1,11170640,이촌2동,26,2.0,,,,1.0,,,,,,,,,,,,,,11.0
2020,1,11170650,이태원1동,71,8.0,5.0,,,3.0,,1.0,,,,,3.0,,,,,,1.0,14.0
2020,1,11170660,이태원2동,60,8.0,5.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,22.0
2020,1,11170685,한남동,171,30.0,11.0,1.0,,13.0,3.0,1.0,,,,,3.0,,,,,,2.0,36.0
2020,1,11170690,서빙고동,61,15.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,1.0,21.0
2020,1,11170700,보광동,70,4.0,1.0,,,8.0,1.0,,1.0,1.0,6.0,,,,,,,,,14.0
2020,1,11200520,왕십리2동,63,2.0,,,,5.0,1.0,1.0,,,,,,,,,,,1.0,18.0
2020,1,11200535,왕십리도선동,189,4.0,4.0,,2.0,20.0,2.0,2.0,,2.0,,,,,,,,,,26.0
2020,1,11200540,마장동,111,6.0,5.0,,,8.0,2.0,2.0,2.0,,,,,,,,,,1.0,29.0
2020,1,11200550,사근동,128,5.0,3.0,1.0,,10.0,,2.0,1.0,2.0,52.0,,1.0,,,,,,2.0,34.0
2020,1,11200560,행당1동,130,9.0,4.0,,2.0,13.0,1.0,1.0,,,,,1.0,1.0,,,,,4.0,30.0
2020,1,11200570,행당2동,79,2.0,2.0,,,4.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,24.0
2020,1,11200580,응봉동,56,3.0,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,30.0
2020,1,11200590,금호1가동,88,2.0,,,,6.0,1.0,1.0,,1.0,,,,,,,,,1.0,45.0
2020,1,11200615,금호2?3가동,135,3.0,2.0,,,13.0,,1.0,,,,,,,,,,,,46.0
2020,1,11200620,금호4가동,84,3.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,27.0
2020,1,11200645,옥수동,129,4.0,2.0,,,10.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,45.0
2020,1,11200650,성수1가1동,83,4.0,2.0,,,4.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,1.0,33.0
2020,1,11200660,성수1가2동,79,3.0,6.0,,,6.0,,,1.0,1.0,1.0,,,,,,,,1.0,12.0
2020,1,11200670,성수2가1동,109,3.0,3.0,,,13.0,,1.0,2.0,1.0,,,2.0,,1.0,,,,,38.0
2020,1,11200690,성수2가3동,104,3.0,16.0,,,11.0,,2.0,,,,,,1.0,,,,,1.0,20.0
2020,1,11200720,송정동,44,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,17.0
2020,1,11200790,용답동,82,7.0,2.0,,,8.0,,1.0,,,,,1.0,,,,,,2.0,11.0
2020,1,11215710,화양동,167,3.0,5.0,1.0,,17.0,,2.0,2.0,1.0,34.0,,,1.0,,,,,2.0,16.0
2020,1,11215730,군자동,135,5.0,5.0,,1.0,12.0,1.0,2.0,,,20.0,,,1.0,,,,,,23.0
2020,1,11215740,중곡1동,74,2.0,,,,10.0,1.0,,,,,,1.0,,,,,,,19.0
2020,1,11215750,중곡2동,104,2.0,4.0,,,14.0,1.0,1.0,,,,,,,,,,,2.0,21.0
2020,1,11215760,중곡3동,97,3.0,1.0,,1.0,9.0,,2.0,,,,,1.0,,,,,,1.0,29.0
2020,1,11215770,중곡4동,105,2.0,2.0,,,7.0,,1.0,1.0,2.0,,,,,,,,,,37.0
2020,1,11215780,능동,47,4.0,,,1.0,5.0,,1.0,,1.0,,,,,,,,,1.0,5.0
2020,1,11215810,광장동,139,5.0,9.0,,,9.0,3.0,3.0,3.0,1.0,11.0,,,,,,,,1.0,32.0
2020,1,11215820,자양1동,106,3.0,4.0,1.0,,14.0,1.0,1.0,,,2.0,,,,,,,,,17.0
2020,1,11215830,자양2동,95,2.0,1.0,,,8.0,2.0,4.0,2.0,1.0,,,1.0,,,,,,,21.0
2020,1,11215840,자양3동,105,2.0,6.0,,,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,30.0
2020,1,11215847,자양4동,106,5.0,2.0,,1.0,15.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,16.0
2020,1,11215850,구의1동,77,2.0,4.0,,,9.0,1.0,,1.0,1.0,,,,,,,,,1.0,16.0
2020,1,11215860,구의2동,112,3.0,2.0,,1.0,9.0,3.0,2.0,,,1.0,,,,,,,,1.0,24.0
2020,1,11215870,구의3동,133,5.0,4.0,,,16.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,25.0
2020,1,11230536,용신동,231,10.0,8.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,,,,5.0,41.0
2020,1,11230545,제기동,288,4.0,5.0,,1.0,22.0,2.0,2.0,2.0,1.0,1.0,,3.0,,14.0,,,,1.0,30.0
2020,1,11230560,전농1동,152,5.0,2.0,,1.0,13.0,3.0,1.0,1.0,1.0,,,,1.0,5.0,,,,3.0,35.0
2020,1,11230570,전농2동,102,2.0,2.0,,,12.0,3.0,3.0,2.0,1.0,27.0,,,,,,,,,15.0
2020,1,11230600,답십리1동,124,4.0,5.0,,,9.0,,2.0,1.0,,,,,,,,,,,25.0
2020,1,11230610,답십리2동,108,3.0,2.0,,2.0,13.0,3.0,1.0,,,,,3.0,,,,,,,19.0
2020,1,11230650,장안1동,192,5.0,11.0,,4.0,26.0,2.0,2.0,2.0,,,,,,,,,,1.0,43.0
2020,1,11230660,장안2동,168,3.0,2.0,,2.0,21.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,38.0
2020,1,11230705,청량리동,154,9.0,4.0,1.0,,16.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,34.0
2020,1,11230710,회기동,84,3.0,5.0,1.0,,10.0,1.0,3.0,1.0,1.0,14.0,,,,,,,,,10.0
2020,1,11230720,휘경1동,82,2.0,1.0,,,12.0,,,,,,,,,1.0,,,,3.0,18.0
2020,1,11230730,휘경2동,84,5.0,1.0,1.0,,5.0,1.0,2.0,3.0,3.0,4.0,,,,,,,,,27.0
2020,1,11230740,이문1동,147,5.0,2.0,,,13.0,3.0,,,2.0,30.0,,,,,,,,1.0,26.0
2020,1,11230750,이문2동,71,2.0,,,,6.0,1.0,1.0,,,2.0,,,,,,,,1.0,17.0
2020,1,11260520,면목2동,112,3.0,,,1.0,11.0,2.0,2.0,,,,,8.0,,1.0,,,,,25.0
2020,1,11260540,면목4동,61,2.0,,,,5.0,1.0,1.0,1.0,,,,,,,,,,1.0,15.0
2020,1,11260550,면목5동,42,2.0,1.0,,,3.0,,,,,,,4.0,,,,,,,13.0
