연도,분기,구이름,행정동_코드,행정동_코드_명,등록인구_수,시군구_코드
2020,1,종로구,11110650,혜화동,20467,11110
2020,1,종로구,11110560,평창동,18768,11110
2020,1,종로구,11110515,청운효자동,12960,11110
2020,1,종로구,11110690,창신3동,7230,11110
2020,1,종로구,11110680,창신2동,9776,11110
2020,1,종로구,11110670,창신1동,6046,11110
2020,1,종로구,11110630,종로56가동,5853,11110
2020,1,종로구,11110615,종로1234가동,8539,11110
2020,1,종로구,11110640,이화동,8460,11110
2020,1,종로구,11110710,숭인2동,9965,11110
2020,1,종로구,11110700,숭인1동,6508,11110
2020,1,종로구,11110540,삼청동,2993,11110
2020,1,종로구,11110530,사직동,9841,11110
2020,1,종로구,11110550,부암동,10597,11110
2020,1,종로구,11110570,무악동,8767,11110
2020,1,종로구,11110580,교남동,10750,11110
2020,1,종로구,11110600,가회동,4464,11110
2020,1,중구,11140540,회현동,5812,11140
2020,1,중구,11140670,황학동,13779,11140
2020,1,중구,11140570,필동,4904,11140
2020,1,중구,11140645,청구동,14379,11140
2020,1,중구,11140680,중림동,12925,11140
2020,1,중구,11140580,장충동,5573,11140
2020,1,중구,11140605,을지로동,2012,11140
2020,1,중구,11140635,약수동,17696,11140
2020,1,중구,11140615,신당동,9236,11140
2020,1,중구,11140650,신당5동,10969,11140
2020,1,중구,11140520,소공동,3057,11140
2020,1,중구,11140550,명동,3649,11140
2020,1,중구,11140665,동화동,11023,11140
2020,1,중구,11140625,다산동,15028,11140
2020,1,중구,11140590,광희동,6427,11140
2020,1,용산구,11170510,후암동,18377,11170
2020,1,용산구,11170580,효창동,10363,11170
2020,1,용산구,11170685,한남동,24136,11170
2020,1,용산구,11170625,한강로동,19884,11170
2020,1,용산구,11170555,청파동,20768,11170
2020,1,용산구,11170660,이태원2동,10878,11170
2020,1,용산구,11170650,이태원1동,9191,11170
2020,1,용산구,11170640,이촌2동,8926,11170
2020,1,용산구,11170630,이촌1동,29428,11170
2020,1,용산구,11170570,원효로2동,14578,11170
2020,1,용산구,11170560,원효로1동,16737,11170
2020,1,용산구,11170520,용산2가동,11789,11170
2020,1,용산구,11170590,용문동,12554,11170
2020,1,용산구,11170690,서빙고동,14164,11170
2020,1,용산구,11170700,보광동,15997,11170
2020,1,용산구,11170530,남영동,8395,11170
2020,1,성동구,11200570,행당2동,24543,11200
2020,1,성동구,11200560,행당1동,15887,11200
2020,1,성동구,11200580,응봉동,16066,11200
2020,1,성동구,11200790,용답동,13284,11200
2020,1,성동구,11200535,왕십리도선동,27756,11200
2020,1,성동구,11200520,왕십리2동,17755,11200
2020,1,성동구,11200645,옥수동,27134,11200
2020,1,성동구,11200720,송정동,11388,11200
2020,1,성동구,11200690,성수2가3동,11673,11200
2020,1,성동구,11200670,성수2가1동,17683,11200
2020,1,성동구,11200660,성수1가2동,14430,11200
