연도,분기,NM,행정동_코드,전체,1층,1층외,영역_면적
2020,1,가락1동,11710631,148214,128269,168159,1393228
2020,1,가락2동,11710632,76446,111134,41758,932311
2020,1,가락본동,11710620,92995,118982,67008,1014738
2020,1,가리봉동,11530595,84657,117551,51764,410996
2020,1,가산동,11545510,112786,139572,86000,2512852
2020,1,가양1동,11500603,154748,223449,86048,4970691
2020,1,가양2동,11500604,115429,163956,66903,823874
2020,1,가양3동,11500605,138523,193679,83367,474228
2020,1,가회동,11110600,138100,168159,108040,539955
2020,1,갈현1동,11380551,82835,108005,57665,961071
2020,1,갈현2동,11380552,78253,108852,47653,985165
2020,1,강일동,11740515,148519,210161,86877,3647520
2020,1,개봉1동,11530740,70155,85716,54595,1320319
2020,1,개봉2동,11530750,116430,122771,110089,782524
2020,1,개봉3동,11530760,72488,95081,49895,828418
2020,1,개포1동,11680660,,,,1449952
2020,1,개포2동,11680670,127119,172021,82217,2243338
2020,1,개포4동,11680690,65085,79235,50935,1665461
2020,1,거여1동,11710531,90263,96773,83753,522308
2020,1,거여2동,11710532,85896,126896,44897,612901
2020,1,고덕1동,11740550,104639,145728,63549,1518495
2020,1,고덕2동,11740560,142129,159099,125159,2206786
2020,1,고척1동,11530720,98670,142898,54441,1151238
2020,1,고척2동,11530730,66239,84911,47568,1025572
2020,1,공덕동,11440565,87142,95283,79000,1019197
2020,1,공릉1동,11350595,84885,112986,56783,1263261
2020,1,공릉2동,11350600,115367,134548,96186,6983449
2020,1,공항동,11500620,91078,92974,89183,10861768
2020,1,광장동,11215810,109780,145578,73982,2393761
2020,1,광희동,11140590,208443,219236,197649,737204
2020,1,교남동,11110580,180593,246999,114186,346926
2020,1,구로1동,11530520,107554,153878,61229,1008892
2020,1,구로2동,11530530,96611,111513,81709,1703350
2020,1,구로3동,11530540,129661,155814,103508,1040120
2020,1,구로4동,11530550,114282,152001,76562,524507
2020,1,구로5동,11530560,103827,96066,111589,1012473
2020,1,구산동,11380560,73446,103007,43884,1389775
2020,1,구의1동,11215850,78822,107625,50020,565313
2020,1,구의2동,11215860,109420,151408,67432,1388041
2020,1,구의3동,11215870,106504,117932,95075,1027561
2020,1,군자동,11215730,87502,110347,64657,738025
2020,1,금호1가동,11200590,92480,117966,66995,444872
2020,1,금호23가동,11200615,108308,136080,80535,631196
2020,1,금호4가동,11200620,98200,123297,73103,832333
2020,1,길동,11740685,89401,109346,69456,1631616
2020,1,길음1동,11290660,140523,157076,123971,797310
2020,1,길음2동,11290685,111277,167971,54583,588002
2020,1,낙성대동,11620585,108271,151355,65187,2262818
2020,1,난곡동,11620775,104208,150931,57484,972373
2020,1,난향동,11620715,83130,104132,62129,821397
2020,1,남가좌1동,11410690,107912,152798,63025,475536
2020,1,남가좌2동,11410700,82940,109731,56149,783775
2020,1,남영동,11170530,88997,116594,61400,1177788
2020,1,남현동,11620630,110110,126785,93436,3281024
2020,1,내곡동,11650660,112385,101799,122971,12708880
2020,1,노량진1동,11590510,137708,192574,82842,1613446
2020,1,노량진2동,11590520,108186,122706,93666,600568
2020,1,녹번동,11380510,87193,106287,68099,1794215
2020,1,논현1동,11680521,128330,147847,108812,1258744
2020,1,논현2동,11680531,128256,146640,109871,1458524
2020,1,능동,11215780,101015,137075,64954,1092105
2020,1,다산동,11140625,102327,114196,90459,523971
2020,1,답십리1동,11230600,102206,150329,54083,788242
2020,1,답십리2동,11230610,70234,82414,58054,875745
2020,1,당산1동,11560550,73213,92233,54194,745305
2020,1,당산2동,11560560,106842,142867,70817,1581310
