연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11110515,청운효자동,805,31,27,24
2020,1,11110530,사직동,2654,79,73,188
2020,1,11110540,삼청동,680,21,17,46
2020,1,11110550,부암동,454,16,11,32
2020,1,11110560,평창동,653,15,17,37
2020,1,11110570,무악동,184,6,3,22
2020,1,11110580,교남동,363,21,15,60
2020,1,11110600,가회동,583,14,18,51
2020,1,11110615,종로1·2·3·4가동,10540,248,235,580
2020,1,11110630,종로5·6가동,1974,63,47,92
2020,1,11110640,이화동,787,25,27,133
2020,1,11110650,혜화동,1468,59,51,201
2020,1,11110670,창신1동,1807,57,44,47
2020,1,11110680,창신2동,399,23,13,24
2020,1,11110690,창신3동,177,6,4,19
2020,1,11110700,숭인1동,279,8,11,28
2020,1,11110710,숭인2동,918,29,22,72
2020,1,11140520,소공동,2996,75,55,249
2020,1,11140540,회현동,5455,134,164,231
2020,1,11140550,명동,4697,120,102,544
2020,1,11140570,필동,1214,31,40,137
2020,1,11140580,장충동,523,20,14,32
2020,1,11140590,광희동,5848,164,169,276
2020,1,11140605,을지로동,2795,75,67,112
2020,1,11140615,신당동,11829,498,393,117
2020,1,11140625,다산동,851,25,23,76
2020,1,11140635,약수동,689,20,17,66
2020,1,11140645,청구동,525,17,8,35
2020,1,11140650,신당5동,728,30,25,48
2020,1,11140665,동화동,542,20,10,40
2020,1,11140670,황학동,1366,43,31,71
2020,1,11140680,중림동,704,21,26,69
2020,1,11170510,후암동,782,35,29,44
2020,1,11170520,용산2가동,562,21,16,40
2020,1,11170530,남영동,1278,38,41,154
2020,1,11170555,청파동,1192,44,38,137
2020,1,11170560,원효로1동,1659,41,43,83
2020,1,11170570,원효로2동,922,25,31,38
2020,1,11170580,효창동,329,16,9,25
2020,1,11170590,용문동,528,17,18,38
2020,1,11170625,한강로동,4819,134,129,283
2020,1,11170630,이촌1동,834,26,15,75
2020,1,11170640,이촌2동,273,9,10,16
2020,1,11170650,이태원1동,1600,44,76,80
2020,1,11170660,이태원2동,796,32,46,40
2020,1,11170685,한남동,2171,109,69,128
2020,1,11170690,서빙고동,369,15,7,24
2020,1,11170700,보광동,749,32,28,41
2020,1,11200520,왕십리2동,520,16,15,60
2020,1,11200535,왕십리도선동,1791,71,49,161
2020,1,11200540,마장동,2330,47,48,57
2020,1,11200550,사근동,893,43,25,192
2020,1,11200560,행당1동,1201,39,46,149
2020,1,11200570,행당2동,530,17,11,59
2020,1,11200580,응봉동,296,8,4,19
2020,1,11200590,금호1가동,450,16,17,42
2020,1,11200615,금호2·3가동,842,29,24,67
2020,1,11200620,금호4가동,552,16,10,55
2020,1,11200645,옥수동,825,39,24,76
2020,1,11200650,성수1가1동,977,50,26,66
2020,1,11200660,성수1가2동,1629,79,31,112
2020,1,11200670,성수2가1동,1433,69,46,99
2020,1,11200690,성수2가3동,2726,127,60,189
2020,1,11200720,송정동,430,16,5,14
2020,1,11200790,용답동,1274,39,37,72
2020,1,11215710,화양동,2261,111,80,348
2020,1,11215730,군자동,1233,35,33,120
2020,1,11215740,중곡1동,1106,48,34,65
2020,1,11215750,중곡2동,1130,44,39,78
2020,1,11215760,중곡3동,869,40,29,63
2020,1,11215770,중곡4동,1044,44,34,67
2020,1,11215780,능동,630,25,22,66
2020,1,11215810,광장동,1097,36,30,99
2020,1,11215820,자양1동,1312,51,39,125
2020,1,11215830,자양2동,1038,31,25,89
2020,1,11215840,자양3동,1281,56,33,138
2020,1,11215847,자양4동,1522,59,44,121
2020,1,11215850,구의1동,1462,58,47,120
2020,1,11215860,구의2동,937,34,32,80
2020,1,11215870,구의3동,2508,79,71,214
2020,1,11230536,용신동,2648,99,83,178
2020,1,11230545,제기동,3139,78,84,69
2020,1,11230560,전농1동,1948,74,56,175
2020,1,11230570,전농2동,618,26,22,76
2020,1,11230600,답십리1동,1132,48,31,87
2020,1,11230610,답십리2동,1634,46,43,81
2020,1,11230650,장안1동,2691,112,84,187
2020,1,11230660,장안2동,2160,88,75,235
2020,1,11230705,청량리동,1105,44,42,57
2020,1,11230710,회기동,977,42,56,149
2020,1,11230720,휘경1동,711,18,30,82
2020,1,11230730,휘경2동,559,28,17,56
2020,1,11230740,이문1동,959,32,60,106
2020,1,11230750,이문2동,482,22,16,38
