연도,분기,행정동_코드,행정동_코드_명,점포_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11110515,청운효자동,781,805,31,27,24
2020,1,11110530,사직동,2466,2654,79,73,188
2020,1,11110540,삼청동,634,680,21,17,46
2020,1,11110550,부암동,422,454,16,11,32
2020,1,11110560,평창동,616,653,15,17,37
2020,1,11110570,무악동,162,184,6,3,22
2020,1,11110580,교남동,303,363,21,15,60
2020,1,11110600,가회동,532,583,14,18,51
2020,1,11110615,종로1·2·3·4가동,9960,10540,248,235,580
2020,1,11110630,종로5·6가동,1882,1974,63,47,92
2020,1,11110640,이화동,654,787,25,27,133
2020,1,11110650,혜화동,1267,1468,59,51,201
2020,1,11110670,창신1동,1760,1807,57,44,47
2020,1,11110680,창신2동,375,399,23,13,24
2020,1,11110690,창신3동,158,177,6,4,19
2020,1,11110700,숭인1동,251,279,8,11,28
2020,1,11110710,숭인2동,846,918,29,22,72
2020,1,11140520,소공동,2747,2996,75,55,249
2020,1,11140540,회현동,5224,5455,134,164,231
2020,1,11140550,명동,4153,4697,120,102,544
2020,1,11140570,필동,1077,1214,31,40,137
2020,1,11140580,장충동,491,523,20,14,32
2020,1,11140590,광희동,5572,5848,164,169,276
2020,1,11140605,을지로동,2683,2795,75,67,112
2020,1,11140615,신당동,11712,11829,498,393,117
2020,1,11140625,다산동,775,851,25,23,76
2020,1,11140635,약수동,623,689,20,17,66
2020,1,11140645,청구동,490,525,17,8,35
2020,1,11140650,신당5동,680,728,30,25,48
2020,1,11140665,동화동,502,542,20,10,40
2020,1,11140670,황학동,1295,1366,43,31,71
2020,1,11140680,중림동,635,704,21,26,69
2020,1,11170510,후암동,738,782,35,29,44
2020,1,11170520,용산2가동,522,562,21,16,40
2020,1,11170530,남영동,1124,1278,38,41,154
2020,1,11170555,청파동,1055,1192,44,38,137
2020,1,11170560,원효로1동,1576,1659,41,43,83
2020,1,11170570,원효로2동,884,922,25,31,38
2020,1,11170580,효창동,304,329,16,9,25
2020,1,11170590,용문동,490,528,17,18,38
2020,1,11170625,한강로동,4536,4819,134,129,283
2020,1,11170630,이촌1동,759,834,26,15,75
2020,1,11170640,이촌2동,257,273,9,10,16
2020,1,11170650,이태원1동,1520,1600,44,76,80
2020,1,11170660,이태원2동,756,796,32,46,40
2020,1,11170685,한남동,2043,2171,109,69,128
2020,1,11170690,서빙고동,345,369,15,7,24
2020,1,11170700,보광동,708,749,32,28,41
2020,1,11200520,왕십리2동,460,520,16,15,60
2020,1,11200535,왕십리도선동,1630,1791,71,49,161
2020,1,11200540,마장동,2273,2330,47,48,57
2020,1,11200550,사근동,701,893,43,25,192
2020,1,11200560,행당1동,1052,1201,39,46,149
2020,1,11200570,행당2동,471,530,17,11,59
2020,1,11200580,응봉동,277,296,8,4,19
2020,1,11200590,금호1가동,408,450,16,17,42
2020,1,11200615,금호2·3가동,775,842,29,24,67
2020,1,11200620,금호4가동,497,552,16,10,55
2020,1,11200645,옥수동,749,825,39,24,76
2020,1,11200650,성수1가1동,911,977,50,26,66
2020,1,11200660,성수1가2동,1517,1629,79,31,112
2020,1,11200670,성수2가1동,1334,1433,69,46,99
2020,1,11200690,성수2가3동,2537,2726,127,60,189
2020,1,11200720,송정동,416,430,16,5,14
2020,1,11200790,용답동,1202,1274,39,37,72
2020,1,11215710,화양동,1913,2261,111,80,348
2020,1,11215730,군자동,1113,1233,35,33,120
2020,1,11215740,중곡1동,1041,1106,48,34,65
2020,1,11215750,중곡2동,1052,1130,44,39,78
2020,1,11215760,중곡3동,806,869,40,29,63
2020,1,11215770,중곡4동,977,1044,44,34,67
2020,1,11215780,능동,564,630,25,22,66
2020,1,11215810,광장동,998,1097,36,30,99
2020,1,11215820,자양1동,1187,1312,51,39,125
2020,1,11215830,자양2동,949,1038,31,25,89
2020,1,11215840,자양3동,1143,1281,56,33,138
2020,1,11215847,자양4동,1401,1522,59,44,121
2020,1,11215850,구의1동,1342,1462,58,47,120
2020,1,11215860,구의2동,857,937,34,32,80
2020,1,11215870,구의3동,2294,2508,79,71,214
2020,1,11230536,용신동,2470,2648,99,83,178
2020,1,11230545,제기동,3070,3139,78,84,69
2020,1,11230560,전농1동,1773,1948,74,56,175
2020,1,11230570,전농2동,542,618,26,22,76
2020,1,11230600,답십리1동,1045,1132,48,31,87
2020,1,11230610,답십리2동,1553,1634,46,43,81
2020,1,11230650,장안1동,2504,2691,112,84,187
2020,1,11230660,장안2동,1925,2160,88,75,235
2020,1,11230705,청량리동,1048,1105,44,42,57
2020,1,11230710,회기동,828,977,42,56,149
2020,1,11230720,휘경1동,629,711,18,30,82
2020,1,11230730,휘경2동,503,559,28,17,56
2020,1,11230740,이문1동,853,959,32,60,106
2020,1,11230750,이문2동,444,482,22,16,38
2020,1,11260520,면목2동,1037,1094,46,32,57
2020,1,11260540,면목4동,539,577,22,21,38
2020,1,11260550,면목5동,382,407,18,11,25
2020,1,11260565,면목본동,1479,1588,62,53,109
2020,1,11260570,면목7동,926,981,41,36,55
2020,1,11260575,면목3·8동,1258,1369,57,49,111
2020,1,11260580,상봉1동,765,855,47,25,90
2020,1,11260590,상봉2동,1363,1506,69,59,143
2020,1,11260600,중화1동,578,620,22,25,42
2020,1,11260610,중화2동,1186,1277,46,54,91
2020,1,11260620,묵1동,993,1101,32,28,108
2020,1,11260630,묵2동,857,915,20,21,58
2020,1,11260655,망우본동,1629,1775,62,73,146
2020,1,11260660,망우3동,511,547,21,18,36
2020,1,11260680,신내1동,1074,1203,49,29,129
2020,1,11260690,신내2동,620,710,25,27,90
2020,1,11290525,성북동,901,965,25,23,64
2020,1,11290555,삼선동,1325,1425,44,48,100
2020,1,11290575,동선동,1597,1850,76,76,253
2020,1,11290580,돈암1동,351,375,10,8,24
2020,1,11290590,돈암2동,404,439,23,11,35
2020,1,11290600,안암동,905,1082,40,33,177
2020,1,11290610,보문동,666,726,20,18,60
2020,1,11290620,정릉1동,516,568,32,19,52
2020,1,11290630,정릉2동,580,642,28,31,62
2020,1,11290640,정릉3동,427,482,21,20,55
2020,1,11290650,정릉4동,643,714,29,18,71
2020,1,11290660,길음1동,759,862,35,36,103
2020,1,11290685,길음2동,914,1008,67,25,94
2020,1,11290705,종암동,1230,1363,61,48,133
2020,1,11290715,월곡1동,791,869,35,28,78
2020,1,11290725,월곡2동,951,1075,33,20,124
2020,1,11290760,장위1동,590,626,25,11,36
2020,1,11290770,장위2동,684,716,30,42,32
2020,1,11290780,장위3동,413,447,16,9,34
2020,1,11290810,석관동,1275,1394,52,36,119
2020,1,11305534,삼양동,618,678,13,15,60
2020,1,11305535,미아동,1120,1220,49,43,100
2020,1,11305545,송중동,1561,1751,110,76,190
2020,1,11305555,송천동,1273,1390,62,47,117
2020,1,11305575,삼각산동,633,709,27,28,76
2020,1,11305595,번1동,1234,1345,53,42,111
2020,1,11305603,번2동,305,324,10,10,19
2020,1,11305608,번3동,337,392,14,17,55
2020,1,11305615,수유1동,993,1043,32,33,50
2020,1,11305625,수유2동,776,830,30,19,54
2020,1,11305635,수유3동,1854,2058,90,73,204
2020,1,11305645,우이동,725,786,20,21,61
2020,1,11305660,인수동,930,996,36,30,66
2020,1,11320511,창1동,696,775,43,34,79
2020,1,11320512,창2동,829,893,27,25,64
2020,1,11320513,창3동,572,604,19,22,32
2020,1,11320514,창4동,867,954,41,30,87
2020,1,11320515,창5동,985,1116,41,42,131
2020,1,11320521,도봉1동,1024,1115,37,34,91
2020,1,11320522,도봉2동,856,902,28,31,46
2020,1,11320660,쌍문1동,506,554,24,22,48
2020,1,11320670,쌍문2동,827,912,27,23,85
2020,1,11320680,쌍문3동,663,726,27,22,63
2020,1,11320681,쌍문4동,396,438,17,12,42
2020,1,11320690,방학1동,1604,1782,79,60,178
2020,1,11320700,방학2동,715,755,22,25,40
2020,1,11320710,방학3동,466,507,16,16,41
2020,1,11350560,월계1동,922,1067,37,33,145
2020,1,11350570,월계2동,457,500,24,16,43
2020,1,11350580,월계3동,586,648,18,23,62
2020,1,11350595,공릉1동,1891,2076,89,66,185
2020,1,11350600,공릉2동,1159,1358,57,53,199
2020,1,11350611,하계1동,762,857,34,14,95
2020,1,11350612,하계2동,260,281,10,12,21
2020,1,11350619,중계본동,1060,1157,40,36,97
2020,1,11350621,중계1동,820,960,28,24,140
2020,1,11350624,중계4동,740,824,33,31,84
2020,1,11350625,중계2·3동,1079,1201,46,46,122
2020,1,11350630,상계1동,1352,1494,57,42,142
2020,1,11350640,상계2동,2378,2641,112,77,263
2020,1,11350665,상계3·4동,778,820,29,28,42
2020,1,11350670,상계5동,1114,1185,53,42,71
2020,1,11350695,상계6·7동,1320,1489,56,43,169
2020,1,11350700,상계8동,372,407,18,5,35
2020,1,11350710,상계9동,395,437,19,17,42
2020,1,11350720,상계10동,287,309,4,5,22
2020,1,11380510,녹번동,1141,1237,47,34,96
2020,1,11380520,불광1동,1210,1341,82,49,131
2020,1,11380530,불광2동,1005,1061,38,28,56
2020,1,11380551,갈현1동,1160,1283,48,51,123
2020,1,11380552,갈현2동,1294,1432,63,56,138
2020,1,11380560,구산동,775,842,46,30,67
2020,1,11380570,대조동,2004,2180,102,81,176
2020,1,11380580,응암1동,1218,1361,50,31,143
2020,1,11380590,응암2동,525,560,32,22,35
2020,1,11380600,응암3동,1366,1480,61,40,114
2020,1,11380625,역촌동,1776,1948,80,66,172
2020,1,11380631,신사1동,877,950,44,28,73
2020,1,11380632,신사2동,508,545,14,14,37
2020,1,11380640,증산동,596,643,15,13,47
2020,1,11380650,수색동,377,400,11,15,23
2020,1,11380690,진관동,1630,1908,76,44,278
2020,1,11410520,천연동,574,626,24,25,52
2020,1,11410555,북아현동,619,677,25,20,58
2020,1,11410565,충현동,1075,1178,46,39,103
2020,1,11410585,신촌동,3247,3769,149,118,522
2020,1,11410615,연희동,1744,1874,59,71,130
2020,1,11410620,홍제1동,694,776,29,22,82
2020,1,11410640,홍제3동,755,824,29,24,69
2020,1,11410655,홍제2동,384,427,11,11,43
2020,1,11410660,홍은1동,616,667,23,26,51
2020,1,11410685,홍은2동,773,871,30,27,98
2020,1,11410690,남가좌1동,548,592,30,23,44
2020,1,11410700,남가좌2동,1016,1133,45,36,117
2020,1,11410710,북가좌1동,389,443,16,16,54
2020,1,11410720,북가좌2동,1011,1120,32,29,109
2020,1,11440555,아현동,1143,1251,49,38,108
2020,1,11440565,공덕동,1717,1857,67,54,140
2020,1,11440585,도화동,1316,1456,54,39,140
2020,1,11440590,용강동,1520,1660,68,50,140
2020,1,11440600,대흥동,1179,1314,68,41,135
2020,1,11440610,염리동,587,649,41,25,62
2020,1,11440630,신수동,906,969,41,22,63
2020,1,11440655,서강동,1468,1602,79,91,134
2020,1,11440660,서교동,7126,7863,344,307,737
2020,1,11440680,합정동,1696,1838,85,63,142
2020,1,11440690,망원1동,1321,1409,55,38,88
2020,1,11440700,망원2동,1027,1105,32,26,78
2020,1,11440710,연남동,1768,1840,86,67,72
2020,1,11440720,성산1동,1002,1087,48,43,85
2020,1,11440730,성산2동,1290,1425,44,26,135
2020,1,11440740,상암동,1552,1834,105,76,282
2020,1,11470510,목1동,2410,2741,115,86,331
2020,1,11470520,목2동,930,1004,41,24,74
2020,1,11470530,목3동,981,1076,32,31,95
2020,1,11470540,목4동,1040,1145,39,39,105
2020,1,11470550,목5동,1406,1580,68,52,174
2020,1,11470560,신월1동,1031,1086,44,50,55
2020,1,11470570,신월2동,598,644,34,28,46
2020,1,11470580,신월3동,520,565,19,15,45
2020,1,11470590,신월4동,644,702,27,27,58
