연도,분기,행정동_코드,행정동_코드_명,총_유동인구_수
2020,1,11110515,청운효자동,3612274
2020,1,11110530,사직동,3962616
2020,1,11110540,삼청동,896467
2020,1,11110550,부암동,1289447
2020,1,11110560,평창동,1039818
2020,1,11110570,무악동,1961315
2020,1,11110580,교남동,3330946
2020,1,11110600,가회동,1341490
2020,1,11110615,종로1234가동,13522182
2020,1,11110630,종로56가동,6533193
2020,1,11110640,이화동,3861053
2020,1,11110650,혜화동,8331297
2020,1,11110670,창신1동,3624150
2020,1,11110680,창신2동,5870010
2020,1,11110690,창신3동,856530
2020,1,11110700,숭인1동,2462665
2020,1,11110710,숭인2동,5878009
2020,1,11140520,소공동,2536048
2020,1,11140540,회현동,4446571
2020,1,11140550,명동,5055905
2020,1,11140570,필동,2170595
2020,1,11140580,장충동,2173660
2020,1,11140590,광희동,5945600
2020,1,11140605,을지로동,4973973
2020,1,11140615,신당동,6030407
2020,1,11140625,다산동,4632750
2020,1,11140635,약수동,2820085
2020,1,11140645,청구동,3733581
2020,1,11140650,신당5동,4964450
2020,1,11140665,동화동,3091253
2020,1,11140670,황학동,6199908
2020,1,11140680,중림동,2160290
2020,1,11170510,후암동,4934169
2020,1,11170520,용산2가동,4934733
2020,1,11170530,남영동,2239022
2020,1,11170555,청파동,8412857
2020,1,11170560,원효로1동,5302852
2020,1,11170570,원효로2동,3724609
2020,1,11170580,효창동,4112049
2020,1,11170590,용문동,3276869
2020,1,11170625,한강로동,4958607
2020,1,11170630,이촌1동,5421279
2020,1,11170640,이촌2동,1905419
2020,1,11170650,이태원1동,2497588
2020,1,11170660,이태원2동,3396366
2020,1,11170685,한남동,7252958
2020,1,11170690,서빙고동,2086802
2020,1,11170700,보광동,4872737
2020,1,11200520,왕십리2동,5354686
2020,1,11200535,왕십리도선동,5704385
2020,1,11200540,마장동,6324687
2020,1,11200550,사근동,4373484
2020,1,11200560,행당1동,5730530
2020,1,11200570,행당2동,4443791
2020,1,11200580,응봉동,3465866
2020,1,11200590,금호1가동,4082172
2020,1,11200615,금호23가동,7030499
2020,1,11200620,금호4가동,3242120
2020,1,11200645,옥수동,3298833
2020,1,11200650,성수1가1동,2986535
2020,1,11200660,성수1가2동,6312444
2020,1,11200670,성수2가1동,5509678
2020,1,11200690,성수2가3동,5692383
2020,1,11200720,송정동,3396646
2020,1,11200790,용답동,3149214
2020,1,11215710,화양동,9347518
2020,1,11215730,군자동,5377666
2020,1,11215740,중곡1동,4552413
2020,1,11215750,중곡2동,5437606
2020,1,11215760,중곡3동,5424691
2020,1,11215770,중곡4동,7728066
2020,1,11215780,능동,2600331
2020,1,11215810,광장동,6723060
2020,1,11215820,자양1동,9201605
2020,1,11215830,자양2동,5318703
2020,1,11215840,자양3동,7701288
2020,1,11215847,자양4동,8044789
2020,1,11215850,구의1동,6818044
2020,1,11215860,구의2동,7304476
2020,1,11215870,구의3동,6891769
2020,1,11230536,용신동,14384853
2020,1,11230545,제기동,11639217
2020,1,11230560,전농1동,11719440
2020,1,11230570,전농2동,2759961
2020,1,11230600,답십리1동,7189265
2020,1,11230610,답십리2동,8088878
2020,1,11230650,장안1동,9832980
2020,1,11230660,장안2동,7543272
2020,1,11230705,청량리동,7293369
2020,1,11230710,회기동,5175095
2020,1,11230720,휘경1동,5800073
