연도,분기,행정동_코드,행정동_코드_명,당월_매출_금액
2020,1,11110515,청운효자동,2061038996
2020,1,11110515,청운효자동,39117371
2020,1,11110515,청운효자동,99630577
2020,1,11110515,청운효자동,1141669904
2020,1,11110515,청운효자동,750688465
2020,1,11110515,청운효자동,21708732
2020,1,11110515,청운효자동,7539872
2020,1,11110515,청운효자동,408373261
2020,1,11110515,청운효자동,28602429
2020,1,11110515,청운효자동,1469474536
2020,1,11110515,청운효자동,218792387
2020,1,11110515,청운효자동,1013090
2020,1,11110515,청운효자동,31384616
2020,1,11110515,청운효자동,4911111
2020,1,11110515,청운효자동,366532427
2020,1,11110515,청운효자동,180923407
2020,1,11110515,청운효자동,135654562
2020,1,11110515,청운효자동,20000000
2020,1,11110515,청운효자동,22935347
2020,1,11110515,청운효자동,1785746317
2020,1,11110515,청운효자동,862034095
2020,1,11110515,청운효자동,95961073
2020,1,11110515,청운효자동,81546307
2020,1,11110515,청운효자동,254055213
2020,1,11110515,청운효자동,314813502
2020,1,11110515,청운효자동,7630753
2020,1,11110515,청운효자동,929649955
2020,1,11110515,청운효자동,4053724838
2020,1,11110515,청운효자동,148318537
2020,1,11110515,청운효자동,65037600
2020,1,11110515,청운효자동,3000000
2020,1,11110530,사직동,17657996910
2020,1,11110530,사직동,1764097425
2020,1,11110530,사직동,2760902782
2020,1,11110530,사직동,2047363823
2020,1,11110530,사직동,1019162551
2020,1,11110530,사직동,601084852
2020,1,11110530,사직동,176507488
2020,1,11110530,사직동,1595616244
2020,1,11110530,사직동,1875299034
2020,1,11110530,사직동,7053912157
2020,1,11110530,사직동,331451029
2020,1,11110530,사직동,48071561
2020,1,11110530,사직동,138344090
2020,1,11110530,사직동,824461005
2020,1,11110530,사직동,1839982574
2020,1,11110530,사직동,592146133
2020,1,11110530,사직동,18896283
2020,1,11110530,사직동,633168625
2020,1,11110530,사직동,566201548
2020,1,11110530,사직동,362980566
2020,1,11110530,사직동,33808585
2020,1,11110530,사직동,64495676
2020,1,11110530,사직동,71401302
2020,1,11110530,사직동,62518241
2020,1,11110530,사직동,274009152
2020,1,11110530,사직동,758945663
2020,1,11110530,사직동,2995274350
2020,1,11110530,사직동,53073140
2020,1,11110530,사직동,115011028
2020,1,11110530,사직동,298997561
2020,1,11110530,사직동,3006340892
2020,1,11110530,사직동,56825362
2020,1,11110530,사직동,108189898
2020,1,11110530,사직동,167699523
2020,1,11110530,사직동,2300239109
2020,1,11110530,사직동,2381187308
2020,1,11110530,사직동,1590336844
2020,1,11110530,사직동,5978743
2020,1,11110530,사직동,176126286
2020,1,11110530,사직동,25665638
2020,1,11110530,사직동,202732384
2020,1,11110540,삼청동,3152438917
2020,1,11110540,삼청동,12054189
2020,1,11110540,삼청동,2489865018
2020,1,11110540,삼청동,392628846
2020,1,11110540,삼청동,76084052
2020,1,11110540,삼청동,624490614
2020,1,11110540,삼청동,38656767
2020,1,11110540,삼청동,3027295004
2020,1,11110540,삼청동,125615529
2020,1,11110540,삼청동,299616812
2020,1,11110540,삼청동,318977087
2020,1,11110540,삼청동,2585370984
2020,1,11110540,삼청동,208638449
2020,1,11110540,삼청동,18444062
2020,1,11110540,삼청동,243454429
2020,1,11110540,삼청동,18286051
2020,1,11110540,삼청동,2863088698
2020,1,11110540,삼청동,565337
2020,1,11110550,부암동,567518411
2020,1,11110550,부암동,57570028
2020,1,11110550,부암동,175415771
2020,1,11110550,부암동,231339378
2020,1,11110550,부암동,84615029
2020,1,11110550,부암동,63033677
2020,1,11110550,부암동,155287282
2020,1,11110550,부암동,37511269
2020,1,11110550,부암동,499007238
2020,1,11110550,부암동,428304113
2020,1,11110550,부암동,45871309
2020,1,11110550,부암동,29006583
2020,1,11110550,부암동,42502508
2020,1,11110550,부암동,64505200
2020,1,11110550,부암동,36147115
2020,1,11110550,부암동,407810402
2020,1,11110550,부암동,6189558
2020,1,11110550,부암동,7362247
2020,1,11110550,부암동,88275522
2020,1,11110550,부암동,13489051
2020,1,11110560,평창동,2136150917
2020,1,11110560,평창동,304979013
2020,1,11110560,평창동,22757182
2020,1,11110560,평창동,67224317
2020,1,11110560,평창동,383546741
2020,1,11110560,평창동,80722472
2020,1,11110560,평창동,295320127
2020,1,11110560,평창동,762248099
2020,1,11110560,평창동,150253773
2020,1,11110560,평창동,113788014
2020,1,11110560,평창동,82000000
2020,1,11110560,평창동,87148621
2020,1,11110560,평창동,245668206
2020,1,11110560,평창동,151055338
2020,1,11110560,평창동,1830487
2020,1,11110560,평창동,10024551
2020,1,11110560,평창동,185341917
2020,1,11110560,평창동,69367179
2020,1,11110560,평창동,12850620
2020,1,11110560,평창동,1797283453
2020,1,11110560,평창동,356661287
2020,1,11110560,평창동,522950942
2020,1,11110560,평창동,237651699
2020,1,11110560,평창동,80600957
2020,1,11110560,평창동,292971632
2020,1,11110560,평창동,86524444
2020,1,11110560,평창동,16753399
2020,1,11110560,평창동,7537190
2020,1,11110570,무악동,342046743
2020,1,11110570,무악동,398983904
2020,1,11110570,무악동,3000000
2020,1,11110570,무악동,324291503
2020,1,11110570,무악동,10574047
2020,1,11110570,무악동,161955682
2020,1,11110570,무악동,63413406
2020,1,11110570,무악동,48563452
2020,1,11110570,무악동,1662187429
2020,1,11110570,무악동,202517539
2020,1,11110570,무악동,768277768
2020,1,11110570,무악동,4896362
2020,1,11110570,무악동,357920005
2020,1,11110580,교남동,958187505
2020,1,11110580,교남동,96263274
2020,1,11110580,교남동,115815128
2020,1,11110580,교남동,98614163
2020,1,11110580,교남동,53782849
2020,1,11110580,교남동,17857911
2020,1,11110580,교남동,232621467
2020,1,11110580,교남동,32596832
2020,1,11110580,교남동,56300589
2020,1,11110580,교남동,23995498
2020,1,11110580,교남동,116479505
2020,1,11110580,교남동,545588320
2020,1,11110580,교남동,271389640
2020,1,11110580,교남동,1044976640
2020,1,11110580,교남동,17285222
2020,1,11110580,교남동,75545523
2020,1,11110580,교남동,13226490
2020,1,11110600,가회동,3206564414
2020,1,11110600,가회동,156361443
2020,1,11110600,가회동,831532415
2020,1,11110600,가회동,954526204
2020,1,11110600,가회동,13679554
2020,1,11110600,가회동,82592618
2020,1,11110600,가회동,399841290
2020,1,11110600,가회동,154636905
2020,1,11110600,가회동,2701300273
2020,1,11110600,가회동,129000000
2020,1,11110600,가회동,23640531
2020,1,11110600,가회동,104555758
2020,1,11110600,가회동,462580930
2020,1,11110600,가회동,10019149
2020,1,11110600,가회동,56114780
2020,1,11110600,가회동,31671084
2020,1,11110600,가회동,56713961
2020,1,11110600,가회동,642031239
2020,1,11110600,가회동,1035000000
2020,1,11110600,가회동,200296822
2020,1,11110600,가회동,36762537
2020,1,11110600,가회동,30748407
2020,1,11110600,가회동,113549346
2020,1,11110600,가회동,26173265
2020,1,11110615,종로1·2·3·4가동,55658290992
2020,1,11110615,종로1·2·3·4가동,3713381663
2020,1,11110615,종로1·2·3·4가동,6018228399
2020,1,11110615,종로1·2·3·4가동,6617704197
