연도,분기,행정동_코드,행정동_코드_명,총_상주인구_수
2020,1,11110515,청운효자동,12817
2020,1,11110530,사직동,9386
2020,1,11110540,삼청동,2717
2020,1,11110550,부암동,9987
2020,1,11110560,평창동,18604
2020,1,11110570,무악동,8074
2020,1,11110580,교남동,10621
2020,1,11110600,가회동,4391
2020,1,11110615,종로1?2?3?4가동,7262
2020,1,11110630,종로5?6가동,5211
2020,1,11110640,이화동,7912
2020,1,11110650,혜화동,16833
2020,1,11110670,창신1동,5230
2020,1,11110680,창신2동,8561
2020,1,11110690,창신3동,7127
2020,1,11110700,숭인1동,6180
2020,1,11110710,숭인2동,9457
2020,1,11140520,소공동,2054
2020,1,11140540,회현동,5401
2020,1,11140550,명동,2675
2020,1,11140570,필동,4062
2020,1,11140580,장충동,4645
2020,1,11140590,광희동,4884
2020,1,11140605,을지로동,1770
2020,1,11140615,신당동,7514
2020,1,11140625,다산동,14280
2020,1,11140635,약수동,17520
2020,1,11140645,청구동,14315
2020,1,11140650,신당5동,9242
2020,1,11140665,동화동,10843
2020,1,11140670,황학동,12541
2020,1,11140680,중림동,12684
2020,1,11170510,후암동,17971
2020,1,11170520,용산2가동,10366
2020,1,11170530,남영동,7846
2020,1,11170555,청파동,19763
2020,1,11170560,원효로1동,15876
2020,1,11170570,원효로2동,14479
2020,1,11170580,효창동,9013
2020,1,11170590,용문동,12234
2020,1,11170625,한강로동,18270
2020,1,11170630,이촌1동,26203
2020,1,11170640,이촌2동,8918
2020,1,11170650,이태원1동,6879
2020,1,11170660,이태원2동,9285
2020,1,11170685,한남동,20545
2020,1,11170690,서빙고동,14396
2020,1,11170700,보광동,14393
2020,1,11200520,왕십리2동,17366
2020,1,11200535,왕십리도선동,27197
2020,1,11200540,마장동,23348
2020,1,11200550,사근동,11680
2020,1,11200560,행당1동,16063
2020,1,11200570,행당2동,24582
2020,1,11200580,응봉동,16162
2020,1,11200590,금호1가동,15816
2020,1,11200615,금호2?3가동,24052
2020,1,11200620,금호4가동,14812
2020,1,11200645,옥수동,27174
2020,1,11200650,성수1가1동,16849
2020,1,11200660,성수1가2동,14194
2020,1,11200670,성수2가1동,17138
2020,1,11200690,성수2가3동,11349
2020,1,11200720,송정동,10955
2020,1,11200790,용답동,12297
2020,1,11215710,화양동,21879
2020,1,11215730,군자동,19728
2020,1,11215740,중곡1동,16503
2020,1,11215750,중곡2동,22009
2020,1,11215760,중곡3동,17079
2020,1,11215770,중곡4동,29801
2020,1,11215780,능동,11440
2020,1,11215810,광장동,35891
2020,1,11215820,자양1동,22927
2020,1,11215830,자양2동,26501
2020,1,11215840,자양3동,29199
2020,1,11215847,자양4동,18510
2020,1,11215850,구의1동,22191
2020,1,11215860,구의2동,27488
2020,1,11215870,구의3동,29770
