년도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액
2020,1,11110515,청운효자동,3780222,1907902000
2020,1,11110530,사직동,5007768,38784512000
2020,1,11110540,삼청동,3442534,1684064000
2020,1,11110550,부암동,3647449,1002078000
2020,1,11110560,평창동,4504006,2273110000
2020,1,11110570,무악동,5136717,1629290000
2020,1,11110580,교남동,4616890,1300242000
2020,1,11110600,가회동,3479766,1260731000
2020,1,11110615,종로1?2?3?4가동,3245251,69538107000
2020,1,11110630,종로5?6가동,2531450,6263897000
2020,1,11110640,이화동,3024996,9489352000
2020,1,11110650,혜화동,3333112,6751194000
2020,1,11110670,창신1동,2393308,1732112000
2020,1,11110680,창신2동,2112817,634198000
2020,1,11110690,창신3동,3006052,296606000
2020,1,11110700,숭인1동,2868519,581000000
2020,1,11110710,숭인2동,2607311,1561118000
2020,1,11140520,소공동,5380521,1210529228000
2020,1,11140540,회현동,4442451,658887828000
2020,1,11140550,명동,3733600,47775806000
2020,1,11140570,필동,3033044,3447485000
2020,1,11140580,장충동,2895026,1356648000
2020,1,11140590,광희동,3229604,9370967000
2020,1,11140605,을지로동,3082514,21134198000
2020,1,11140615,신당동,2816850,3752934000
2020,1,11140625,다산동,2679845,2796073000
2020,1,11140635,약수동,3894878,2487219000
2020,1,11140645,청구동,3566241,1460297000
2020,1,11140650,신당5동,3027979,1564668000
2020,1,11140665,동화동,3621349,1516814000
2020,1,11140670,황학동,3247840,2626087000
2020,1,11140680,중림동,4435938,2056023000
2020,1,11170510,후암동,3013677,1732947000
2020,1,11170520,용산2가동,2540319,106812342000
2020,1,11170530,남영동,3183091,49379387000
2020,1,11170555,청파동,2608804,2393721000
2020,1,11170560,원효로1동,4450695,2357769000
2020,1,11170570,원효로2동,3817026,797950000
2020,1,11170580,효창동,3523201,937402000
2020,1,11170590,용문동,3568910,1287223000
2020,1,11170625,한강로동,4948344,26764394000
2020,1,11170630,이촌1동,5974291,2525734000
2020,1,11170640,이촌2동,3596083,540815000
2020,1,11170650,이태원1동,3682946,7912835000
2020,1,11170660,이태원2동,3261019,1532461000
2020,1,11170685,한남동,4381088,9492748000
2020,1,11170690,서빙고동,4208562,955666000
2020,1,11170700,보광동,2545653,962699000
2020,1,11200520,왕십리2동,3474994,1614735000
2020,1,11200535,왕십리도선동,4015131,6769599000
2020,1,11200540,마장동,3021967,4668958000
2020,1,11200550,사근동,3099614,4789303000
2020,1,11200560,행당1동,3900841,5469033000
2020,1,11200570,행당2동,4408744,1360899000
2020,1,11200580,응봉동,3858472,407874000
2020,1,11200590,금호1가동,4010011,1025764000
2020,1,11200615,금호2?3가동,3751434,2033999000
2020,1,11200620,금호4가동,4442144,2635847000
2020,1,11200645,옥수동,4836487,2791848000
2020,1,11200650,성수1가1동,3870717,2228884000
2020,1,11200660,성수1가2동,3263294,5522595000
2020,1,11200670,성수2가1동,2900762,4637140000
2020,1,11200690,성수2가3동,3358391,9958758000
2020,1,11200720,송정동,2566462,707358000
2020,1,11200790,용답동,2484354,9364452000
2020,1,11215710,화양동,2470026,14826214000
2020,1,11215730,군자동,2604535,3979598000
2020,1,11215740,중곡1동,2542359,3761761000
2020,1,11215750,중곡2동,2555101,3128743000
2020,1,11215760,중곡3동,2390961,2310412000
2020,1,11215770,중곡4동,2523958,2918126000
2020,1,11215780,능동,2846023,4266864000
2020,1,11215810,광장동,5284540,3478064000
2020,1,11215820,자양1동,2745988,4222584000
2020,1,11215830,자양2동,2999213,2706127000
2020,1,11215840,자양3동,4353416,3641520000
2020,1,11215847,자양4동,2795134,6289200000
2020,1,11215850,구의1동,2683701,3600502000
2020,1,11215860,구의2동,2948328,3495485000
2020,1,11215870,구의3동,4010979,9855878000
2020,1,11230536,용신동,2894254,11950852000
2020,1,11230545,제기동,2792227,6187347000
2020,1,11230560,전농1동,3070695,4393680000
2020,1,11230570,전농2동,3136080,1346792000
2020,1,11230600,답십리1동,3538405,3520841000
2020,1,11230610,답십리2동,3049260,4512602000
2020,1,11230650,장안1동,2863708,9368489000
2020,1,11230660,장안2동,2920490,9222025000
2020,1,11230705,청량리동,2860315,3072008000
2020,1,11230710,회기동,3217279,8334591000
2020,1,11230720,휘경1동,2722774,2942296000
2020,1,11230730,휘경2동,3071586,1705231000
2020,1,11230740,이문1동,3000929,2323520000
