연도,분기,행정동코드,행정동명,당월매출금액
2019,1,11110515,청운효자동,15568061933
2019,1,11110530,사직동,61451914402
2019,1,11110540,삼청동,20434470250
2019,1,11110550,부암동,2735694097
2019,1,11110560,평창동,8286122649
2019,1,11110570,무악동,1728320581
2019,1,11110580,교남동,3792669784
2019,1,11110600,가회동,10903249749
2019,1,11110615,종로1·2·3·4가동,422206480038
2019,1,11110630,종로5·6가동,79519001286
2019,1,11110640,이화동,27844472641
2019,1,11110650,혜화동,44648580318
2019,1,11110670,창신1동,81364279788
2019,1,11110680,창신2동,8430066808
2019,1,11110690,창신3동,377339820
2019,1,11110700,숭인1동,3638404690
2019,1,11110710,숭인2동,22457294034
2019,1,11140520,소공동,70726980643
2019,1,11140540,회현동,157060725783
2019,1,11140550,명동,217593640767
2019,1,11140570,필동,26803924172
2019,1,11140580,장충동,18543736088
2019,1,11140590,광희동,125689117355
2019,1,11140605,을지로동,201714182465
2019,1,11140615,신당동,61045815454
2019,1,11140625,다산동,27358818417
2019,1,11140635,약수동,29189437749
2019,1,11140645,청구동,12440468962
2019,1,11140650,신당5동,16001653569
2019,1,11140665,동화동,10257269280
2019,1,11140670,황학동,34370261771
2019,1,11140680,중림동,25298708740
2019,1,11170510,후암동,14502551794
2019,1,11170520,용산2가동,8760391020
2019,1,11170530,남영동,38769767956
2019,1,11170555,청파동,29421968556
2019,1,11170560,원효로1동,215818167408
2019,1,11170570,원효로2동,210112270102
2019,1,11170580,효창동,8620753103
2019,1,11170590,용문동,12178983677
2019,1,11170625,한강로동,1015423652233
2019,1,11170630,이촌1동,27830997967
2019,1,11170640,이촌2동,3107081006
2019,1,11170650,이태원1동,73901538531
2019,1,11170660,이태원2동,10059900517
2019,1,11170685,한남동,57251441396
2019,1,11170690,서빙고동,6423218750
2019,1,11170700,보광동,16594418153
2019,1,11200520,왕십리2동,8026715140
2019,1,11200535,왕십리도선동,28246215876
2019,1,11200540,마장동,17922946290
2019,1,11200550,사근동,33092771447
2019,1,11200560,행당1동,32304030901
2019,1,11200570,행당2동,11280627374
2019,1,11200580,응봉동,1237977485
2019,1,11200590,금호1가동,5612484982
2019,1,11200615,금호2·3가동,14978101396
2019,1,11200620,금호4가동,7386824867
2019,1,11200645,옥수동,12932521609
2019,1,11200650,성수1가1동,18869119000
2019,1,11200660,성수1가2동,35103262541
2019,1,11200670,성수2가1동,72528907339
2019,1,11200690,성수2가3동,83494655404
2019,1,11200720,송정동,4214476061
2019,1,11200790,용답동,24416720106
2019,1,11215710,화양동,78730001448
2019,1,11215730,군자동,32968677720
2019,1,11215740,중곡1동,30706040311
2019,1,11215750,중곡2동,29957993722
2019,1,11215760,중곡3동,12240984454
2019,1,11215770,중곡4동,26549406195
2019,1,11215780,능동,19199398348
2019,1,11215810,광장동,23542060153
2019,1,11215820,자양1동,26591783505
2019,1,11215830,자양2동,12306742477
2019,1,11215840,자양3동,45383844129
2019,1,11215847,자양4동,36940035334
2019,1,11215850,구의1동,43212116598
2019,1,11215860,구의2동,20740106601
2019,1,11215870,구의3동,148544963413
2019,1,11230536,용신동,65646900892
2019,1,11230545,제기동,320804264395
2019,1,11230560,전농1동,25886974532
2019,1,11230570,전농2동,11057186097
2019,1,11230600,답십리1동,19969298026
2019,1,11230610,답십리2동,19016043438
2019,1,11230650,장안1동,97656705187
2019,1,11230660,장안2동,60995281953
2019,1,11230705,청량리동,28718650436
2019,1,11230710,회기동,23302116609
2019,1,11230720,휘경1동,16624407740
2019,1,11230730,휘경2동,11826733219
2019,1,11230740,이문1동,22519378288
2019,1,11230750,이문2동,6020644228
2019,1,11260520,면목2동,13908836812
2019,1,11260540,면목4동,9862694961
2019,1,11260550,면목5동,8752718926
2019,1,11260565,면목본동,40145578417
2019,1,11260570,면목7동,29247111347
2019,1,11260575,면목3·8동,25287671577
2019,1,11260580,상봉1동,52738725693
2019,1,11260590,상봉2동,48219014696
2019,1,11260600,중화1동,7522082981
2019,1,11260610,중화2동,30201976953
2019,1,11260620,묵1동,24913287069
2019,1,11260630,묵2동,21824172276
2019,1,11260655,망우본동,45123392490
2019,1,11260660,망우3동,9535089716
2019,1,11260680,신내1동,40703560273
2019,1,11260690,신내2동,21685266966
2019,1,11290525,성북동,16414850811
2019,1,11290555,삼선동,38782110507
2019,1,11290575,동선동,49214292992
2019,1,11290580,돈암1동,4128322804
2019,1,11290590,돈암2동,4385944849
2019,1,11290600,안암동,29966770061
2019,1,11290610,보문동,11498515804
2019,1,11290620,정릉1동,7288841228
2019,1,11290630,정릉2동,9488545218
2019,1,11290640,정릉3동,6752753806
2019,1,11290650,정릉4동,14322126437
2019,1,11290660,길음1동,9384121477
2019,1,11290685,길음2동,18232167892
2019,1,11290705,종암동,29000853402
2019,1,11290715,월곡1동,11090025184
2019,1,11290725,월곡2동,19156850327
2019,1,11290760,장위1동,6591021460
2019,1,11290770,장위2동,9701209535
2019,1,11290780,장위3동,5433872318
2019,1,11290810,석관동,23584657986
2019,1,11305534,삼양동,12899198264
2019,1,11305535,미아동,30927222290
2019,1,11305545,송중동,62290245534
2019,1,11305555,송천동,28187672728
2019,1,11305575,삼각산동,7664118962
2019,1,11305595,번1동,51294274645
2019,1,11305603,번2동,4012845659
2019,1,11305608,번3동,9821314806
2019,1,11305615,수유1동,27158428832
2019,1,11305625,수유2동,17209730113
2019,1,11305635,수유3동,57690776901
2019,1,11305645,우이동,13578003387
2019,1,11305660,인수동,13431354541
2019,1,11320511,창1동,23133026221
2019,1,11320512,창2동,14696356208
2019,1,11320513,창3동,10418351301
2019,1,11320514,창4동,21880135036
2019,1,11320515,창5동,34359006360
2019,1,11320521,도봉1동,38728873291
2019,1,11320522,도봉2동,9868584850
2019,1,11320660,쌍문1동,9910432629
2019,1,11320670,쌍문2동,21673100557
2019,1,11320680,쌍문3동,16119625068
2019,1,11320681,쌍문4동,7742069039
2019,1,11320690,방학1동,38235638224
2019,1,11320700,방학2동,34088064712
2019,1,11320710,방학3동,9847503237
2019,1,11350560,월계1동,19096029889
2019,1,11350570,월계2동,6116153960
2019,1,11350580,월계3동,5034774631
2019,1,11350595,공릉1동,42805217442
2019,1,11350600,공릉2동,25944125570
2019,1,11350611,하계1동,55403781937
2019,1,11350612,하계2동,3993140191
2019,1,11350619,중계본동,31302430754
2019,1,11350621,중계1동,8723461389
2019,1,11350624,중계4동,25543582065
2019,1,11350625,중계2·3동,120467531162
2019,1,11350630,상계1동,33069997698
2019,1,11350640,상계2동,72545899625
2019,1,11350665,상계3·4동,8075443164
2019,1,11350670,상계5동,14179966747
2019,1,11350695,상계6·7동,69739777067
2019,1,11350700,상계8동,10517453861
2019,1,11350710,상계9동,12327443422
2019,1,11350720,상계10동,3462211282
2019,1,11380510,녹번동,24480976949
2019,1,11380520,불광1동,34485522135
2019,1,11380530,불광2동,20264060955
2019,1,11380551,갈현1동,32462875724
2019,1,11380552,갈현2동,40825208857
2019,1,11380560,구산동,9866891914
2019,1,11380570,대조동,50823077605
2019,1,11380580,응암1동,35428958628
2019,1,11380590,응암2동,6901946652
2019,1,11380600,응암3동,33118939170
2019,1,11380625,역촌동,28646143992
2019,1,11380631,신사1동,15933514110
2019,1,11380632,신사2동,7791645310
2019,1,11380640,증산동,9523821109
2019,1,11380650,수색동,3619509313
2019,1,11380690,진관동,15215500316
2019,1,11410520,천연동,12954446868
2019,1,11410555,북아현동,11302077899
2019,1,11410565,충현동,22163138056
2019,1,11410585,신촌동,116828300866
2019,1,11410615,연희동,49154700699
2019,1,11410620,홍제1동,11716622973
2019,1,11410640,홍제3동,27556013578
2019,1,11410655,홍제2동,5145898468
2019,1,11410660,홍은1동,9121808212
2019,1,11410685,홍은2동,14941265831
2019,1,11410690,남가좌1동,7893546173
2019,1,11410700,남가좌2동,16981266448
2019,1,11410710,북가좌1동,2890235523
2019,1,11410720,북가좌2동,27272715222
2019,1,11440555,아현동,20928343164
2019,1,11440565,공덕동,32816844380
2019,1,11440585,도화동,32798095791
2019,1,11440590,용강동,51163448159
2019,1,11440600,대흥동,33878619969
2019,1,11440610,염리동,10349666751
2019,1,11440630,신수동,16643414710
2019,1,11440655,서강동,29538547703
2019,1,11440660,서교동,269865867712
2019,1,11440680,합정동,51718857714
2019,1,11440690,망원1동,31485840364
2019,1,11440700,망원2동,19809564451
2019,1,11440710,연남동,29765404103
2019,1,11440720,성산1동,31011371234
2019,1,11440730,성산2동,34187105165
2019,1,11440740,상암동,61210076540
2019,1,11470510,목1동,57451735161
2019,1,11470520,목2동,21431417799
2019,1,11470530,목3동,25202869619
2019,1,11470540,목4동,23943541223
2019,1,11470550,목5동,32994208695
2019,1,11470560,신월1동,19047964773
2019,1,11470570,신월2동,15886973843
