연도,분기,행정동_코드,행정동_코드_명,총_직장_인구_수
2020,1,11710631,가락1동,5894
2020,1,11710632,가락2동,6848
2020,1,11710620,가락본동,25135
2020,1,11530595,가리봉동,899
2020,1,11545510,가산동,83042
2020,1,11500603,가양1동,1410
2020,1,11500605,가양3동,245
2020,1,11110600,가회동,11063
2020,1,11380551,갈현1동,2296
2020,1,11380552,갈현2동,2994
2020,1,11740515,강일동,125
2020,1,11530740,개봉1동,2776
2020,1,11530750,개봉2동,5442
2020,1,11530760,개봉3동,1537
2020,1,11680660,개포1동,2438
2020,1,11680670,개포2동,5146
2020,1,11680690,개포4동,8263
2020,1,11710531,거여1동,2854
2020,1,11710532,거여2동,1310
2020,1,11740550,고덕1동,1016
2020,1,11740560,고덕2동,1088
2020,1,11530720,고척1동,2691
2020,1,11530730,고척2동,1771
2020,1,11440565,공덕동,9194
2020,1,11350595,공릉1동,4836
2020,1,11350600,공릉2동,820
2020,1,11500620,공항동,5401
2020,1,11215810,광장동,5066
2020,1,11140590,광희동,55742
2020,1,11110580,교남동,713
2020,1,11530530,구로2동,11964
2020,1,11530540,구로3동,51508
2020,1,11530550,구로4동,1713
2020,1,11530560,구로5동,12772
2020,1,11380560,구산동,1608
2020,1,11215850,구의1동,3413
2020,1,11215860,구의2동,2134
2020,1,11215870,구의3동,9125
2020,1,11215730,군자동,1356
2020,1,11200590,금호1가동,1349
2020,1,11200615,금호2?3가동,447
2020,1,11200620,금호4가동,691
2020,1,11740685,길동,8576
2020,1,11290660,길음1동,3041
2020,1,11290685,길음2동,453
2020,1,11620585,낙성대동,5211
2020,1,11620775,난곡동,991
2020,1,11620715,난향동,544
2020,1,11410690,남가좌1동,951
2020,1,11410700,남가좌2동,1164
2020,1,11170530,남영동,16176
2020,1,11620630,남현동,3384
2020,1,11650660,내곡동,1650
2020,1,11590510,노량진1동,4261
2020,1,11590520,노량진2동,4451
2020,1,11380510,녹번동,2744
2020,1,11680521,논현1동,40704
2020,1,11680531,논현2동,51265
2020,1,11215780,능동,1369
2020,1,11140625,다산동,6255
2020,1,11230600,답십리1동,2044
2020,1,11230610,답십리2동,2483
2020,1,11560550,당산1동,6754
2020,1,11560560,당산2동,11843
2020,1,11560700,대림1동,1494
2020,1,11560710,대림2동,3767
2020,1,11560720,대림3동,4922
2020,1,11590660,대방동,7997
2020,1,11380570,대조동,2231
2020,1,11680600,대치1동,16783
2020,1,11680610,대치2동,85188
2020,1,11680630,대치4동,33175
2020,1,11620735,대학동,939
2020,1,11440600,대흥동,3225
2020,1,11680655,도곡1동,31446
2020,1,11680656,도곡2동,88264
2020,1,11560585,도림동,706
2020,1,11320521,도봉1동,1718
2020,1,11320522,도봉2동,748
2020,1,11440585,도화동,12438
2020,1,11545610,독산1동,11846
2020,1,11545620,독산2동,1367
2020,1,11545630,독산3동,3618
2020,1,11545640,독산4동,1482
2020,1,11290580,돈암1동,103
2020,1,11290590,돈암2동,431
2020,1,11290575,동선동,2112
2020,1,11140665,동화동,1183
2020,1,11740700,둔촌2동,2842
2020,1,11500520,등촌1동,5201
2020,1,11500530,등촌2동,2566
2020,1,11500535,등촌3동,13486
2020,1,11200540,마장동,6773
2020,1,11710540,마천1동,622
2020,1,11710550,마천2동,1635
2020,1,11260660,망우3동,423
2020,1,11260655,망우본동,1589
2020,1,11440690,망원1동,2980
2020,1,11440700,망원2동,4621
2020,1,11260520,면목2동,1066
2020,1,11260575,면목3?8동,1713
2020,1,11260540,면목4동,769
2020,1,11260550,면목5동,991
2020,1,11260570,면목7동,946
2020,1,11260565,면목본동,1335
2020,1,11140550,명동,123928
2020,1,11740530,명일1동,3780
2020,1,11740540,명일2동,2521
2020,1,11470510,목1동,13488
2020,1,11470520,목2동,2860
2020,1,11470530,목3동,1685
2020,1,11470540,목4동,2011
2020,1,11470550,목5동,15306
2020,1,11110570,무악동,451
2020,1,11260620,묵1동,912
2020,1,11260630,묵2동,1390
2020,1,11560605,문래동,57767
2020,1,11710641,문정1동,31693
2020,1,11710642,문정2동,30105
2020,1,11620765,미성동,3064
2020,1,11305535,미아동,1214
2020,1,11650560,반포1동,6436
2020,1,11650570,반포2동,1948
2020,1,11650580,반포3동,3165
2020,1,11650581,반포4동,58955
2020,1,11650550,반포본동,11263
2020,1,11500611,발산1동,2302
2020,1,11650600,방배1동,18441
2020,1,11650610,방배2동,12555
2020,1,11650620,방배3동,14532
2020,1,11650621,방배4동,15638
2020,1,11650590,방배본동,22144
2020,1,11710561,방이1동,8614
2020,1,11710562,방이2동,40875
2020,1,11320690,방학1동,3094
2020,1,11320700,방학2동,810
2020,1,11320710,방학3동,1081
2020,1,11500630,방화1동,4187
2020,1,11500640,방화2동,2319
2020,1,11500641,방화3동,2527
2020,1,11305595,번1동,2250
2020,1,11305603,번2동,337
2020,1,11305608,번3동,207
2020,1,11170700,보광동,565
2020,1,11620525,보라매동,1634
2020,1,11290610,보문동,3276
2020,1,11110550,부암동,1514
2020,1,11410710,북가좌1동,422
2020,1,11410720,북가좌2동,1307
2020,1,11410555,북아현동,1204
2020,1,11380520,불광1동,2010
2020,1,11380530,불광2동,2110
2020,1,11200550,사근동,409
2020,1,11590620,사당1동,3764
2020,1,11590630,사당2동,1976
2020,1,11590640,사당3동,919
2020,1,11590650,사당4동,1255
2020,1,11590651,사당5동,1460
2020,1,11110530,사직동,44477
2020,1,11305575,삼각산동,335
2020,1,11290555,삼선동,4636
2020,1,11680580,삼성1동,159167
2020,1,11680590,삼성2동,58014
2020,1,11620745,삼성동,879
2020,1,11305534,삼양동,462
2020,1,11710610,삼전동,4176
2020,1,11110540,삼청동,3911
2020,1,11350720,상계10동,344
2020,1,11350630,상계1동,3699
2020,1,11350640,상계2동,2183
2020,1,11350665,상계3?4동,652
2020,1,11350670,상계5동,1190
2020,1,11350695,상계6?7동,3980
2020,1,11350700,상계8동,448
2020,1,11350710,상계9동,1010
2020,1,11590530,상도1동,3561
2020,1,11590540,상도2동,992
2020,1,11590550,상도3동,887
2020,1,11590560,상도4동,1118
2020,1,11260580,상봉1동,1704
2020,1,11260590,상봉2동,4761
2020,1,11440740,상암동,11981
2020,1,11740520,상일동,1247
2020,1,11440655,서강동,3646
2020,1,11440660,서교동,26294
2020,1,11620665,서림동,1454
2020,1,11170690,서빙고동,7218
2020,1,11620645,서원동,2333
2020,1,11650510,서초1동,41803
2020,1,11650520,서초2동,58613
2020,1,11650530,서초3동,58156
2020,1,11650531,서초4동,34217
2020,1,11290810,석관동,2897
2020,1,11710600,석촌동,9563
2020,1,11740640,성내1동,13172
2020,1,11740650,성내2동,2007
2020,1,11740660,성내3동,4156
2020,1,11290525,성북동,15551
2020,1,11440720,성산1동,4650
2020,1,11440730,성산2동,1375
2020,1,11200650,성수1가1동,2148
2020,1,11200660,성수1가2동,5342
2020,1,11200670,성수2가1동,7914
2020,1,11200690,성수2가3동,22685
2020,1,11620565,성현동,1543
2020,1,11680700,세곡동,471
2020,1,11140520,소공동,94203
2020,1,11200720,송정동,878
2020,1,11305545,송중동,1450
2020,1,11305555,송천동,926
2020,1,11710580,송파1동,9040
2020,1,11710590,송파2동,5656
2020,1,11530790,수궁동,1792
2020,1,11380650,수색동,242
2020,1,11680750,수서동,15479
2020,1,11305615,수유1동,1218
2020,1,11305625,수유2동,1248
2020,1,11305635,수유3동,3045
2020,1,11110700,숭인1동,307
2020,1,11110710,숭인2동,1662
2020,1,11545670,시흥1동,4261
2020,1,11545680,시흥2동,748
2020,1,11545690,시흥3동,1739
2020,1,11545700,시흥4동,1232
2020,1,11545710,시흥5동,1359
2020,1,11560630,신길1동,2688
2020,1,11560650,신길3동,622
2020,1,11560660,신길4동,593
2020,1,11560670,신길5동,793
2020,1,11560680,신길6동,1813
2020,1,11560690,신길7동,2410
2020,1,11260680,신내1동,1973
2020,1,11260690,신내2동,464
2020,1,11140650,신당5동,768
2020,1,11140615,신당동,5611
2020,1,11590670,신대방1동,3893
2020,1,11590680,신대방2동,12684
2020,1,11530510,신도림동,9462
2020,1,11620695,신림동,1706
2020,1,11380631,신사1동,1161
2020,1,11380632,신사2동,1019
2020,1,11680510,신사동,26882
2020,1,11620685,신사동,3698
2020,1,11440630,신수동,2488
2020,1,11620655,신원동,628
2020,1,11470560,신월1동,2132
2020,1,11470570,신월2동,1814
2020,1,11470580,신월3동,1121
2020,1,11470590,신월4동,1289
2020,1,11470600,신월5동,1632
2020,1,11470610,신월6동,811
2020,1,11470611,신월7동,2779
2020,1,11470620,신정1동,7889
2020,1,11470630,신정2동,11584
