연도,분기,행정동_코드,행정동_코드_명,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,전체,1층,1층외,영역_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_상주인구_수,총_직장_인구_수,총_유동인구_수
2020,1,11110515,청운효자동,15611509280,805,31,27,24,130611.0,165848.0,95374.0,2568432,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0,12817,6476.0,3612274
2020,1,11110530,사직동,56656503365,2654,79,73,188,141584.0,177228.0,105939.0,1158536,206,18.0,24.0,,,15.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,34.0,9386,44477.0,3962616
2020,1,11110540,삼청동,16495570845,680,21,17,46,114598.0,171226.0,57970.0,1479255,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0,2717,3911.0,896467
2020,1,11110550,부암동,3040761691,454,16,11,32,88620.0,107264.0,69977.0,2274739,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0,9987,1514.0,1289447
2020,1,11110560,평창동,8561212577,653,15,17,37,86237.0,86046.0,86429.0,8947328,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0,18604,12926.0,1039818
2020,1,11110570,무악동,4348627840,184,6,3,22,,,,369520,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0,8074,451.0,1961315
2020,1,11110580,교남동,3770526556,363,21,15,60,180593.0,246999.0,114186.0,346926,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0,10621,713.0,3330946
2020,1,11110600,가회동,11459892925,583,14,18,51,138100.0,168159.0,108040.0,539955,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0,4391,11063.0,1341490
2020,1,11110615,종로1234가동,355363078184,10540,248,235,580,194883.0,259583.0,130183.0,2417171,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0,7262,116875.0,13522182
2020,1,11110630,종로56가동,80643961413,1974,63,47,92,252383.0,271717.0,233048.0,603167,212,7.0,8.0,,,31.0,,1.0,,,1.0,,4.0,,3.0,,,,1.0,23.0,5211,22052.0,6533193
2020,1,11110640,이화동,26747926294,787,25,27,133,134395.0,186631.0,82159.0,782395,119,4.0,4.0,1.0,,11.0,,,2.0,,37.0,,,,,,,,1.0,28.0,7912,1569.0,3861053
2020,1,11110650,혜화동,39873338311,1468,59,51,201,125787.0,156568.0,95007.0,1132421,145,6.0,5.0,,,16.0,3.0,1.0,1.0,4.0,26.0,,,1.0,,,,,,36.0,16833,4395.0,8331297
2020,1,11110670,창신1동,62911012994,1807,57,44,47,160810.0,204978.0,116642.0,305337,111,3.0,4.0,,,9.0,,2.0,,,,,1.0,,7.0,,,,2.0,11.0,5230,2120.0,3624150
2020,1,11110680,창신2동,8661448991,399,23,13,24,76863.0,91336.0,62389.0,257323,38,2.0,1.0,,,5.0,,,,,,,,,,,,,,,8561,243.0,5870010
2020,1,11110690,창신3동,299991455,177,6,4,19,94049.0,,94049.0,216835,24,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,5.0,7127,99.0,856530
2020,1,11110700,숭인1동,3527506691,279,8,11,28,89406.0,103351.0,75462.0,239396,43,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,14.0,6180,307.0,2462665
2020,1,11110710,숭인2동,20641646944,918,29,22,72,88810.0,120490.0,57131.0,351906,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0,9457,1662.0,5878009
2020,1,11140520,소공동,71549410863,2996,75,55,249,178363.0,237841.0,118886.0,943795,231,13.0,29.0,,,10.0,,1.0,4.0,3.0,,1.0,,3.0,3.0,,,,3.0,37.0,2054,94203.0,2536048
2020,1,11140540,회현동,129735835592,5455,134,164,231,345216.0,380702.0,309730.0,897827,211,9.0,17.0,,,16.0,1.0,,,,2.0,,2.0,1.0,2.0,,,,6.0,35.0,5401,74892.0,4446571
2020,1,11140550,명동,186121893053,4697,120,102,544,185537.0,229724.0,141351.0,969729,542,20.0,46.0,,,35.0,,1.0,,,4.0,,,3.0,12.0,,,,1.0,29.0,2675,123928.0,5055905
