연도,분기,행정동_코드,행정동_코드_명,추정매출액,월평균소득금액,지출_총금액,총_유동인구_수,총_상주인구_수,총_직장_인구_수,전체_임대시세,1층_임대시세,1층외_임대시세,영역_면적,집객시설_수,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
2020,1,11710631,가락1동,322031760891,4973588,3834946000,890139,27396,5894.0,148214.0,128269.0,168159.0,1393228.0,82,3537,81,22,57
2020,1,11710632,가락2동,40885703782,3910198,5105017000,7229493,33685,6848.0,76446.0,111134.0,41758.0,932311.0,143,1532,50,45,130
2020,1,11710620,가락본동,61728656150,3521561,7269782000,7839325,27536,25135.0,92995.0,118982.0,67008.0,1014738.0,144,2577,87,72,221
2020,1,11530595,가리봉동,14602343717,2336331,1122039000,2830200,9380,899.0,84657.0,117551.0,51764.0,410996.0,74,793,29,27,27
2020,1,11545510,가산동,611039840449,2567594,72736652000,4105258,20985,83042.0,112786.0,139572.0,86000.0,2512852.0,304,7276,335,168,556
2020,1,11500603,가양1동,84221817213,3560388,50065267000,3159244,33866,1410.0,154748.0,223449.0,86048.0,4970691.0,279,4087,244,149,512
2020,1,11500604,가양2동,23300376032,3065320,2899900000,1981785,15079,,115429.0,163956.0,66903.0,823874.0,75,432,12,15,54
2020,1,11500605,가양3동,6801220700,3047051,499341000,1733390,16093,245.0,138523.0,193679.0,83367.0,474228.0,52,370,14,8,41
2020,1,11110600,가회동,11459892925,3479766,1260731000,1341490,4391,11063.0,138100.0,168159.0,108040.0,539955.0,63,583,14,18,51
2020,1,11380551,갈현1동,34276117765,2481200,5148663000,9022836,24094,2296.0,82835.0,108005.0,57665.0,961071.0,133,1283,48,51,123
2020,1,11380552,갈현2동,43876788692,2539257,5497387000,6794244,29823,2994.0,78253.0,108852.0,47653.0,985165.0,121,1432,63,56,138
2020,1,11740515,강일동,8816816556,3073250,2932371000,3998389,31985,125.0,148519.0,210161.0,86877.0,3647520.0,187,670,43,26,89
2020,1,11530740,개봉1동,21886652770,2805757,3794178000,7659787,32896,2776.0,70155.0,85716.0,54595.0,1320319.0,163,1259,53,43,97
2020,1,11530750,개봉2동,18731639310,3068971,2823472000,4367177,32637,5442.0,116430.0,122771.0,110089.0,782524.0,116,820,27,18,90
2020,1,11530760,개봉3동,13467167470,2512790,2411410000,3328429,21435,1537.0,72488.0,95081.0,49895.0,828418.0,81,716,36,20,63
2020,1,11680660,개포1동,83449984,5336373,182527000,579863,6921,2438.0,,,,1449952.0,38,180,2,3,5
2020,1,11680670,개포2동,15901681186,5195802,1834202000,1794568,21595,5146.0,127119.0,172021.0,82217.0,2243338.0,135,758,24,23,59
2020,1,11680690,개포4동,44834577534,3550527,3036353000,3770987,18123,8263.0,65085.0,79235.0,50935.0,1665461.0,115,1382,46,38,79
2020,1,11710531,거여1동,9592283423,2789100,1701619000,3449147,13193,2854.0,90263.0,96773.0,83753.0,522308.0,48,610,19,19,49
2020,1,11710532,거여2동,19912158970,3033238,2393965000,3359115,16804,1310.0,85896.0,126896.0,44897.0,612901.0,78,637,20,17,64
2020,1,11740550,고덕1동,4843247768,4618641,1883694000,2643571,26937,1016.0,104639.0,145728.0,63549.0,1518495.0,92,577,32,22,60
2020,1,11740560,고덕2동,10739632618,2465499,1539300000,1519834,6923,1088.0,142129.0,159099.0,125159.0,2206786.0,78,649,70,11,47
2020,1,11530720,고척1동,43849919517,2972418,5196750000,4781469,23691,2691.0,98670.0,142898.0,54441.0,1151238.0,135,1288,41,38,150
2020,1,11530730,고척2동,21079850886,2882639,2374627000,6371811,28370,1771.0,66239.0,84911.0,47568.0,1025572.0,128,1018,16,20,65
2020,1,11440565,공덕동,34662964771,4047702,7167814000,14840310,33743,9194.0,87142.0,95283.0,79000.0,1019197.0,172,1857,67,54,140
2020,1,11350595,공릉1동,44949197674,2786137,9534919000,11599897,38477,4836.0,84885.0,112986.0,56783.0,1263261.0,211,2076,89,66,185
2020,1,11350600,공릉2동,28195359891,3394877,6387413000,8111771,40537,820.0,115367.0,134548.0,96186.0,6983449.0,271,1358,57,53,199
2020,1,11500620,공항동,28216308829,2896818,9767284000,6188010,27496,5401.0,91078.0,92974.0,89183.0,10861768.0,176,1373,55,45,136
2020,1,11215810,광장동,23039730779,5284540,3478064000,6723060,35891,5066.0,109780.0,145578.0,73982.0,2393761.0,139,1097,36,30,99
