"연도","분기","행정동_코드","행정동_코드_명","점포_수","유사_업종_점포_수","개업_점포_수","폐업_점포_수","프랜차이즈_점포_수","총_유동인구_수","총_상주인구_수","총_직장_인구_수","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수","추정매출액","전체","첫번째층","첫번째층외","영역_면적"
2020,1,"11110515","청운효자동",781,805,31,27,24,3612274,12817,6476,93,6,3,,,4,1,1,2,2,8,,,,,,,,,26,15611509280,130611,165848,95374,2568432
2020,1,"11110530","사직동",2466,2654,79,73,188,3962616,9386,44477,206,18,24,,,15,,1,,1,1,,,3,,,,,2,34,56656503365,141584,177228,105939,1158536
2020,1,"11110540","삼청동",634,680,21,17,46,896467,2717,3911,49,10,4,,1,1,,,1,1,2,,,,,,,,,16,16495570845,114598,171226,57970,1479255
2020,1,"11110550","부암동",422,454,16,11,32,1289447,9987,1514,84,4,2,,,1,1,2,1,1,14,,,,,,,,,38,3040761691,88620,107264,69977,2274739
2020,1,"11110560","평창동",616,653,15,17,37,1039818,18604,12926,162,6,2,,1,5,1,,,1,2,,,,,,,,,91,8561212577,86237,86046,86429,8947328
2020,1,"11110570","무악동",162,184,6,3,22,1961315,8074,451,42,2,1,1,,4,1,1,,,,,,,,,,,1,7,4348627840,,,,369520
2020,1,"11110580","교남동",303,363,21,15,60,3330946,10621,713,78,4,3,2,,17,,,,1,1,,,,,,,,,26,3770526556,180593,246999,114186,346926
2020,1,"11110600","가회동",532,583,14,18,51,1341490,4391,11063,63,5,3,,,1,1,1,1,2,1,,,,,,,,,22,11459892925,138100,168159,108040,539955
2020,1,"11110615","종로1234가동",9960,10540,248,235,580,13522182,7262,116875,500,19,35,,,47,1,2,,,4,,1,5,17,,,,5,72,355363078184,194883,259583,130183,2417171
2020,1,"11110630","종로56가동",1882,1974,63,47,92,6533193,5211,22052,212,7,8,,,31,,1,,,1,,4,,3,,,,1,23,80643961413,252383,271717,233048,603167
2020,1,"11110640","이화동",654,787,25,27,133,3861053,7912,1569,119,4,4,1,,11,,,2,,37,,,,,,,,1,28,26747926294,134395,186631,82159,782395
2020,1,"11110650","혜화동",1267,1468,59,51,201,8331297,16833,4395,145,6,5,,,16,3,1,1,4,26,,,1,,,,,,36,39873338311,125787,156568,95007,1132421
2020,1,"11110670","창신1동",1760,1807,57,44,47,3624150,5230,2120,111,3,4,,,9,,2,,,,,1,,7,,,,2,11,62911012994,160810,204978,116642,305337
2020,1,"11110680","창신2동",375,399,23,13,24,5870010,8561,243,38,2,1,,,5,,,,,,,,,,,,,,,8661448991,76863,91336,62389,257323
2020,1,"11110690","창신3동",158,177,6,4,19,856530,7127,99,24,3,,,,1,,1,,1,,,,,,,,,1,5,299991455,94049,,94049,216835
2020,1,"11110700","숭인1동",251,279,8,11,28,2462665,6180,307,43,3,1,,,3,1,,,,,,,,,,,,,14,3527506691,89406,103351,75462,239396
2020,1,"11110710","숭인2동",846,918,29,22,72,5878009,9457,1662,89,4,3,,1,4,,,,,,,2,,3,,,,2,6,20641646944,88810,120490,57131,351906
2020,1,"11140520","소공동",2747,2996,75,55,249,2536048,2054,94203,231,13,29,,,10,,1,4,3,,1,,3,3,,,,3,37,71549410863,178363,237841,118886,943795
2020,1,"11140540","회현동",5224,5455,134,164,231,4446571,5401,74892,211,9,17,,,16,1,,,,2,,2,1,2,,,,6,35,129735835592,345216,380702,309730,897827
2020,1,"11140550","명동",4153,4697,120,102,544,5055905,2675,123928,542,20,46,,,35,,1,,,4,,,3,12,,,,1,29,186121893053,185537,229724,141351,969729
2020,1,"11140570","필동",1077,1214,31,40,137,2170595,4062,11974,123,6,9,1,,7,,2,,1,19,,,2,1,,,,2,15,23944973546,120813,160609,81017,1464686
2020,1,"11140580","장충동",491,523,20,14,32,2173660,4645,7351,63,6,2,,,1,,1,,,3,,,1,2,,,,1,13,12705779269,94992,109530,80455,1017925
2020,1,"11140590","광희동",5572,5848,164,169,276,5945600,4884,55742,185,3,16,1,,14,,,1,,,,1,3,11,,,,3,19,112611763289,208443,219236,197649,737204
2020,1,"11140605","을지로동",2683,2795,75,67,112,4973973,1770,15882,145,5,10,,,13,,,,,,,1,2,3,,,,4,20,197193309612,132399,180007,84791,611524
2020,1,"11140615","신당동",11712,11829,498,393,117,6030407,7514,5611,99,7,5,,1,12,,1,1,3,,,3,,1,,,,2,8,48835090087,381333,377840,384826,534942
2020,1,"11140625","다산동",775,851,25,23,76,4632750,14280,6255,86,3,4,,1,9,,1,1,1,,,,,1,,,,1,7,27495067701,102327,114196,90459,523971
2020,1,"11140635","약수동",623,689,20,17,66,2820085,17520,10940,87,4,2,,1,12,2,,,,,,,,,,,,2,12,33518726225,125584,185654,65513,486369
2020,1,"11140645","청구동",490,525,17,8,35,3733581,14315,1894,34,2,,,,3,1,2,1,1,,,,,,,,,,5,13868051715,73679,71725,75633,342571
2020,1,"11140650","신당5동",680,728,30,25,48,4964450,9242,768,65,4,2,,,5,,1,,2,,,,,,,,,,12,16032987910,126261,116037,136485,319706
2020,1,"11140665","동화동",502,542,20,10,40,3091253,10843,1183,47,3,1,,,5,,1,1,,,,,,,,,,2,4,14047169421,112150,126664,97637,327045
2020,1,"11140670","황학동",1295,1366,43,31,71,6199908,12541,774,76,1,6,,,10,,,,,,,,,7,,,,,6,34123394811,110439,130424,90455,328640
2020,1,"11140680","중림동",635,704,21,26,69,2160290,12684,3099,77,3,2,,,7,,1,,2,1,,,,5,,,,,14,22907904727,111125,135830,86420,484384
2020,1,"11170510","후암동",738,782,35,29,44,4934169,17971,1640,80,6,1,,,7,1,2,,1,,,2,,,,,,,18,17179828118,86965,114071,59860,865892
2020,1,"11170520","용산2가동",522,562,21,16,40,4934733,10366,583,63,3,,,,4,,1,2,2,,,,,,,,,1,29,8502126058,81266,110562,51969,1966853
2020,1,"11170530","남영동",1124,1278,38,41,154,2239022,7846,16176,147,7,5,,,14,,,1,,,,,,12,,,,3,26,40207148724,88997,116594,61400,1177788
2020,1,"11170555","청파동",1055,1192,44,38,137,8412857,19763,3050,128,7,2,,1,11,,2,2,4,22,,1,,1,,,,,35,25421733811,105309,143751,66867,886225
2020,1,"11170560","원효로1동",1576,1659,41,43,83,5302852,15876,2742,94,6,3,,,6,1,1,,,3,,4,,,,,,,31,192903515352,84008,101088,66929,589017
2020,1,"11170570","원효로2동",884,922,25,31,38,3724609,14479,2765,69,4,2,,,4,2,1,1,1,,,2,,,,,,,27,143236571549,79144,91145,67143,708975
2020,1,"11170580","효창동",304,329,16,9,25,4112049,9013,1251,66,1,1,,,5,,1,,1,1,,,,,,,,2,22,8428004395,104799,138258,71339,446197
2020,1,"11170590","용문동",490,528,17,18,38,3276869,12234,2388,54,1,,,,3,,,,,,,,,,,,,,22,15328709430,95578,119493,71663,277531
2020,1,"11170625","한강로동",4536,4819,134,129,283,4958607,18270,42930,242,19,19,,,21,,2,,1,,,5,3,2,,,,7,41,861233208336,117751,138682,96820,2869816
2020,1,"11170630","이촌1동",759,834,26,15,75,5421279,26203,5274,102,4,9,,1,12,2,1,1,1,,,1,,,,,,,14,29306609993,186353,276639,96067,2872767
2020,1,"11170640","이촌2동",257,273,9,10,16,1905419,8918,1547,26,2,,,,1,,,,,,,,,,,,,,11,4283594371,73394,73394,,1205543
2020,1,"11170650","이태원1동",1520,1600,44,76,80,2497588,6879,22194,71,8,5,,,3,,1,,,,,3,,,,,,1,14,63426901975,172035,200018,144053,582899
2020,1,"11170660","이태원2동",756,796,32,46,40,3396366,9285,1112,60,8,5,,,3,1,1,,1,,,,,,,,,,22,10171484497,125322,137777,112866,874243
2020,1,"11170685","한남동",2043,2171,109,69,128,7252958,20545,35228,171,30,11,1,,13,3,1,,,,,3,,,,,,2,36,66433883518,125007,145118,104895,3031897
2020,1,"11170690","서빙고동",345,369,15,7,24,2086802,14396,7218,61,15,1,,,1,,1,1,,,,,,,,,,1,21,2905162011,79215,73081,85350,2821948
2020,1,"11170700","보광동",708,749,32,28,41,4872737,14393,565,70,4,1,,,8,1,,1,1,6,,,,,,,,,14,17889726906,87865,98935,76795,715096
2020,1,"11200520","왕십리2동",460,520,16,15,60,5354686,17366,1070,63,2,,,,5,1,1,,,,,,,,,,,1,18,8298283475,83187,109989,56384,372425
2020,1,"11200535","왕십리도선동",1630,1791,71,49,161,5704385,27197,3787,189,4,4,,2,20,2,2,,2,,,,,,,,,,26,27889378148,116356,132878,99835,710285
2020,1,"11200540","마장동",2273,2330,47,48,57,6324687,23348,6773,111,6,5,,,8,2,2,2,,,,,,,,,,1,29,21092180804,86683,117459,55906,1035276
2020,1,"11200550","사근동",701,893,43,25,192,4373484,11680,409,128,5,3,1,,10,,2,1,2,52,,1,,,,,,2,34,28315761692,106842,139450,74235,1169216
2020,1,"11200560","행당1동",1052,1201,39,46,149,5730530,16063,1608,130,9,4,,2,13,1,1,,,,,1,1,,,,,4,30,32974621652,148575,139883,157268,573566
2020,1,"11200570","행당2동",471,530,17,11,59,4443791,24582,9,79,2,2,,,4,1,1,1,1,,,,,,,,,1,24,11798135661,124586,167266,81905,457669
2020,1,"11200580","응봉동",277,296,8,4,19,3465866,16162,583,56,3,,,,2,,1,1,,,,,,,,,,1,30,1285725135,82050,92137,71963,553662
2020,1,"11200590","금호1가동",408,450,16,17,42,4082172,15816,1349,88,2,,,,6,1,1,,1,,,,,,,,,1,45,6539383423,92480,117966,66995,444872
2020,1,"11200615","금호23가동",775,842,29,24,67,7030499,24052,447,135,3,2,,,13,,1,,,,,,,,,,,,46,15058633417,108308,136080,80535,631196
2020,1,"11200620","금호4가동",497,552,16,10,55,3242120,14812,691,84,3,3,,,6,1,2,,,,,,,,,,,1,27,8021242388,98200,123297,73103,832333
2020,1,"11200645","옥수동",749,825,39,24,76,3298833,27174,1764,129,4,2,,,10,2,2,1,1,,,,,,,,,2,45,13436067418,133437,157397,109477,1922027
2020,1,"11200650","성수1가1동",911,977,50,26,66,2986535,16849,2148,83,4,2,,,4,1,2,1,1,,,,1,,,,,1,33,18647038146,91312,114907,67717,1885875
2020,1,"11200660","성수1가2동",1517,1629,79,31,112,6312444,14194,5342,79,3,6,,,6,,,1,1,1,,,,,,,,1,12,40653884782,105070,124328,85812,930086
2020,1,"11200670","성수2가1동",1334,1433,69,46,99,5509678,17138,7914,109,3,3,,,13,,1,2,1,,,2,,1,,,,,38,50578261411,65680,81475,49885,1184964
2020,1,"11200690","성수2가3동",2537,2726,127,60,189,5692383,11349,22685,104,3,16,,,11,,2,,,,,,1,,,,,1,20,87343327217,98587,113871,83302,1054501
2020,1,"11200720","송정동",416,430,16,5,14,3396646,10955,878,44,2,,,1,5,,1,,,,,,,,,,,,17,4342073871,73201,92046,54356,681916
2020,1,"11200790","용답동",1202,1274,39,37,72,3149214,12297,2792,82,7,2,,,8,,1,,,,,1,,,,,,2,11,26632759900,81000,107836,54164,2377148
2020,1,"11215710","화양동",1913,2261,111,80,348,9347518,21879,1335,167,3,5,1,,17,,2,2,1,34,,,1,,,,,2,16,71866957873,125955,165353,86557,1166008
2020,1,"11215730","군자동",1113,1233,35,33,120,5377666,19728,1356,135,5,5,,1,12,1,2,,,20,,,1,,,,,,23,41956713294,87502,110347,64657,738025
2020,1,"11215740","중곡1동",1041,1106,48,34,65,4552413,16503,4120,74,2,,,,10,1,,,,,,1,,,,,,,19,39569273097,76883,91230,62535,614505
2020,1,"11215750","중곡2동",1052,1130,44,39,78,5437606,22009,2261,104,2,4,,,14,1,1,,,,,,,,,,,2,21,34292154675,71289,87958,54619,545542
2020,1,"11215760","중곡3동",806,869,40,29,63,5424691,17079,860,97,3,1,,1,9,,2,,,,,1,,,,,,1,29,14276750537,67985,99027,36943,601866
2020,1,"11215770","중곡4동",977,1044,44,34,67,7728066,29801,3137,105,2,2,,,7,,1,1,2,,,,,,,,,,37,27983797295,81422,114455,48389,2313468
2020,1,"11215780","능동",564,630,25,22,66,2600331,11440,1369,47,4,,,1,5,,1,,1,,,,,,,,,1,5,17767351584,101015,137075,64954,1092105
2020,1,"11215810","광장동",998,1097,36,30,99,6723060,35891,5066,139,5,9,,,9,3,3,3,1,11,,,,,,,,1,32,23039730779,109780,145578,73982,2393761
2020,1,"11215820","자양1동",1187,1312,51,39,125,9201605,22927,8810,106,3,4,1,,14,1,1,,,2,,,,,,,,,17,29791393450,103772,117351,90194,568868
2020,1,"11215830","자양2동",949,1038,31,25,89,5318703,26501,2177,95,2,1,,,8,2,4,2,1,,,1,,,,,,,21,13369920499,88084,96289,79879,1657523
2020,1,"11215840","자양3동",1143,1281,56,33,138,7701288,29199,2008,105,2,6,,,8,2,2,1,1,1,1,,1,,,,,,30,40729302109,128937,135911,121963,1196419
2020,1,"11215847","자양4동",1401,1522,59,44,121,8044789,18510,849,106,5,2,,1,15,1,,1,,,,1,1,,,,,1,16,36071703027,106808,143823,69793,1180023
2020,1,"11215850","구의1동",1342,1462,58,47,120,6818044,22191,3413,77,2,4,,,9,1,,1,1,,,,,,,,,1,16,45627320211,78822,107625,50020,565313
2020,1,"11215860","구의2동",857,937,34,32,80,7304476,27488,2134,112,3,2,,1,9,3,2,,,1,,,,,,,,1,24,19977502145,109420,151408,67432,1388041
2020,1,"11215870","구의3동",2294,2508,79,71,214,6891769,29770,9125,133,5,4,,,16,2,1,,,,,1,1,,,,1,1,25,136103321537,106504,117932,95075,1027561
2020,1,"11230536","용신동",2470,2648,99,83,178,14384853,30305,19195,231,10,8,1,4,20,1,1,1,1,,,1,,5,,,,5,41,76401149903,80990,99452,62527,1618399
