연도,분기,행정동_코드,행정동_코드_명,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,총_유동인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_직장_인구_수,전체,1층,1층외,영역_면적,_merge
2020,1,11110515,청운효자동,3780222,1907902000,15611509280.0,805,31,27,24,3612274,93,6.0,3.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6476.0,130611.0,165848.0,95374.0,2568432,both
2020,1,11110530,사직동,5007768,38784512000,56656503365.0,2654,79,73,188,3962616,206,18.0,24.0,0.0,0.0,15.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,34.0,44477.0,141584.0,177228.0,105939.0,1158536,both
2020,1,11110540,삼청동,3442534,1684064000,16495570845.0,680,21,17,46,896467,49,10.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3911.0,114598.0,171226.0,57970.0,1479255,both
2020,1,11110550,부암동,3647449,1002078000,3040761691.0,454,16,11,32,1289447,84,4.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1514.0,88620.0,107264.0,69977.0,2274739,both
2020,1,11110560,평창동,4504006,2273110000,8561212577.0,653,15,17,37,1039818,162,6.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,12926.0,86237.0,86046.0,86429.0,8947328,both
2020,1,11110570,무악동,5136717,1629290000,4348627840.0,184,6,3,22,1961315,42,2.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,451.0,,,,369520,both
2020,1,11110580,교남동,4616890,1300242000,3770526556.0,363,21,15,60,3330946,78,4.0,3.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,713.0,180593.0,246999.0,114186.0,346926,both
2020,1,11110600,가회동,3479766,1260731000,11459892925.0,583,14,18,51,1341490,63,5.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11063.0,138100.0,168159.0,108040.0,539955,both
2020,1,11110615,종로1234가동,3245251,69538107000,355363078184.0,10540,248,235,580,13522182,500,19.0,35.0,0.0,0.0,47.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,5.0,72.0,116875.0,194883.0,259583.0,130183.0,2417171,both
2020,1,11110630,종로56가동,2531450,6263897000,80643961413.0,1974,63,47,92,6533193,212,7.0,8.0,0.0,0.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,23.0,22052.0,252383.0,271717.0,233048.0,603167,both
2020,1,11110640,이화동,3024996,9489352000,26747926294.0,787,25,27,133,3861053,119,4.0,4.0,1.0,0.0,11.0,0.0,0.0,2.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,1569.0,134395.0,186631.0,82159.0,782395,both
2020,1,11110650,혜화동,3333112,6751194000,39873338311.0,1468,59,51,201,8331297,145,6.0,5.0,0.0,0.0,16.0,3.0,1.0,1.0,4.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,4395.0,125787.0,156568.0,95007.0,1132421,both
2020,1,11110670,창신1동,2393308,1732112000,62911012994.0,1807,57,44,47,3624150,111,3.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,11.0,2120.0,160810.0,204978.0,116642.0,305337,both
2020,1,11110680,창신2동,2112817,634198000,8661448991.0,399,23,13,24,5870010,38,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,76863.0,91336.0,62389.0,257323,both
2020,1,11110690,창신3동,3006052,296606000,299991455.0,177,6,4,19,856530,24,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,99.0,94049.0,,94049.0,216835,both
2020,1,11110700,숭인1동,2868519,581000000,3527506691.0,279,8,11,28,2462665,43,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,307.0,89406.0,103351.0,75462.0,239396,both
2020,1,11110710,숭인2동,2607311,1561118000,20641646944.0,918,29,22,72,5878009,89,4.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,1662.0,88810.0,120490.0,57131.0,351906,both
2020,1,11140520,소공동,5380521,1210529228000,71549410863.0,2996,75,55,249,2536048,231,13.0,29.0,0.0,0.0,10.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,37.0,94203.0,178363.0,237841.0,118886.0,943795,both
2020,1,11140540,회현동,4442451,658887828000,129735835592.0,5455,134,164,231,4446571,211,9.0,17.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,35.0,74892.0,345216.0,380702.0,309730.0,897827,both
2020,1,11140550,명동,3733600,47775806000,186121893053.0,4697,120,102,544,5055905,542,20.0,46.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,1.0,29.0,123928.0,185537.0,229724.0,141351.0,969729,both
2020,1,11140570,필동,3033044,3447485000,23944973546.0,1214,31,40,137,2170595,123,6.0,9.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,19.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,15.0,11974.0,120813.0,160609.0,81017.0,1464686,both
2020,1,11140580,장충동,2895026,1356648000,12705779269.0,523,20,14,32,2173660,63,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,13.0,7351.0,94992.0,109530.0,80455.0,1017925,both
2020,1,11140590,광희동,3229604,9370967000,112611763289.0,5848,164,169,276,5945600,185,3.0,16.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,3.0,19.0,55742.0,208443.0,219236.0,197649.0,737204,both
2020,1,11140605,을지로동,3082514,21134198000,197193309612.0,2795,75,67,112,4973973,145,5.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,20.0,15882.0,132399.0,180007.0,84791.0,611524,both
