연도,분기,행정동_코드_명,행정동_코드,시세_전체,시세_1층,시세_1층외,영역_면적,월평균소득금액,지출총금액,추정매출액,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,폐업률,개업률,업종_밀도,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,집객시설_총계,총_유동인구_수,총_상주인구_수,총_직장인구_수
2020,1,가락1동,11710631,148214.0,128269.0,168159.0,1393228,4973588.0,3834946000.0,322031760891.0,3537,81,22,57,0.62,2.29,0.25,,,,,,,,,,,,,,,,,,,,,,890139,27396,5894.0
2020,1,가락2동,11710632,76446.0,111134.0,41758.0,932311,3910198.0,5105017000.0,40885703782.0,1532,50,45,130,2.94,3.26,0.16,,,,,,,,,,,,,,,,,,,,,,7229493,33685,6848.0
2020,1,가락본동,11710620,92995.0,118982.0,67008.0,1014738,3521561.0,7269782000.0,61728656150.0,2577,87,72,221,2.79,3.38,0.25,,,,,,,,,,,,,,,,,,,,,,7839325,27536,25135.0
2020,1,가리봉동,11530595,84657.0,117551.0,51764.0,410996,2336331.0,1122039000.0,14602343717.0,793,29,27,27,3.4,3.66,0.19,,,,,,,,,,,,,,,,,,,,,,2830200,9380,899.0
2020,1,가산동,11545510,112786.0,139572.0,86000.0,2512852,2567594.0,72736652000.0,611039840449.0,7276,335,168,556,2.31,4.6,0.29,,,,,,,,,,,,,,,,,,,,,,4105258,20985,83042.0
2020,1,가양1동,11500603,154748.0,223449.0,86048.0,4970691,3560388.0,50065267000.0,84221817213.0,4087,244,149,512,3.65,5.97,0.08,,,,,,,,,,,,,,,,,,,,,,3159244,33866,1410.0
2020,1,가양2동,11500604,115429.0,163956.0,66903.0,823874,3065320.0,2899900000.0,23300376032.0,432,12,15,54,3.47,2.78,0.05,,,,,,,,,,,,,,,,,,,,,,1981785,15079,
2020,1,가양3동,11500605,138523.0,193679.0,83367.0,474228,3047051.0,499341000.0,6801220700.0,370,14,8,41,2.16,3.78,0.08,,,,,,,,,,,,,,,,,,,,,,1733390,16093,245.0
2020,1,가회동,11110600,138100.0,168159.0,108040.0,539955,3479766.0,1260731000.0,11459892925.0,583,14,18,51,3.09,2.4,0.11,,,,,,,,,,,,,,,,,,,,,,1341490,4391,11063.0
2020,1,갈현1동,11380551,82835.0,108005.0,57665.0,961071,2481200.0,5148663000.0,34276117765.0,1283,48,51,123,3.98,3.74,0.13,,,,,,,,,,,,,,,,,,,,,,9022836,24094,2296.0
2020,1,갈현2동,11380552,78253.0,108852.0,47653.0,985165,2539257.0,5497387000.0,43876788692.0,1432,63,56,138,3.91,4.4,0.15,,,,,,,,,,,,,,,,,,,,,,6794244,29823,2994.0
2020,1,강일동,11740515,148519.0,210161.0,86877.0,3647520,3073250.0,2932371000.0,8816816556.0,670,43,26,89,3.88,6.42,0.02,,,,,,,,,,,,,,,,,,,,,,3998389,31985,125.0
2020,1,개봉1동,11530740,70155.0,85716.0,54595.0,1320319,2805757.0,3794178000.0,21886652770.0,1259,53,43,97,3.42,4.21,0.1,,,,,,,,,,,,,,,,,,,,,,7659787,32896,2776.0
2020,1,개봉2동,11530750,116430.0,122771.0,110089.0,782524,3068971.0,2823472000.0,18731639310.0,820,27,18,90,2.2,3.29,0.1,,,,,,,,,,,,,,,,,,,,,,4367177,32637,5442.0
2020,1,개봉3동,11530760,72488.0,95081.0,49895.0,828418,2512790.0,2411410000.0,13467167470.0,716,36,20,63,2.79,5.03,0.09,,,,,,,,,,,,,,,,,,,,,,3328429,21435,1537.0
2020,1,개포1동,11680660,,,,1449952,5336373.0,182527000.0,83449984.0,180,2,3,5,1.67,1.11,0.01,,,,,,,,,,,,,,,,,,,,,,579863,6921,2438.0
2020,1,개포2동,11680670,127119.0,172021.0,82217.0,2243338,5195802.0,1834202000.0,15901681186.0,758,24,23,59,3.03,3.17,0.03,,,,,,,,,,,,,,,,,,,,,,1794568,21595,5146.0
