요청구,연도,분기,NM,GUBUN,전체,1층,1층외
종로구,2020,1,종로구,gu,178855.0,214855.0,142856.0
종로구,2020,1,청운효자동,dong,130611.0,165848.0,95374.0
종로구,2020,1,사직동,dong,141584.0,177228.0,105939.0
종로구,2020,1,삼청동,dong,114598.0,171226.0,57970.0
종로구,2020,1,부암동,dong,88620.0,107264.0,69977.0
종로구,2020,1,평창동,dong,86237.0,86046.0,86429.0
종로구,2020,1,무악동,dong,,,
종로구,2020,1,교남동,dong,180593.0,246999.0,114186.0
종로구,2020,1,가회동,dong,138100.0,168159.0,108040.0
종로구,2020,1,종로1·2·3·4가동,dong,194883.0,259583.0,130183.0
종로구,2020,1,종로5·6가동,dong,252383.0,271717.0,233048.0
종로구,2020,1,이화동,dong,134395.0,186631.0,82159.0
종로구,2020,1,혜화동,dong,125787.0,156568.0,95007.0
종로구,2020,1,창신1동,dong,160810.0,204978.0,116642.0
종로구,2020,1,창신2동,dong,76863.0,91336.0,62389.0
종로구,2020,1,창신3동,dong,94049.0,,94049.0
종로구,2020,1,숭인1동,dong,89406.0,103351.0,75462.0
종로구,2020,1,숭인2동,dong,88810.0,120490.0,57131.0
종로구,2020,2,종로구,gu,172671.0,207758.0,137585.0
종로구,2020,2,청운효자동,dong,131133.0,160242.0,102023.0
종로구,2020,2,사직동,dong,153017.0,200198.0,105836.0
종로구,2020,2,삼청동,dong,124398.0,183892.0,64904.0
종로구,2020,2,부암동,dong,100555.0,104196.0,96915.0
종로구,2020,2,평창동,dong,85758.0,82299.0,89218.0
종로구,2020,2,무악동,dong,131596.0,162791.0,100402.0
종로구,2020,2,교남동,dong,196610.0,223640.0,169580.0
종로구,2020,2,가회동,dong,134474.0,150658.0,118290.0
종로구,2020,2,종로1·2·3·4가동,dong,185579.0,249923.0,121235.0
종로구,2020,2,종로5·6가동,dong,243667.0,255336.0,231997.0
종로구,2020,2,이화동,dong,121320.0,162176.0,80465.0
종로구,2020,2,혜화동,dong,121682.0,164646.0,78719.0
종로구,2020,2,창신1동,dong,165098.0,197134.0,133063.0
종로구,2020,2,창신2동,dong,73666.0,90776.0,56555.0
종로구,2020,2,창신3동,dong,88229.0,98319.0,78140.0
종로구,2020,2,숭인1동,dong,79116.0,100845.0,57388.0
종로구,2020,2,숭인2동,dong,87958.0,120870.0,55046.0
종로구,2020,3,종로구,gu,171678.0,205895.0,137462.0
종로구,2020,3,청운효자동,dong,125841.0,152656.0,99025.0
종로구,2020,3,사직동,dong,153645.0,202244.0,105045.0
종로구,2020,3,삼청동,dong,131980.0,187342.0,76618.0
종로구,2020,3,부암동,dong,102941.0,106926.0,98956.0
종로구,2020,3,평창동,dong,82627.0,80023.0,85232.0
종로구,2020,3,무악동,dong,162791.0,162791.0,
종로구,2020,3,교남동,dong,188669.0,216085.0,161253.0
종로구,2020,3,가회동,dong,126884.0,148279.0,105489.0
종로구,2020,3,종로1·2·3·4가동,dong,183536.0,247572.0,119499.0
종로구,2020,3,종로5·6가동,dong,243495.0,247907.0,239084.0
종로구,2020,3,이화동,dong,118986.0,158706.0,79266.0
종로구,2020,3,혜화동,dong,125329.0,170856.0,79802.0
종로구,2020,3,창신1동,dong,166951.0,200240.0,133663.0
종로구,2020,3,창신2동,dong,72889.0,88697.0,57082.0
종로구,2020,3,창신3동,dong,78571.0,94243.0,62900.0
종로구,2020,3,숭인1동,dong,79114.0,101361.0,56866.0
종로구,2020,3,숭인2동,dong,83143.0,112749.0,53536.0
종로구,2020,4,종로구,gu,167010.0,199091.0,134928.0
종로구,2020,4,청운효자동,dong,123382.0,150627.0,96136.0
종로구,2020,4,사직동,dong,152023.0,195313.0,108733.0
종로구,2020,4,삼청동,dong,134221.0,192051.0,76391.0
종로구,2020,4,부암동,dong,101860.0,108653.0,95066.0
종로구,2020,4,평창동,dong,79807.0,78357.0,81256.0
종로구,2020,4,무악동,dong,184537.0,184537.0,
종로구,2020,4,교남동,dong,190484.0,203090.0,177879.0
종로구,2020,4,가회동,dong,126540.0,151292.0,101787.0
종로구,2020,4,종로1·2·3·4가동,dong,180042.0,241480.0,118603.0
종로구,2020,4,종로5·6가동,dong,237629.0,236494.0,238765.0
종로구,2020,4,이화동,dong,113340.0,148646.0,78034.0
종로구,2020,4,혜화동,dong,121531.0,157240.0,85822.0
종로구,2020,4,창신1동,dong,161277.0,189772.0,132782.0
종로구,2020,4,창신2동,dong,71967.0,87205.0,56728.0
종로구,2020,4,창신3동,dong,74815.0,90712.0,58917.0
종로구,2020,4,숭인1동,dong,80633.0,101701.0,59565.0
종로구,2020,4,숭인2동,dong,87343.0,118332.0,56353.0
종로구,2021,1,종로구,gu,167269.0,198296.0,136242.0
종로구,2021,1,청운효자동,dong,128011.0,162329.0,93692.0
종로구,2021,1,사직동,dong,152957.0,196087.0,109826.0
종로구,2021,1,삼청동,dong,145953.0,190705.0,101202.0
종로구,2021,1,부암동,dong,92237.0,100727.0,83748.0
종로구,2021,1,평창동,dong,85538.0,83877.0,87198.0
종로구,2021,1,무악동,dong,178853.0,178853.0,
종로구,2021,1,교남동,dong,204582.0,208333.0,200830.0
종로구,2021,1,가회동,dong,134826.0,162415.0,107237.0
종로구,2021,1,종로1·2·3·4가동,dong,178013.0,237498.0,118528.0
종로구,2021,1,종로5·6가동,dong,237226.0,235456.0,238996.0
종로구,2021,1,이화동,dong,111936.0,145571.0,78302.0
종로구,2021,1,혜화동,dong,117679.0,153779.0,81579.0
종로구,2021,1,창신1동,dong,164210.0,198710.0,129709.0
종로구,2021,1,창신2동,dong,80536.0,91197.0,69876.0
종로구,2021,1,창신3동,dong,78209.0,88457.0,67961.0
종로구,2021,1,숭인1동,dong,76070.0,94190.0,57950.0
종로구,2021,1,숭인2동,dong,92389.0,119287.0,65491.0
종로구,2021,2,종로구,gu,165171.0,195121.0,135221.0
종로구,2021,2,청운효자동,dong,125839.0,163704.0,87974.0
종로구,2021,2,사직동,dong,146670.0,184584.0,108757.0
종로구,2021,2,삼청동,dong,167551.0,199502.0,135601.0
종로구,2021,2,부암동,dong,83706.0,85236.0,82175.0
종로구,2021,2,평창동,dong,82671.0,89499.0,75844.0
종로구,2021,2,무악동,dong,100657.0,142549.0,58764.0
종로구,2021,2,교남동,dong,174671.0,162289.0,187053.0
종로구,2021,2,가회동,dong,133718.0,184070.0,83366.0
종로구,2021,2,종로1·2·3·4가동,dong,176594.0,234320.0,118867.0
종로구,2021,2,종로5·6가동,dong,235530.0,233290.0,237770.0
종로구,2021,2,이화동,dong,117980.0,151515.0,84446.0
종로구,2021,2,혜화동,dong,111423.0,138539.0,84306.0
종로구,2021,2,창신1동,dong,151775.0,187389.0,116162.0
종로구,2021,2,창신2동,dong,99767.0,121933.0,77601.0
종로구,2021,2,창신3동,dong,85268.0,101993.0,68543.0
종로구,2021,2,숭인1동,dong,84046.0,108306.0,59785.0
종로구,2021,2,숭인2동,dong,107445.0,138154.0,76735.0
종로구,2021,3,종로구,gu,171612.0,203883.0,139341.0
종로구,2021,3,청운효자동,dong,131721.0,183465.0,79977.0
종로구,2021,3,사직동,dong,148557.0,186024.0,111091.0
종로구,2021,3,삼청동,dong,162536.0,188364.0,136707.0
종로구,2021,3,부암동,dong,85574.0,93940.0,77209.0
종로구,2021,3,평창동,dong,84827.0,94639.0,75015.0
종로구,2021,3,무악동,dong,110401.0,132016.0,88785.0
종로구,2021,3,교남동,dong,196758.0,203906.0,189611.0
종로구,2021,3,가회동,dong,141297.0,197728.0,84866.0
종로구,2021,3,종로1·2·3·4가동,dong,183267.0,240906.0,125629.0
종로구,2021,3,종로5·6가동,dong,240795.0,241447.0,240143.0
종로구,2021,3,이화동,dong,119564.0,164268.0,74860.0
종로구,2021,3,혜화동,dong,115716.0,149542.0,81890.0
종로구,2021,3,창신1동,dong,165932.0,205670.0,126193.0
종로구,2021,3,창신2동,dong,93485.0,116312.0,70659.0
종로구,2021,3,창신3동,dong,82695.0,97676.0,67715.0
종로구,2021,3,숭인1동,dong,84355.0,105313.0,63396.0
종로구,2021,3,숭인2동,dong,116492.0,141752.0,91232.0
종로구,2021,4,종로구,gu,177511.0,210992.0,144030.0
종로구,2021,4,청운효자동,dong,132428.0,182188.0,82669.0
종로구,2021,4,사직동,dong,149318.0,187502.0,111134.0
종로구,2021,4,삼청동,dong,168295.0,188341.0,148249.0
종로구,2021,4,부암동,dong,87651.0,89480.0,85822.0
종로구,2021,4,평창동,dong,88594.0,111215.0,65974.0
종로구,2021,4,무악동,dong,102842.0,110893.0,94791.0
종로구,2021,4,교남동,dong,193709.0,203643.0,183775.0
종로구,2021,4,가회동,dong,139380.0,194621.0,84138.0
종로구,2021,4,종로1·2·3·4가동,dong,188458.0,247960.0,128956.0
종로구,2021,4,종로5·6가동,dong,246370.0,249318.0,243423.0
종로구,2021,4,이화동,dong,119556.0,161691.0,77421.0
종로구,2021,4,혜화동,dong,119635.0,156655.0,82615.0
종로구,2021,4,창신1동,dong,175752.0,222657.0,128846.0
종로구,2021,4,창신2동,dong,100399.0,128725.0,72073.0
종로구,2021,4,창신3동,dong,87217.0,105273.0,69162.0
종로구,2021,4,숭인1동,dong,88107.0,110206.0,66009.0
종로구,2021,4,숭인2동,dong,128735.0,155856.0,101613.0
종로구,2022,1,종로구,gu,183433.0,215787.0,151079.0
종로구,2022,1,청운효자동,dong,129755.0,181103.0,78407.0
종로구,2022,1,사직동,dong,145664.0,185390.0,105938.0
종로구,2022,1,삼청동,dong,175042.0,185890.0,164194.0
종로구,2022,1,부암동,dong,88340.0,94506.0,82173.0
종로구,2022,1,평창동,dong,92288.0,115285.0,69292.0
종로구,2022,1,무악동,dong,105457.0,114202.0,96713.0
종로구,2022,1,교남동,dong,206719.0,218421.0,195017.0
종로구,2022,1,가회동,dong,142922.0,202364.0,83480.0
종로구,2022,1,종로1·2·3·4가동,dong,193808.0,253334.0,134283.0
종로구,2022,1,종로5·6가동,dong,261380.0,258320.0,264440.0
종로구,2022,1,이화동,dong,129072.0,173541.0,84604.0
종로구,2022,1,혜화동,dong,127588.0,165956.0,89220.0
종로구,2022,1,창신1동,dong,174189.0,217466.0,130913.0
종로구,2022,1,창신2동,dong,95290.0,126835.0,63746.0
종로구,2022,1,창신3동,dong,84071.0,97560.0,70581.0
종로구,2022,1,숭인1동,dong,96699.0,123120.0,70277.0
종로구,2022,1,숭인2동,dong,130864.0,159250.0,102478.0
종로구,2022,2,종로구,gu,198534.0,226443.0,170624.0
종로구,2022,2,청운효자동,dong,147878.0,212258.0,83498.0
종로구,2022,2,사직동,dong,162108.0,217048.0,107167.0
종로구,2022,2,삼청동,dong,161693.0,180283.0,143103.0
종로구,2022,2,부암동,dong,74155.0,93432.0,54879.0
종로구,2022,2,평창동,dong,110528.0,148983.0,72074.0
종로구,2022,2,무악동,dong,249448.0,249448.0,
종로구,2022,2,교남동,dong,203425.0,244185.0,162665.0
종로구,2022,2,가회동,dong,133865.0,189990.0,77740.0
종로구,2022,2,종로1·2·3·4가동,dong,201789.0,259160.0,144418.0
종로구,2022,2,종로5·6가동,dong,299121.0,283696.0,314545.0
종로구,2022,2,이화동,dong,178553.0,201957.0,155149.0
종로구,2022,2,혜화동,dong,147355.0,168585.0,126126.0
종로구,2022,2,창신1동,dong,187331.0,237234.0,137427.0
종로구,2022,2,창신2동,dong,104308.0,111575.0,97041.0
종로구,2022,2,창신3동,dong,74261.0,81483.0,67038.0
종로구,2022,2,숭인1동,dong,93260.0,117991.0,68528.0
종로구,2022,2,숭인2동,dong,136750.0,169093.0,104407.0
종로구,2022,3,종로구,gu,203586.0,230260.0,176913.0
종로구,2022,3,청운효자동,dong,142725.0,195183.0,90268.0
종로구,2022,3,사직동,dong,166024.0,228857.0,103192.0
종로구,2022,3,삼청동,dong,157572.0,194483.0,120661.0
종로구,2022,3,부암동,dong,93334.0,118701.0,67967.0
종로구,2022,3,평창동,dong,111164.0,123164.0,99164.0
종로구,2022,3,무악동,dong,163768.0,237267.0,90270.0
종로구,2022,3,교남동,dong,217880.0,288201.0,147558.0
종로구,2022,3,가회동,dong,147693.0,202463.0,92922.0
종로구,2022,3,종로1·2·3·4가동,dong,206819.0,263752.0,149885.0
종로구,2022,3,종로5·6가동,dong,297056.0,272298.0,321813.0
종로구,2022,3,이화동,dong,216799.0,216193.0,217405.0
종로구,2022,3,혜화동,dong,172307.0,209059.0,135555.0
종로구,2022,3,창신1동,dong,185260.0,212277.0,158243.0
종로구,2022,3,창신2동,dong,124606.0,102045.0,147167.0
종로구,2022,3,창신3동,dong,93762.0,133431.0,54093.0
