연도,분기,Spearman_상관계수
2020,1,0.9901571024370418
2020,2,0.9905511872567259
2020,3,0.9893426708977505
2020,4,0.9903854871738758
2021,1,0.9909945131387661
2021,2,0.9905325850776134
2021,3,0.9912994950837097
2021,4,0.9913631176626909
2022,1,0.9908583576933297
2022,2,0.9910976848884652
2022,3,0.9917592346532023
2022,4,0.9913740601209923
2023,1,0.9912690125212987
2023,2,0.9901741414078254
2023,3,0.9891135045567523
2023,4,0.9913912554126089
2024,1,0.9924692438761314
2024,2,0.9914656641290586
2024,3,0.99117834643823
2024,4,0.9915311625580342
2025,1,0.9916407434618811
2025,2,0.9906226258773507
2025,3,0.9914842663081709
