"상권별(1)",상권별(2),상권별(3),2025.3/4,2025.4/4
"전국",소계,소계,8.0,8.1
"서울",소계,소계,6.6,5.9
"서울",소계(도심지역),소계,5.1,5.4
"서울",소계(도심지역),광화문,0.9,0.9
"서울",소계(도심지역),남대문,3.0,3.0
"서울",소계(도심지역),동대문,14.9,13.4
"서울",소계(도심지역),명동,1.2,5.3
"서울",소계(도심지역),방산시장,10.5,10.5
"서울",소계(도심지역),북촌,0.0,25.9
"서울",소계(도심지역),서촌,4.0,4.0
"서울",소계(도심지역),시청,5.3,4.3
"서울",소계(도심지역),을지로,2.6,2.6
"서울",소계(도심지역),종로,2.5,0.0
"서울",소계(도심지역),충무로,1.0,1.0
"서울",소계(강남지역),소계,5.5,4.7
"서울",소계(강남지역),강남대로,0.0,0.0
"서울",소계(강남지역),교대역,0.5,0.5
"서울",소계(강남지역),남부터미널,0.0,2.0
"서울",소계(강남지역),논현역,0.0,0.0
"서울",소계(강남지역),도산대로,0.0,0.0
"서울",소계(강남지역),신사역,26.8,27.5
"서울",소계(강남지역),압구정,0.0,0.0
"서울",소계(강남지역),청담,12.3,5.8
"서울",소계(강남지역),테헤란로,1.0,1.0
"서울",소계(영등포신촌지역),소계,7.7,5.4
"서울",소계(영등포신촌지역),공덕역,3.2,1.1
"서울",소계(영등포신촌지역),당산역,0.0,0.0
"서울",소계(영등포신촌지역),동교/연남,2.4,0.0
"서울",소계(영등포신촌지역),망원역,8.0,1.0
"서울",소계(영등포신촌지역),신촌/이대,15.1,15.1
"서울",소계(영등포신촌지역),영등포역,4.0,0.0
"서울",소계(영등포신촌지역),홍대/합정,14.2,14.2
"서울",소계(기타지역),소계,6.3,6.4
"서울",소계(기타지역),가락시장,0.0,0.6
"서울",소계(기타지역),건대입구,18.2,18.2
"서울",소계(기타지역),경희대,4.0,4.2
"서울",소계(기타지역),군자,6.8,6.8
"서울",소계(기타지역),까치산역,3.7,3.8
"서울",소계(기타지역),노량진,1.7,1.7
"서울",소계(기타지역),독산/시흥,11.4,11.4
"서울",소계(기타지역),뚝섬,7.6,5.3
"서울",소계(기타지역),목동,1.6,1.6
"서울",소계(기타지역),미아사거리,9.7,9.8
"서울",소계(기타지역),불광역,7.5,7.5
"서울",소계(기타지역),사당,3.4,3.4
"서울",소계(기타지역),상계역,2.6,2.6
"서울",소계(기타지역),상봉역,8.1,0.0
"서울",소계(기타지역),서울대입구역,3.0,5.1
"서울",소계(기타지역),성신여대,0.0,0.0
"서울",소계(기타지역),수유,8.6,8.6
"서울",소계(기타지역),숙명여대,0.0,0.0
"서울",소계(기타지역),신림역,0.9,5.0
"서울",소계(기타지역),약수역,8.0,15.0
"서울",소계(기타지역),연신내,3.0,3.0
"서울",소계(기타지역),오류동역,10.5,10.5
"서울",소계(기타지역),왕십리,0.0,0.0
"서울",소계(기타지역),용산역,14.4,17.3
"서울",소계(기타지역),이태원,3.9,3.9
"서울",소계(기타지역),잠실/송파,6.7,6.7
"서울",소계(기타지역),잠실새내역,15.6,17.3
"서울",소계(기타지역),장안동,12.6,12.6
"서울",소계(기타지역),천호,4.0,1.7
"서울",소계(기타지역),청량리,2.0,1.2
"서울",소계(기타지역),혜화동,3.3,0.6
"서울",소계(기타지역),화곡,6.2,6.3
"부산",소계,소계,7.9,7.5
"부산",개금역,소계,4.8,6.2
"부산",경성대/부경대,소계,0.0,3.4
"부산",광안리,소계,3.0,3.0
"부산",구서동/금정구청,소계,4.7,10.0
"부산",남포동,소계,14.5,15.5
"부산",남항동,소계,9.7,9.7
"부산",덕천역,소계,13.6,13.6
"부산",동래역,소계,6.3,5.4
"부산",부산대학앞,소계,18.8,18.8
"부산",부산역,소계,2.3,2.3
"부산",부전시장,소계,17.1,17.1
"부산",사상역,소계,8.6,8.6
"부산",사직야구장,소계,2.4,0.0
"부산",서면/전포,소계,5.0,4.2
"부산",송정해수욕장,소계,0.7,0.7
"부산",수영역,소계,5.1,5.1
"부산",연산로터리,소계,6.5,3.0
"부산",온천장,소계,11.9,10.4
"부산",하단역,소계,0.0,0.0
"부산",해운대,소계,8.1,6.0
"부산",현대백화점주변,소계,10.0,7.0
"대구",소계,소계,9.1,9.8
"대구",경북대북문,소계,3.4,8.1
"대구",동대구,소계,8.0,8.0
"대구",동성로중심,소계,11.5,15.0
"대구",두류감삼역,소계,6.3,4.6
"대구",들안길,소계,7.6,7.6
"대구",삼덕/대봉,소계,1.6,3.8
"대구",상인/월배,소계,6.1,6.1
"대구",서문시장/청라언덕,소계,10.1,10.1
"대구",수성범어,소계,18.2,19.4
"대구",시지지구,소계,8.2,8.2
"대구",월촌/안지랑,소계,5.2,10.5
"대구",죽전역,소계,14.9,14.9
"대구",칠곡,소계,12.4,0.0
"인천",소계,소계,11.3,11.8
"인천",간석오거리,소계,3.4,5.5
"인천",검단사거리완정역,소계,11.8,13.7
"인천",계양계산,소계,2.2,2.2
"인천",구월,소계,34.0,34.0
"인천",부평,소계,16.2,15.9
"인천",석남/가정중앙시장,소계,7.8,7.8
"인천",신포동,소계,21.4,19.2
