"상권별(1)",상권별(2),상권별(3),2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4
"전국",소계,소계,13.2,13.1,13.1,13.2,13.3,13.5,13.6,13.5,13.7,13.8
"서울",소계,소계,9.5,9.5,9.1,9.1,8.6,8.4,8.8,8.4,8.4,8.5
"서울",소계(도심지역),소계,16.2,16.9,18.1,18.3,16.0,15.3,14.6,14.1,14.0,13.1
"서울",소계(도심지역),광화문,18.1,14.9,16.8,17.2,16.6,18.0,16.5,13.5,16.6,16.6
"서울",소계(도심지역),남대문,13.6,13.6,13.6,12.6,9.7,9.7,9.7,10.1,10.7,8.7
"서울",소계(도심지역),동대문,10.9,10.7,12.1,11.8,13.5,12.7,12.5,12.1,13.6,11.3
"서울",소계(도심지역),명동,40.9,40.9,43.0,43.5,37.6,35.8,31.3,27.7,22.4,22.6
"서울",소계(도심지역),시청,11.2,17.5,17.5,17.5,16.6,16.8,19.9,19.9,21.7,19.8
"서울",소계(도심지역),을지로,8.9,8.9,16.5,15.1,15.1,15.1,15.1,21.2,21.2,21.2
"서울",소계(도심지역),종로,10.7,12.2,12.1,13.5,9.5,8.0,7.3,7.3,7.3,6.7
"서울",소계(도심지역),충무로,9.8,11.1,11.1,11.1,7.7,7.7,7.7,7.9,7.9,7.9
"서울",소계(강남지역),소계,9.6,9.8,8.6,8.2,8.5,8.0,8.6,7.8,7.8,7.7
"서울",소계(강남지역),강남대로,13.1,13.4,12.0,10.8,11.6,11.5,9.9,8.3,8.1,9.5
"서울",소계(강남지역),교대역,8.4,7.5,6.0,5.7,6.2,6.5,7.0,4.1,4.8,4.2
"서울",소계(강남지역),남부터미널,5.5,3.6,5.2,5.8,4.1,4.1,4.1,2.6,2.6,2.6
"서울",소계(강남지역),논현역,21.3,19.7,20.0,18.2,17.8,17.1,18.1,15.6,14.3,12.8
"서울",소계(강남지역),도산대로,5.7,7.1,5.0,5.0,3.8,7.6,17.1,3.3,5.4,2.5
"서울",소계(강남지역),방배역/내방역,8.3,9.0,7.6,7.4,7.4,7.0,7.8,8.6,8.6,6.7
"서울",소계(강남지역),서래마을,8.1,9.7,6.4,3.9,2.5,2.7,2.7,2.7,2.7,1.9
"서울",소계(강남지역),신사역,14.7,15.6,12.2,10.1,12.4,12.4,13.2,10.2,10.1,11.9
"서울",소계(강남지역),압구정,4.5,5.3,3.5,3.5,3.5,3.5,3.5,2.0,2.0,2.7
"서울",소계(강남지역),양재말죽거리,5.6,6.0,4.1,5.3,7.9,3.9,3.9,3.5,3.1,3.7
"서울",소계(강남지역),양재역,8.3,8.5,12.4,16.9,14.8,9.8,11.7,11.5,12.3,12.9
"서울",소계(강남지역),청담,10.0,9.6,8.1,6.1,6.1,4.6,3.4,17.9,16.0,13.7
"서울",소계(강남지역),테헤란로,6.6,5.6,5.7,5.7,4.8,4.8,5.6,5.1,6.4,6.6
"서울",소계(강남지역),학동/강남구청역,7.2,8.1,8.1,8.5,9.0,9.5,10.4,12.6,12.9,11.6
"서울",소계(영등포신촌지역),소계,10.2,10.6,9.1,9.0,7.9,7.9,8.2,7.9,8.6,8.9
"서울",소계(영등포신촌지역),공덕역,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,8.3,10.0
"서울",소계(영등포신촌지역),당산역,13.0,14.2,11.7,11.7,12.4,9.8,5.9,4.7,4.7,4.7
"서울",소계(영등포신촌지역),동교/연남,0.9,0.9,0.9,0.9,2.0,5.9,5.9,5.2,5.2,3.4
"서울",소계(영등포신촌지역),망원역,1.7,2.6,1.7,1.7,1.7,2.1,3.6,2.1,3.9,3.0
"서울",소계(영등포신촌지역),신촌/이대,13.8,15.0,10.3,9.1,6.9,6.9,6.9,7.4,8.1,9.1
"서울",소계(영등포신촌지역),영등포역,12.8,13.5,13.1,13.2,13.5,14.5,13.6,13.0,13.2,13.3
"서울",소계(영등포신촌지역),홍대/합정,13.3,12.4,11.9,12.2,7.7,5.7,9.6,9.8,11.1,12.2
"서울",소계(기타지역),소계,7.9,7.7,7.7,7.8,7.5,7.6,8.1,8.0,7.9,8.2
"서울",소계(기타지역),가락시장,6.9,8.9,9.4,11.5,10.4,9.1,9.1,9.1,10.7,10.7
"서울",소계(기타지역),건대입구,4.8,5.4,4.4,4.4,7.8,9.1,9.8,9.3,9.9,10.3
"서울",소계(기타지역),경희대,3.0,2.7,2.7,2.5,4.2,6.6,6.7,6.6,5.7,4.2
"서울",소계(기타지역),구로디지털단지역,6.6,12.2,10.1,13.1,8.4,8.8,7.3,8.0,5.7,5.4
"서울",소계(기타지역),구의역,4.9,3.7,2.5,2.5,3.5,2.5,3.8,2.5,2.5,2.5
"서울",소계(기타지역),군자,7.7,8.0,7.7,8.4,10.4,8.7,17.9,16.7,16.4,17.7
"서울",소계(기타지역),노량진,7.9,7.4,7.4,7.4,7.4,9.9,9.9,9.4,9.4,9.4
"서울",소계(기타지역),독산/시흥,14.6,11.9,13.0,15.5,18.7,23.5,23.5,23.5,24.2,22.3
"서울",소계(기타지역),뚝섬,3.3,3.1,2.6,2.6,2.4,1.9,2.5,2.8,4.6,5.1
"서울",소계(기타지역),목동,7.7,7.7,8.5,8.3,14.9,16.3,14.2,14.2,15.3,12.8
"서울",소계(기타지역),미아사거리,9.3,9.4,12.6,12.7,8.0,7.2,7.9,7.2,5.1,6.4
"서울",소계(기타지역),불광역,10.8,16.6,14.9,14.9,8.9,8.2,8.2,8.1,10.2,9.3
"서울",소계(기타지역),사당,10.3,8.3,9.1,10.1,8.3,8.0,7.4,7.4,5.8,6.3
"서울",소계(기타지역),상계역,3.8,6.6,8.5,7.6,7.4,7.4,6.4,10.4,5.6,6.6
"서울",소계(기타지역),상봉역,10.1,9.1,8.8,6.5,6.5,6.5,6.5,6.5,6.0,6.5
"서울",소계(기타지역),서울대입구역,6.8,10.7,6.1,9.1,7.7,5.6,7.0,5.4,3.6,3.6
"서울",소계(기타지역),성신여대,12.1,10.2,10.6,10.6,10.6,10.6,10.6,10.0,10.5,10.5
"서울",소계(기타지역),수유,8.0,4.5,4.3,3.8,3.6,5.5,5.2,9.1,9.7,10.2
"서울",소계(기타지역),숙명여대,6.8,4.4,6.1,7.2,4.3,3.2,3.2,3.2,3.2,3.2
"서울",소계(기타지역),신림역,4.0,1.9,1.7,1.6,1.6,1.3,1.7,1.3,1.5,4.3
"서울",소계(기타지역),연신내,9.5,10.9,9.9,9.9,9.9,11.0,11.0,9.9,12.9,14.1
"서울",소계(기타지역),오류동역,4.6,4.6,4.6,4.6,6.3,1.5,1.5,2.1,2.1,1.5
"서울",소계(기타지역),왕십리,0.9,0.9,0.9,0.9,1.2,1.2,2.0,2.0,2.7,2.7
"서울",소계(기타지역),용산역,14.3,15.5,12.9,12.9,10.3,10.3,9.9,8.9,9.5,9.5
"서울",소계(기타지역),이태원,9.8,1.3,1.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"서울",소계(기타지역),잠실/송파,12.2,12.2,13.7,10.4,8.6,7.3,7.8,11.7,11.2,9.1
"서울",소계(기타지역),잠실새내역,5.8,5.8,6.4,5.8,7.3,10.0,9.1,5.7,5.1,15.1
"서울",소계(기타지역),장안동,8.9,9.4,9.4,7.5,7.5,7.2,7.2,7.2,8.1,8.1
"서울",소계(기타지역),천호,5.0,5.4,6.7,6.1,4.7,6.5,6.2,4.3,4.3,4.5
"서울",소계(기타지역),청량리,8.0,8.8,10.4,10.0,10.0,9.9,9.8,7.8,8.3,8.3
"서울",소계(기타지역),혜화동,8.6,8.2,7.6,9.3,7.3,7.3,7.3,5.9,5.9,2.4
"서울",소계(기타지역),화곡,18.9,13.1,14.5,13.6,14.4,11.8,12.7,12.7,10.4,12.7
"부산",소계,소계,15.2,15.1,15.4,15.6,15.5,15.2,15.1,14.9,15.2,15.3
"부산",경성대/부경대,소계,8.1,10.5,10.5,10.3,10.9,9.7,9.7,9.7,10.0,10.0
"부산",광안리,소계,17.1,17.1,18.6,18.6,18.6,25.1,25.1,16.1,16.1,12.3
"부산",구서동/금정구청,소계,14.3,16.0,14.1,15.3,14.2,15.9,15.1,10.6,9.4,10.1
"부산",남포동,소계,26.0,25.0,25.3,25.9,25.3,20.5,23.5,25.2,25.2,25.8
"부산",남항동,소계,14.6,14.6,16.9,19.7,20.3,12.4,12.4,10.9,15.8,15.8
"부산",덕천역,소계,13.6,11.1,13.1,11.6,7.9,7.9,7.3,5.2,8.6,9.4
"부산",동래역,소계,9.2,8.6,7.0,5.9,5.9,6.9,6.9,6.4,5.4,6.4
"부산",부산대학앞,소계,18.4,20.6,22.2,24.8,25.9,24.5,18.8,16.8,15.9,19.2
"부산",부산역,소계,13.3,14.3,14.3,16.4,14.4,14.4,13.1,12.4,9.9,12.3
"부산",부전시장,소계,18.2,19.9,21.5,22.1,21.0,15.1,10.3,14.9,14.9,14.4
"부산",사상역,소계,11.8,14.7,15.6,15.6,15.6,14.0,11.8,11.8,11.8,11.8
"부산",사직야구장,소계,8.6,7.5,7.5,10.3,8.6,8.6,8.6,8.6,10.7,8.0
"부산",서면/전포,소계,16.7,17.4,15.1,13.3,11.9,14.3,14.6,15.0,14.1,13.3
