"상권별(1)",상권별(2),상권별(3),2025.3/4,2025.4/4
"전국",소계,소계,13.6,13.8
"서울",소계,소계,8.9,9.1
"서울",소계(도심지역),소계,11.0,11.3
"서울",소계(도심지역),광화문,8.0,8.0
"서울",소계(도심지역),남대문,18.3,18.5
"서울",소계(도심지역),동대문,14.3,15.8
"서울",소계(도심지역),명동,8.2,7.4
"서울",소계(도심지역),방산시장,19.8,19.8
"서울",소계(도심지역),북촌,1.9,1.9
"서울",소계(도심지역),서촌,10.1,10.1
"서울",소계(도심지역),시청,13.4,10.8
"서울",소계(도심지역),을지로,5.5,5.5
"서울",소계(도심지역),종로,6.9,8.5
"서울",소계(도심지역),충무로,16.4,15.0
"서울",소계(강남지역),소계,9.3,9.7
"서울",소계(강남지역),강남대로,5.0,6.3
"서울",소계(강남지역),교대역,2.9,2.9
"서울",소계(강남지역),남부터미널,4.2,5.2
"서울",소계(강남지역),논현역,13.0,13.7
"서울",소계(강남지역),도산대로,9.6,7.2
"서울",소계(강남지역),방배역/내방역,5.9,8.8
"서울",소계(강남지역),서래마을,2.7,6.1
"서울",소계(강남지역),신사역,14.8,15.6
"서울",소계(강남지역),압구정,2.8,5.8
"서울",소계(강남지역),양재말죽거리,8.3,3.9
"서울",소계(강남지역),양재역,16.9,9.9
"서울",소계(강남지역),청담,23.6,27.4
"서울",소계(강남지역),테헤란로,8.1,8.9
"서울",소계(강남지역),학동/강남구청역,16.7,16.8
"서울",소계(영등포신촌지역),소계,9.3,8.7
"서울",소계(영등포신촌지역),공덕역,10.8,6.4
"서울",소계(영등포신촌지역),당산역,7.3,7.3
"서울",소계(영등포신촌지역),동교/연남,3.3,4.0
"서울",소계(영등포신촌지역),망원역,5.1,1.3
"서울",소계(영등포신촌지역),신촌/이대,11.9,13.3
"서울",소계(영등포신촌지역),영등포역,13.4,12.7
"서울",소계(영등포신촌지역),홍대/합정,8.3,8.2
"서울",소계(기타지역),소계,7.9,8.3
"서울",소계(기타지역),가락시장,10.2,11.8
"서울",소계(기타지역),건대입구,10.8,10.9
"서울",소계(기타지역),경희대,4.8,4.8
"서울",소계(기타지역),구로디지털단지역,6.2,5.3
"서울",소계(기타지역),구의역,8.2,8.2
"서울",소계(기타지역),군자,7.5,9.9
"서울",소계(기타지역),까치산역,6.6,6.6
"서울",소계(기타지역),낙성대,5.4,8.2
"서울",소계(기타지역),노량진,9.6,9.1
"서울",소계(기타지역),독산/시흥,15.7,14.1
"서울",소계(기타지역),뚝섬,5.0,3.6
"서울",소계(기타지역),목동,9.8,11.1
"서울",소계(기타지역),미아사거리,6.6,6.6
