연도,분기,행정동_코드,행정동_코드_명,abs_q,프랜차이즈_점포_수,임대시세_per_m2,개업_점포_수,교통시설_수,의료시설_수,교육시설_수,상업시설_수,공공시설_수,임대료대비수익성,개업률_QoQ_diff,개업률_YoY_diff,개업률_diff_roll4,추정매출액_QoQ_diff,추정매출액_YoY_diff,추정매출액_diff_roll4,총_유동인구_수_QoQ_diff,총_유동인구_수_YoY_diff,총_유동인구_수_diff_roll4,IS_RENT_MISSING,Y
2021,1,11110515,청운효자동,4,25,128011,33,26.0,4.0,14.0,0.0,9.0,159359.67066111506,1.04,0.1200000000000001,0.030000000000000027,2329264471.0,4788281521.0,1197070380.25,19001.0,56324.0,14081.0,0,-0.36902397121014535
2021,1,11110530,사직동,4,183,152957,61,36.0,15.0,3.0,3.0,42.0,444818.90576436516,-0.8399999999999999,-0.71,-0.1775,6897392480.0,11381662004.0,2845415501.0,-138052.0,-276059.0,-69014.75,0,0.6291192563267554
2021,1,11110540,삼청동,4,46,145953,10,16.0,2.0,4.0,0.0,14.0,176811.2978698622,-1.02,-1.5899999999999999,-0.39749999999999996,1751066752.0,9310568513.0,2327642128.25,-23946.0,-46886.0,-11721.5,0,-0.3361031934732841
2021,1,11110550,부암동,4,33,92237,15,38.0,1.0,19.0,0.0,6.0,62941.53828723831,0.6200000000000001,-0.31999999999999984,-0.07999999999999996,1883652057.0,2764776976.0,691194244.0,-11950.0,-5852.0,-1463.0,0,-0.8031138105398304
2021,1,11110560,평창동,4,35,85538,7,91.0,6.0,4.0,0.0,8.0,116304.94795295659,-1.05,-1.2499999999999998,-0.31249999999999994,1071462586.0,1387280061.0,346820015.25,-7145.0,1482.0,370.5,0,-1.1792987987237977
2021,1,11110570,무악동,4,21,178853,4,8.0,5.0,2.0,0.0,3.0,41219.788507880774,0.020000000000000018,-1.17,-0.2925,2276312346.0,3023654994.0,755913748.5,-37191.0,-30681.0,-7670.25,0,-0.7900241168671198
2021,1,11110580,교남동,4,58,204582,10,26.0,19.0,2.0,0.0,7.0,40497.53134195579,-3.52,-3.14,-0.785,2878856266.0,4514539401.0,1128634850.25,-68691.0,-167197.0,-41799.25,0,-0.2036728916945064
2021,1,11110600,가회동,4,47,134826,13,22.0,1.0,6.0,0.0,8.0,122319.70562057763,0.16000000000000014,-0.20999999999999996,-0.05249999999999999,2710548998.0,5031983705.0,1257995926.25,-70140.0,-140756.0,-35189.0,0,0.20417145849303056
2021,1,11110615,종로1234가동,4,562,178013,154,77.0,47.0,7.0,23.0,54.0,2465108.078398769,-0.6599999999999999,-0.8800000000000001,-0.22000000000000003,59854082909.0,83458206176.0,20864551544.0,-484468.0,-1992225.0,-498056.25,0,1.1916466693912313
2021,1,11110630,종로56가동,4,96,237226,43,24.0,31.0,2.0,7.0,15.0,361807.89093101094,0.5900000000000001,-1.0299999999999998,-0.25749999999999995,2209475156.0,5186277321.0,1296569330.25,-130157.0,-175594.0,-43898.5,0,0.5429106907522794
2021,1,11110640,이화동,4,137,111936,16,29.0,12.0,39.0,0.0,8.0,240418.69925671813,-1.5,-1.0900000000000003,-0.2725000000000001,296199016.0,163581226.0,40895306.5,-134716.0,-311840.0,-77960.0,0,0.06411319450727299
2021,1,11110650,혜화동,4,199,117679,32,36.0,16.0,35.0,1.0,11.0,317503.33524248167,-1.0100000000000002,-1.8299999999999996,-0.4574999999999999,-1981645224.0,-2509863323.0,-627465830.75,-515194.0,-443195.0,-110798.75,0,0.18355296103379623
2021,1,11110670,창신1동,4,52,164210,38,13.0,9.0,2.0,8.0,7.0,420311.63868217525,-0.46999999999999975,-1.0899999999999999,-0.27249999999999996,-3604501356.0,6108361194.0,1527090298.5,-134469.0,-177059.0,-44264.75,0,0.3246562226118331
2021,1,11110680,창신2동,4,23,80536,10,0.0,5.0,0.0,0.0,3.0,133723.1274957783,-0.4700000000000002,-3.2399999999999998,-0.8099999999999999,1058332370.0,2108076805.0,527019201.25,57228.0,-74731.0,-18682.75,0,-0.23196715841800716
2021,1,11110690,창신3동,4,18,78209,2,6.0,1.0,2.0,0.0,3.0,4623.23902619903,-0.51,-2.2300000000000004,-0.5575000000000001,-40332244.0,61587446.0,15396861.5,-2744.0,32985.0,8246.25,0,-1.5989646956584167
2021,1,11110700,숭인1동,4,32,76070,13,14.0,3.0,1.0,0.0,4.0,42509.095583015645,1.0,1.5099999999999998,0.37749999999999995,-808727757.0,-293839790.0,-73459947.5,25637.0,80968.0,20242.0,0,-0.8495495880104275
2021,1,11110710,숭인2동,4,68,92389,15,8.0,5.0,0.0,5.0,7.0,255311.024007187,-0.6300000000000001,-1.5200000000000002,-0.38000000000000006,1641514450.0,2946283253.0,736570813.25,-206372.0,-361180.0,-90295.0,0,0.07725648359175678
2021,1,11140520,소공동,4,249,154879,82,40.0,10.0,8.0,7.0,42.0,737399.1935058981,0.4600000000000004,0.2200000000000002,0.05500000000000005,41117248032.0,42658238828.0,10664559707.0,-67596.0,-319298.0,-79824.5,0,1.4273263078302731
2021,1,11140540,회현동,4,243,338470,107,41.0,16.0,3.0,5.0,26.0,481363.60583508137,0.44999999999999996,-0.47,-0.1175,27916469653.0,33191304075.0,8297826018.75,-156291.0,-578324.0,-144581.0,0,1.421962390977576
2021,1,11140550,명동,4,497,180600,60,30.0,35.0,5.0,15.0,66.0,941759.1778571429,-0.48,-1.2199999999999998,-0.30499999999999994,-10808511405.0,-16040185532.0,-4010046383.0,-180860.0,-965759.0,-241439.75,0,0.9437091392658002
2021,1,11140570,필동,4,128,125850,30,17.0,8.0,22.0,3.0,15.0,198689.65281684545,0.31000000000000005,-0.04999999999999982,-0.012499999999999956,1460384143.0,1060119261.0,265029815.25,-67204.0,-259897.0,-64974.25,0,-0.15548317073616258
2021,1,11140580,장충동,4,33,103123,7,14.0,1.0,4.0,3.0,8.0,175511.9426897976,-1.6899999999999997,-2.46,-0.615,1236576663.0,5393538797.0,1348384699.25,-45988.0,-197989.0,-49497.25,0,-0.25409862420810136
2021,1,11140590,광희동,4,247,193250,77,22.0,15.0,1.0,15.0,19.0,609308.8469702458,-0.6599999999999997,-1.4299999999999997,-0.35749999999999993,8747179807.0,5137171388.0,1284292847.0,-271161.0,-297500.0,-74375.0,0,0.8546432541365897
2021,1,11140605,을지로동,4,121,143744,41,24.0,13.0,0.0,6.0,15.0,1514501.70089882,-0.6399999999999999,-1.2500000000000002,-0.31250000000000006,-34954904480.0,20507222882.0,5126805720.5,-118132.0,-434853.0,-108713.25,0,0.8709092701796742
2021,1,11140615,신당동,4,124,366788,354,10.0,13.0,5.0,4.0,12.0,145335.3281704963,0.77,-1.25,-0.3125,29407662.0,4472164262.0,1118041065.5,-186950.0,-465981.0,-116495.25,0,1.0006852889300653
2021,1,11140625,다산동,4,78,95949,12,8.0,10.0,3.0,1.0,7.0,364235.52021386364,-0.33000000000000007,-1.55,-0.3875,6181681577.0,7452966228.0,1863241557.0,-19091.0,-202183.0,-50545.75,0,0.2053647079295282
2021,1,11140635,약수동,4,66,135648,14,14.0,13.0,2.0,0.0,6.0,186043.45043052608,0.8999999999999999,-0.8300000000000001,-0.20750000000000002,-6852755058.0,-8282304261.0,-2070576065.25,-92607.0,-258947.0,-64736.75,0,0.06333612260441394
2021,1,11140645,청구동,4,39,99479,9,5.0,3.0,5.0,0.0,2.0,104640.69689080107,-0.3500000000000001,-1.5500000000000003,-0.38750000000000007,-3223144075.0,-3458499829.0,-864624957.25,20081.0,52243.0,13060.75,0,-0.2564539879521865
2021,1,11140650,신당5동,4,53,96955,23,12.0,5.0,3.0,0.0,6.0,203926.1222319633,-1.0700000000000003,-1.0700000000000003,-0.26750000000000007,989987986.0,3738669271.0,934667317.75,-74016.0,-190977.0,-47744.25,0,0.05015894304609603
2021,1,11140665,동화동,4,41,94143,11,6.0,5.0,2.0,0.0,4.0,163200.75441615414,-1.5999999999999999,-1.74,-0.435,-837887648.0,1317039202.0,329259800.5,-50914.0,-178897.0,-44724.25,0,-0.055792066271981376
2021,1,11140670,황학동,4,77,136131,28,6.0,10.0,0.0,7.0,7.0,317346.13287935883,-0.07999999999999985,-1.16,-0.29,2233688467.0,9077251604.0,2269312901.0,74288.0,-125091.0,-31272.75,0,0.37152481804600895
2021,1,11140680,중림동,4,71,126810,19,14.0,7.0,4.0,5.0,5.0,159558.69963725258,-0.020000000000000018,-0.31999999999999984,-0.07999999999999996,-8760827402.0,-2674266026.0,-668566506.5,-13368.0,-11160.0,-2790.0,0,-0.15472569119600807
2021,1,11170510,후암동,4,47,82695,12,18.0,7.0,4.0,2.0,7.0,244586.1523913175,-0.71,-2.9800000000000004,-0.7450000000000001,2307430960.0,3046223754.0,761555938.5,-37845.0,-73710.0,-18427.5,0,-0.31324342641177666
2021,1,11170520,용산2가동,4,42,105657,18,30.0,4.0,5.0,0.0,3.0,114039.05953226004,-0.6499999999999999,-0.6400000000000001,-0.16000000000000003,796865974.0,3546898855.0,886724713.75,182410.0,85851.0,21462.75,0,-0.12620373289724748
