,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
유동/등록비율,0.3627,-0.1097,-0.0322,0.5163,-0.5112,-0.0584,0.3237,0.2492,-0.1347,0.373
유동/직장비율,-0.2483,0.0992,0.0022,0.7017,0.4653,0.1989,-0.2369,0.3475,0.0346,-0.0456
등록인구밀도,0.1463,0.5447,-0.1138,-0.157,0.3099,0.0204,-0.071,-0.0916,-0.2797,0.6754
직장인구밀도,0.4812,-0.1126,0.0387,-0.3141,0.043,-0.047,-0.4577,0.6546,0.116,-0.0095
유동인구밀도,0.3633,0.4397,-0.1234,0.1139,-0.075,0.0296,-0.0235,-0.0578,-0.508,-0.6148
집객시설밀도,0.4163,0.3505,0.0074,0.1342,0.1777,-0.1214,0.251,-0.1584,0.7345,-0.1092
프랜차이즈비율,-0.1574,0.207,0.7087,0.0246,0.0294,-0.6192,0.0753,0.1498,-0.1281,-0.0272
상권변동성,-0.1061,0.34,0.4968,-0.1069,-0.348,0.6823,-0.0088,0.0977,0.1358,0.0153
유동1인당매출,0.2764,-0.3359,0.2791,-0.1224,0.5136,0.2927,0.5542,0.079,-0.2312,-0.0417
등록1인당지출,0.369,-0.2853,0.3772,0.2446,0.0378,0.065,-0.4981,-0.56,-0.0555,0.0998
