지역코드,지역명,1층_임대시세_최근1분기,1층_임대시세_최근2분기,1층_임대시세_최근3분기,기타층_임대시세_최근1분기,기타층_임대시세_최근2분기,기타층_임대시세_최근3분기,연도,분기
11,서울시 전체,133363,134566,135148,100707,104237,106287,2020,1
11110,종로구,225458,223413,214855,158852,153447,142856,2020,1
11110515,청운효자동,154347,162427,165848,91222,88321,95374,2020,1
11110530,사직동,190743,188767,177228,111830,112017,105939,2020,1
11110540,삼청동,161827,152834,171226,227825,218157,57970,2020,1
11110550,부암동,92219,106295,107264,57456,57206,69977,2020,1
11110560,평창동,105654,89244,86046,78726,88776,86429,2020,1
11110570,무악동, , , , , , ,2020,1
11110580,교남동,250954,239986,246999, , ,114186,2020,1
11110600,가회동,168299,170184,168159,175605,125860,108040,2020,1
11110615,종로1·2·3·4가동,277069,270848,259583,131759,127460,130183,2020,1
11110630,종로5·6가동,289438,263445,271717,263819,254798,233048,2020,1
11110640,이화동,155608,166427,186631,87971,86277,82159,2020,1
11110650,혜화동,138053,159574,156568,83601,87839,95007,2020,1
11110670,창신1동,220766,227089,204978,128528,130940,116642,2020,1
11110680,창신2동,91722,99152,91336,64153,63112,62389,2020,1
11110690,창신3동, , , , ,116935,94049,2020,1
11110700,숭인1동,102738,89774,103351,74332,78599,75462,2020,1
11110710,숭인2동,127872,127875,120490,67317,61450,57131,2020,1
11140,중구,223798,230515,245466,213495,226618,240567,2020,1
11140520,소공동,228362,246170,237841,125994,113490,118886,2020,1
11140540,회현동,368841,351954,380702,282793,285911,309730,2020,1
11140550,명동,218888,244582,229724,147287,151805,141351,2020,1
11140570,필동,172988,157793,160609,76069,77192,81017,2020,1
11140580,장충동,99475,114216,109530,81058,77723,80455,2020,1
11140590,광희동,199558,201559,219236,181896,172776,197649,2020,1
11140605,을지로동,172055,171206,180007,79194,82979,84791,2020,1
11140615,신당동,323139,352924,377840,378185,361596,384826,2020,1
11140625,다산동,117668,114818,114196,85490,91516,90459,2020,1
11140635,약수동,168404,191235,185654,65958,68415,65513,2020,1
11140645,청구동,91778,85282,71725,96193,93728,75633,2020,1
11140650,신당5동,129278,130476,116037,93690,129304,136485,2020,1
11140665,동화동,120237,122714,126664,82723,83839,97637,2020,1
11140670,황학동,149781,153293,130424,92543,91677,90455,2020,1
11140680,중림동,128045,142556,135830,78736,81593,86420,2020,1
11170,용산구,134694,132465,133054,88814,89260,92311,2020,1
11170510,후암동,110235,117814,114071,47374,49012,59860,2020,1
11170520,용산2가동,115062,105968,110562,46824,51969,51969,2020,1
11170530,남영동,108157,112458,116594,55371,60199,61400,2020,1
11170555,청파동,138360,137216,143751,62502,70830,66867,2020,1
11170560,원효로1동,102015,97190,101088,59092,61809,66929,2020,1
11170570,원효로2동,101901,96553,91145,88108,80874,67143,2020,1
11170580,효창동,106897,119824,138258,65164,79916,71339,2020,1
11170590,용문동,133350,122815,119493,61243,56312,71663,2020,1
11170625,한강로동,144273,137476,138682,99900,95238,96820,2020,1
11170630,이촌1동,327333,278924,276639,95113,84871,96067,2020,1
11170640,이촌2동,81824,73394,73394, , , ,2020,1
11170650,이태원1동,204168,184079,200018,133838,133928,144053,2020,1
11170660,이태원2동,148731,147170,137777,112946,106336,112866,2020,1
11170685,한남동,145054,148947,145118,102231,112811,104895,2020,1
11170690,서빙고동,127605,134308,73081, , ,85350,2020,1
11170700,보광동,85741,103843,98935,74637,76254,76795,2020,1
11200,성동구,122760,120118,117770,83661,85046,80425,2020,1
11200520,왕십리2동,114195,101557,109989,51935,54192,56384,2020,1
11200535,왕십리도선동,131944,139592,132878,111444,109963,99835,2020,1
11200540,마장동,117542,118246,117459,78845,70466,55906,2020,1
11200550,사근동,144478,126690,139450,119390,91869,74235,2020,1
11200560,행당1동,169238,138901,139883,129912,141371,157268,2020,1
11200570,행당2동,186921,165365,167266,90078,81257,81905,2020,1
11200580,응봉동, ,138940,92137,73236,77438,71963,2020,1
11200590,금호1가동, ,137046,117966,132391,99597,66995,2020,1
11200615,금호2·3가동,138407,137507,136080,76010,80484,80535,2020,1
11200620,금호4가동,92661,89944,123297,74023,73860,73103,2020,1
11200645,옥수동,182135,185633,157397,90364,114302,109477,2020,1
11200650,성수1가1동,121682,114386,114907,61861,64151,67717,2020,1
11200660,성수1가2동,131504,128066,124328,78404,90115,85812,2020,1
11200670,성수2가1동,81714,79884,81475,54066,53078,49885,2020,1
11200690,성수2가3동,114487,115116,113871,88258,90648,83302,2020,1
11200720,송정동,94046,96306,92046,62742,58589,54356,2020,1
11200790,용답동,120222,126429,107836,59116,58568,54164,2020,1
11215,광진구,119277,122826,121978,70407,72656,75504,2020,1
11215710,화양동,161887,163383,165353,70252,81404,86557,2020,1
11215730,군자동,105028,114854,110347,68906,67043,64657,2020,1
11215740,중곡1동,89816,93308,91230,52480,58510,62535,2020,1
11215750,중곡2동,89269,88406,87958,57621,56926,54619,2020,1
11215760,중곡3동,95401,91661,99027,36059,36038,36943,2020,1
11215770,중곡4동,105633,111093,114455,56892,53969,48389,2020,1
11215780,능동,133163,146880,137075,62990,66054,64954,2020,1
11215810,광장동,143234,155172,145578,65926,73647,73982,2020,1
11215820,자양1동,124131,125423,117351,74135,91589,90194,2020,1
11215830,자양2동,94786,92419,96289,66558,87242,79879,2020,1
11215840,자양3동,117894,122215,135911,146231,140825,121963,2020,1
11215847,자양4동,149658,155967,143823,69385,66228,69793,2020,1
11215850,구의1동,106140,112856,107625,65090,52218,50020,2020,1
11215860,구의2동,145517,141687,151408,76516,64988,67432,2020,1
