연도,분기,NM,행정동_코드,임대시세_전체,영역_면적
2020,1,청운효자동,11110515,130611,2568432
2020,1,사직동,11110530,141584,1158536
2020,1,삼청동,11110540,114598,1479255
2020,1,부암동,11110550,88620,2274739
2020,1,평창동,11110560,86237,8947328
2020,1,무악동,11110570,,369520
2020,1,교남동,11110580,180593,346926
2020,1,가회동,11110600,138100,539955
2020,1,종로1234가동,11110615,194883,2417171
2020,1,종로56가동,11110630,252383,603167
2020,1,이화동,11110640,134395,782395
2020,1,혜화동,11110650,125787,1132421
2020,1,창신1동,11110670,160810,305337
2020,1,창신2동,11110680,76863,257323
2020,1,창신3동,11110690,94049,216835
2020,1,숭인1동,11110700,89406,239396
2020,1,숭인2동,11110710,88810,351906
2020,2,청운효자동,11110515,131133,2568432
2020,2,사직동,11110530,153017,1158536
2020,2,삼청동,11110540,124398,1479255
2020,2,부암동,11110550,100555,2274739
2020,2,평창동,11110560,85758,8947328
2020,2,무악동,11110570,131596,369520
2020,2,교남동,11110580,196610,346926
2020,2,가회동,11110600,134474,539955
2020,2,종로1234가동,11110615,185579,2417171
2020,2,종로56가동,11110630,243667,603167
2020,2,이화동,11110640,121320,782395
2020,2,혜화동,11110650,121682,1132421
2020,2,창신1동,11110670,165098,305337
2020,2,창신2동,11110680,73666,257323
2020,2,창신3동,11110690,88229,216835
2020,2,숭인1동,11110700,79116,239396
2020,2,숭인2동,11110710,87958,351906
2020,3,청운효자동,11110515,125841,2568432
2020,3,사직동,11110530,153645,1158536
2020,3,삼청동,11110540,131980,1479255
2020,3,부암동,11110550,102941,2274739
2020,3,평창동,11110560,82627,8947328
2020,3,무악동,11110570,162791,369520
2020,3,교남동,11110580,188669,346926
2020,3,가회동,11110600,126884,539955
2020,3,종로1234가동,11110615,183536,2417171
2020,3,종로56가동,11110630,243495,603167
2020,3,이화동,11110640,118986,782395
2020,3,혜화동,11110650,125329,1132421
2020,3,창신1동,11110670,166951,305337
2020,3,창신2동,11110680,72889,257323
2020,3,창신3동,11110690,78571,216835
2020,3,숭인1동,11110700,79114,239396
2020,3,숭인2동,11110710,83143,351906
2020,4,청운효자동,11110515,123382,2568432
2020,4,사직동,11110530,152023,1158536
2020,4,삼청동,11110540,134221,1479255
2020,4,부암동,11110550,101860,2274739
2020,4,평창동,11110560,79807,8947328
2020,4,무악동,11110570,184537,369520
2020,4,교남동,11110580,190484,346926
2020,4,가회동,11110600,126540,539955
2020,4,종로1234가동,11110615,180042,2417171
2020,4,종로56가동,11110630,237629,603167
2020,4,이화동,11110640,113340,782395
2020,4,혜화동,11110650,121531,1132421
2020,4,창신1동,11110670,161277,305337
2020,4,창신2동,11110680,71967,257323
2020,4,창신3동,11110690,74815,216835
2020,4,숭인1동,11110700,80633,239396
2020,4,숭인2동,11110710,87343,351906
2021,1,청운효자동,11110515,128011,2568432
2021,1,사직동,11110530,152957,1158536
2021,1,삼청동,11110540,145953,1479255
2021,1,부암동,11110550,92237,2274739
2021,1,평창동,11110560,85538,8947328
2021,1,무악동,11110570,178853,369520
2021,1,교남동,11110580,204582,346926
2021,1,가회동,11110600,134826,539955
2021,1,종로1234가동,11110615,178013,2417171
2021,1,종로56가동,11110630,237226,603167
2021,1,이화동,11110640,111936,782395
2021,1,혜화동,11110650,117679,1132421
2021,1,창신1동,11110670,164210,305337
2021,1,창신2동,11110680,80536,257323
2021,1,창신3동,11110690,78209,216835
2021,1,숭인1동,11110700,76070,239396
2021,1,숭인2동,11110710,92389,351906
2021,2,청운효자동,11110515,125839,2568432
2021,2,사직동,11110530,146670,1158536
2021,2,삼청동,11110540,167551,1479255
2021,2,부암동,11110550,83706,2274739
2021,2,평창동,11110560,82671,8947328
2021,2,무악동,11110570,100657,369520
2021,2,교남동,11110580,174671,346926
2021,2,가회동,11110600,133718,539955
2021,2,종로1234가동,11110615,176594,2417171
2021,2,종로56가동,11110630,235530,603167
2021,2,이화동,11110640,117980,782395
2021,2,혜화동,11110650,111423,1132421
2021,2,창신1동,11110670,151775,305337
2021,2,창신2동,11110680,99767,257323
2021,2,창신3동,11110690,85268,216835
2021,2,숭인1동,11110700,84046,239396
2021,2,숭인2동,11110710,107445,351906
2021,3,청운효자동,11110515,131721,2568432
2021,3,사직동,11110530,148557,1158536
2021,3,삼청동,11110540,162536,1479255
2021,3,부암동,11110550,85574,2274739
2021,3,평창동,11110560,84827,8947328
2021,3,무악동,11110570,110401,369520
2021,3,교남동,11110580,196758,346926
2021,3,가회동,11110600,141297,539955
2021,3,종로1234가동,11110615,183267,2417171
2021,3,종로56가동,11110630,240795,603167
2021,3,이화동,11110640,119564,782395
2021,3,혜화동,11110650,115716,1132421
2021,3,창신1동,11110670,165932,305337
2021,3,창신2동,11110680,93485,257323
2021,3,창신3동,11110690,82695,216835
2021,3,숭인1동,11110700,84355,239396
2021,3,숭인2동,11110710,116492,351906
2021,4,청운효자동,11110515,132428,2568432
2021,4,사직동,11110530,149318,1158536
2021,4,삼청동,11110540,168295,1479255
2021,4,부암동,11110550,87651,2274739
2021,4,평창동,11110560,88594,8947328
2021,4,무악동,11110570,102842,369520
2021,4,교남동,11110580,193709,346926
2021,4,가회동,11110600,139380,539955
2021,4,종로1234가동,11110615,188458,2417171
2021,4,종로56가동,11110630,246370,603167
2021,4,이화동,11110640,119556,782395
2021,4,혜화동,11110650,119635,1132421
2021,4,창신1동,11110670,175752,305337
2021,4,창신2동,11110680,100399,257323
2021,4,창신3동,11110690,87217,216835
2021,4,숭인1동,11110700,88107,239396
2021,4,숭인2동,11110710,128735,351906
2022,1,청운효자동,11110515,129755,2568432
2022,1,사직동,11110530,145664,1158536
2022,1,삼청동,11110540,175042,1479255
2022,1,부암동,11110550,88340,2274739
2022,1,평창동,11110560,92288,8947328
2022,1,무악동,11110570,105457,369520
2022,1,교남동,11110580,206719,346926
2022,1,가회동,11110600,142922,539955
2022,1,종로1234가동,11110615,193808,2417171
2022,1,종로56가동,11110630,261380,603167
2022,1,이화동,11110640,129072,782395
2022,1,혜화동,11110650,127588,1132421
2022,1,창신1동,11110670,174189,305337
2022,1,창신2동,11110680,95290,257323
2022,1,창신3동,11110690,84071,216835
2022,1,숭인1동,11110700,96699,239396
2022,1,숭인2동,11110710,130864,351906
2022,2,청운효자동,11110515,147878,2568432
2022,2,사직동,11110530,162108,1158536
2022,2,삼청동,11110540,161693,1479255
2022,2,부암동,11110550,74155,2274739
2022,2,평창동,11110560,110528,8947328
2022,2,무악동,11110570,249448,369520
2022,2,교남동,11110580,203425,346926
2022,2,가회동,11110600,133865,539955
2022,2,종로1234가동,11110615,201789,2417171
2022,2,종로56가동,11110630,299121,603167
2022,2,이화동,11110640,178553,782395
2022,2,혜화동,11110650,147355,1132421
2022,2,창신1동,11110670,187331,305337
2022,2,창신2동,11110680,104308,257323
2022,2,창신3동,11110690,74261,216835
2022,2,숭인1동,11110700,93260,239396
2022,2,숭인2동,11110710,136750,351906
2022,3,청운효자동,11110515,142725,2568432
2022,3,사직동,11110530,166024,1158536
2022,3,삼청동,11110540,157572,1479255
2022,3,부암동,11110550,93334,2274739
2022,3,평창동,11110560,111164,8947328
2022,3,무악동,11110570,163768,369520
2022,3,교남동,11110580,217880,346926
2022,3,가회동,11110600,147693,539955
2022,3,종로1234가동,11110615,206819,2417171
2022,3,종로56가동,11110630,297056,603167
2022,3,이화동,11110640,216799,782395
2022,3,혜화동,11110650,172307,1132421
2022,3,창신1동,11110670,185260,305337
2022,3,창신2동,11110680,124606,257323
2022,3,창신3동,11110690,93762,216835
2022,3,숭인1동,11110700,141933,239396
2022,3,숭인2동,11110710,127581,351906
2022,4,청운효자동,11110515,155797,2568432
2022,4,사직동,11110530,173553,1158536
2022,4,삼청동,11110540,168139,1479255
2022,4,부암동,11110550,99441,2274739
2022,4,평창동,11110560,121969,8947328
2022,4,무악동,11110570,,369520
2022,4,교남동,11110580,200555,346926
2022,4,가회동,11110600,142796,539955
2022,4,종로1234가동,11110615,192001,2417171
2022,4,종로56가동,11110630,281017,603167
2022,4,이화동,11110640,185904,782395
2022,4,혜화동,11110650,179990,1132421
2022,4,창신1동,11110670,180189,305337
2022,4,창신2동,11110680,101909,257323
2022,4,창신3동,11110690,,216835
2022,4,숭인1동,11110700,126031,239396
2022,4,숭인2동,11110710,124208,351906
2023,1,청운효자동,11110515,151256,2568432
2023,1,사직동,11110530,150227,1158536
2023,1,삼청동,11110540,190228,1479255
2023,1,부암동,11110550,107082,2274739
2023,1,평창동,11110560,116535,8947328
2023,1,무악동,11110570,,369520
2023,1,교남동,11110580,101769,346926
2023,1,가회동,11110600,147750,539955
2023,1,종로1234가동,11110615,187156,2417171
2023,1,종로56가동,11110630,286159,603167
2023,1,이화동,11110640,138022,782395
2023,1,혜화동,11110650,166815,1132421
2023,1,창신1동,11110670,192102,305337
2023,1,창신2동,11110680,130739,257323
2023,1,창신3동,11110690,,216835
2023,1,숭인1동,11110700,133449,239396
2023,1,숭인2동,11110710,127058,351906
2023,2,청운효자동,11110515,133334,2568432
2023,2,사직동,11110530,141193,1158536
2023,2,삼청동,11110540,169873,1479255
2023,2,부암동,11110550,109504,2274739
2023,2,평창동,11110560,126802,8947328
2023,2,무악동,11110570,,369520
2023,2,교남동,11110580,,346926
2023,2,가회동,11110600,161368,539955
2023,2,종로1234가동,11110615,189722,2417171
2023,2,종로56가동,11110630,293452,603167
2023,2,이화동,11110640,127050,782395
2023,2,혜화동,11110650,153644,1132421
2023,2,창신1동,11110670,201891,305337
2023,2,창신2동,11110680,112629,257323
2023,2,창신3동,11110690,,216835
2023,2,숭인1동,11110700,124675,239396
2023,2,숭인2동,11110710,133623,351906
2023,3,청운효자동,11110515,129902,2568432
2023,3,사직동,11110530,151294,1158536
2023,3,삼청동,11110540,165382,1479255
2023,3,부암동,11110550,113768,2274739
2023,3,평창동,11110560,137094,8947328
2023,3,무악동,11110570,,369520
2023,3,교남동,11110580,,346926
2023,3,가회동,11110600,156995,539955
2023,3,종로1234가동,11110615,200890,2417171
2023,3,종로56가동,11110630,293318,603167
2023,3,이화동,11110640,148132,782395
2023,3,혜화동,11110650,121059,1132421
2023,3,창신1동,11110670,199763,305337
2023,3,창신2동,11110680,112995,257323
2023,3,창신3동,11110690,,216835
2023,3,숭인1동,11110700,108864,239396
2023,3,숭인2동,11110710,143780,351906
2023,4,청운효자동,11110515,124821,2568432
2023,4,사직동,11110530,153263,1158536
2023,4,삼청동,11110540,171215,1479255
2023,4,부암동,11110550,120284,2274739
2023,4,평창동,11110560,121357,8947328
2023,4,무악동,11110570,,369520
2023,4,교남동,11110580,,346926
2023,4,가회동,11110600,183172,539955
2023,4,종로1234가동,11110615,202131,2417171
2023,4,종로56가동,11110630,297493,603167
2023,4,이화동,11110640,147832,782395
2023,4,혜화동,11110650,119510,1132421
2023,4,창신1동,11110670,201752,305337
2023,4,창신2동,11110680,120410,257323
2023,4,창신3동,11110690,,216835
2023,4,숭인1동,11110700,106034,239396
2023,4,숭인2동,11110710,143416,351906
2024,1,청운효자동,11110515,154532,2568432
2024,1,사직동,11110530,179307,1158536
2024,1,삼청동,11110540,162297,1479255
2024,1,부암동,11110550,126320,2274739
2024,1,평창동,11110560,119281,8947328
2024,1,무악동,11110570,,369520
2024,1,교남동,11110580,163590,346926
2024,1,가회동,11110600,160997,539955
2024,1,종로1234가동,11110615,202376,2417171
2024,1,종로56가동,11110630,296837,603167
2024,1,이화동,11110640,157791,782395
2024,1,혜화동,11110650,127014,1132421
2024,1,창신1동,11110670,197138,305337
2024,1,창신2동,11110680,82212,257323
2024,1,창신3동,11110690,,216835
2024,1,숭인1동,11110700,108531,239396
2024,1,숭인2동,11110710,143763,351906
2024,2,청운효자동,11110515,152054,2568432
2024,2,사직동,11110530,184123,1158536
2024,2,삼청동,11110540,153171,1479255
2024,2,부암동,11110550,98167,2274739
2024,2,평창동,11110560,101501,8947328
2024,2,무악동,11110570,,369520
2024,2,교남동,11110580,184128,346926
2024,2,가회동,11110600,171799,539955
2024,2,종로1234가동,11110615,200140,2417171
2024,2,종로56가동,11110630,277462,603167
2024,2,이화동,11110640,141860,782395
2024,2,혜화동,11110650,125576,1132421
2024,2,창신1동,11110670,195161,305337
2024,2,창신2동,11110680,91104,257323
2024,2,창신3동,11110690,214241,216835
2024,2,숭인1동,11110700,121027,239396
2024,2,숭인2동,11110710,158589,351906
2024,3,청운효자동,11110515,156899,2568432
2024,3,사직동,11110530,167839,1158536
2024,3,삼청동,11110540,172621,1479255
2024,3,부암동,11110550,98504,2274739
