연도,분기,행정동_코드_명_x,Cluster,Cluster_Label,총_상주인구_수,총_직장_인구_수,총_유동인구_수,당월_매출_금액,집객시설_수,유사_업종_점포_수
2024,4,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,14152630,213400554179,500,10531
2025,1,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,13650465,208382170901,500,10445
2024,2,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,59905.0,2445418,204114673173,144,1953
2024,1,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,59905.0,2432445,199461180126,144,1973
2024,3,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,13527970,198614461938,500,10536
2024,3,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,59905.0,2369910,196224875516,144,1937
2025,3,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,13813280,189047277996,500,10393
2024,1,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,13969774,188433007138,500,10601
2024,2,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,14243910,182757280160,500,10558
2024,4,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,83532.0,2393418,182403461000,144,1931
2025,3,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,83532.0,2368425,181753547855,144,1903
2025,2,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,83532.0,2333467,181753367196,144,1900
2025,1,잠실6동,0,Cluster 0: 성장형 오피스 밀착 상권,16514,83532.0,2314231,181738235197,144,1899
2025,3,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,58448.0,5890768,178568513477,242,5225
2025,2,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,58448.0,5518689,178558450976,242,5225
2024,1,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,44336.0,5884324,178524805056,242,5336
2024,2,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,44336.0,5658829,172260976210,242,5347
2024,3,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,44336.0,5596273,172199054522,242,5312
2025,1,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,58448.0,5623799,168438586265,242,5255
2025,2,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,14129208,162630770131,500,10446
2024,4,한강로동,0,Cluster 0: 성장형 오피스 밀착 상권,20977,58448.0,5725220,149685260484,242,5314
2024,4,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7653846,120548502728,313,4664
2024,4,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,14152630,118619759001,500,10531
2025,3,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20900630,118583669703,542,12024
2024,4,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20368338,115239612245,542,12263
2024,2,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,14243910,113537344748,500,10558
2024,4,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,250897.0,6729093,112840599675,399,5898
2025,2,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,14129208,112123853794,500,10446
2024,1,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,21202864,109375957861,542,12315
2024,3,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,20684465,108790208908,542,12269
2024,2,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,20635074,108612415774,542,12327
2024,1,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,21202864,108499828995,542,12315
2025,3,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,13813280,107788043994,500,10393
2024,2,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,37832.0,7506657,106986947050,313,4650
2025,1,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20637783,106012533051,542,12114
2025,1,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20637783,105554137930,542,12114
2025,2,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20011130,105332320881,542,12110
2024,4,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10594.0,9326858,105274165712,197,4996
2024,2,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,201758.0,6710912,105174745427,399,5903
2024,1,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,13969774,105036532243,500,10601
2024,3,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10444.0,9292714,104012881069,197,5018
2025,2,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,250897.0,6469796,103534986529,399,5800
2024,3,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,37832.0,7575192,103135847927,313,4643
2025,3,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7593147,102512058478,313,4633
2024,3,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,201758.0,6580926,101724288966,399,5887
2024,2,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10444.0,9155784,101386864262,197,5056
2025,1,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,109733.0,13650465,101302444710,500,10445
2024,1,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,201758.0,6575257,100711647266,399,5930
2024,3,종로1234가동,0,Cluster 0: 성장형 오피스 밀착 상권,6658,118299.0,13527970,100488644978,500,10536
2025,1,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10594.0,9386358,100237822730,197,4930
2024,1,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,37832.0,7425954,100129136755,313,4645
2025,1,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,27674.0,6531524,99592530191,260,4311
2025,3,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,250897.0,6602277,99219023381,399,5766
2025,1,여의동,0,Cluster 0: 성장형 오피스 밀착 상권,33346,250897.0,6401052,98679063971,399,5833
2025,2,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7471126,96603880605,313,4617
2025,3,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10594.0,8823115,96588070009,197,4884
2024,1,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10444.0,9206606,96450018891,197,5082
2025,3,문래동,0,Cluster 0: 성장형 오피스 밀착 상권,32022,65200.0,9426403,94360428912,185,2897
2024,1,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,25038.0,6870400,93339317856,260,4356
2025,2,구로2동,0,Cluster 0: 성장형 오피스 밀착 상권,22380,10594.0,8973856,90189983311,197,4899
2024,4,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20368338,89998878143,542,12263
2025,1,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7516652,89612807745,313,4610
2024,3,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,20684465,89414933539,542,12269
2025,3,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20900630,88248090096,542,12024
2024,2,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,157737.0,20635074,85943122943,542,12327
2025,3,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,27674.0,6653298,82590950954,260,4281
2025,2,역삼1동,0,Cluster 0: 성장형 오피스 밀착 상권,34082,202016.0,20011130,82440495798,542,12110
2024,2,삼성1동,0,Cluster 0: 성장형 오피스 밀착 상권,12134,214989.0,4792598,81177552460,199,3969
2025,2,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,27674.0,6532228,79876888662,260,4287
2024,4,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,27674.0,6754835,79451657519,260,4355
2024,4,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,120704.0,5964314,78410205402,542,4766
2025,3,신당동,0,Cluster 0: 성장형 오피스 밀착 상권,7385,4203.0,5211498,75284253497,99,10279
2025,3,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,43704.0,10740014,75149310191,159,4131
2025,3,대치2동,0,Cluster 0: 성장형 오피스 밀착 상권,38212,102922.0,6783054,73816470622,210,3139
2024,4,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,25701.0,17634436,73689089325,358,8985
2025,1,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7516652,73423549903,313,4610
2024,3,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,25038.0,6702573,72296599128,260,4362
2024,1,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,31032.0,10415818,72291247514,159,4259
2025,1,서초4동,0,Cluster 0: 성장형 오피스 밀착 상권,30281,40288.0,6363986,72111661160,257,3379
2024,3,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,31032.0,10904498,71995442129,159,4201
2024,2,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,127964.0,5662652,71751301639,542,4731
2024,2,신사동,0,Cluster 0: 성장형 오피스 밀착 상권,15436,25038.0,6692111,71563454902,260,4384
2024,1,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,127964.0,5491208,71343269131,542,4677
2024,1,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,37832.0,7425954,70878078208,313,4645
2024,1,논현1동,0,Cluster 0: 성장형 오피스 밀착 상권,20996,38707.0,10076879,70629621129,300,4590
2025,1,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,43704.0,10634846,70024007932,159,4159
2024,1,삼성1동,0,Cluster 0: 성장형 오피스 밀착 상권,12134,214989.0,4611790,69799029876,199,3991
2025,3,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,120704.0,5712576,69536346952,542,4776
2024,2,회현동,0,Cluster 0: 성장형 오피스 밀착 상권,4380,85852.0,4555589,69094166276,211,5157
2024,1,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,24904.0,17875596,68012072183,358,9053
2025,1,논현1동,0,Cluster 0: 성장형 오피스 밀착 상권,20996,45242.0,9752622,67933930610,300,4472
2024,4,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,43704.0,10298784,67789832931,159,4178
2024,2,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,24904.0,17660687,67379348749,358,9053
2024,4,소공동,0,Cluster 0: 성장형 오피스 밀착 상권,2178,92258.0,2812029,67362663780,231,3038
2024,2,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,31032.0,10158276,67336040589,159,4214
2025,3,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7593147,66506782396,313,4633
2024,3,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,127964.0,5515367,66409454495,542,4751
2025,2,대치4동,0,Cluster 0: 성장형 오피스 밀착 상권,18614,43704.0,10110351,66249384014,159,4142
2025,1,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,25701.0,17338634,66164792605,358,8870
2025,3,소공동,0,Cluster 0: 성장형 오피스 밀착 상권,2178,92258.0,2650504,65863491415,231,2953
2025,3,서초4동,0,Cluster 0: 성장형 오피스 밀착 상권,30281,40288.0,6597918,65417641863,257,3374
2025,2,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,25701.0,17202186,65265280175,358,8856
2025,2,명동,0,Cluster 0: 성장형 오피스 밀착 상권,2392,120704.0,5614655,64832918875,542,4764
2025,2,압구정동,0,Cluster 0: 성장형 오피스 밀착 상권,26119,50479.0,7471126,64579653111,313,4617
2025,2,소공동,0,Cluster 0: 성장형 오피스 밀착 상권,2178,92258.0,2572626,64388142160,231,2977
2024,3,대치2동,0,Cluster 0: 성장형 오피스 밀착 상권,38212,84405.0,6355369,64212882994,210,3235
2024,3,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,24904.0,17321631,64172043524,358,9011
2025,3,서교동,0,Cluster 0: 성장형 오피스 밀착 상권,24037,25701.0,17334585,64144296107,358,8838
2025,2,서초4동,0,Cluster 0: 성장형 오피스 밀착 상권,30281,40288.0,6326996,63870494590,257,3381
